countyFIPS,Estimate!!OCCUPATION!!Civilian employed population 16 years and over,Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over,"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations","Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations","Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations"
17037,52449,52449,17661,33.7,10483,20.0,11860,22.6,4684,8.9,7761,14.8
17039,8119,8119,2450,30.2,1518,18.7,1893,23.3,917,11.3,1341,16.5
17041,9382,9382,2569,27.4,1333,14.2,2149,22.9,1147,12.2,2184,23.3
17043,489858,489858,225819,46.1,62242,12.7,119294,24.4,27113,5.5,55390,11.3
17045,8306,8306,2281,27.5,1567,18.9,1437,17.3,827,10.0,2194,26.4
17047,3043,3043,783,25.7,445,14.6,517,17.0,473,15.5,825,27.1
17049,17344,17344,5346,30.8,2913,16.8,3763,21.7,2005,11.6,3317,19.1
17051,8627,8627,2078,24.1,1916,22.2,1745,20.2,1101,12.8,1787,20.7
17053,6264,6264,2047,32.7,1019,16.3,1193,19.0,799,12.8,1206,19.3
17055,15528,15528,4252,27.4,3153,20.3,3229,20.8,2038,13.1,2856,18.4
17057,15077,15077,4694,31.1,3152,20.9,2607,17.3,1701,11.3,2923,19.4
17059,2139,2139,641,30.0,389,18.2,393,18.4,299,14.0,417,19.5
17061,6026,6026,1561,25.9,1413,23.4,1161,19.3,638,10.6,1253,20.8
17063,25041,25041,7866,31.4,3898,15.6,5298,21.2,3328,13.3,4651,18.6
17065,3635,3635,1186,32.6,624,17.2,540,14.9,599,16.5,686,18.9
17067,8127,8127,2407,29.6,1179,14.5,1729,21.3,1097,13.5,1715,21.1
17069,1379,1379,323,23.4,300,21.8,209,15.2,278,20.2,269,19.5
17071,3262,3262,942,28.9,576,17.7,487,14.9,511,15.7,746,22.9
17073,22904,22904,7068,30.9,3689,16.1,5234,22.9,2488,10.9,4425,19.3
17075,13260,13260,3826,28.9,2465,18.6,2677,20.2,1742,13.1,2550,19.2
17077,25059,25059,9849,39.3,4768,19.0,5413,21.6,1750,7.0,3279,13.1
17079,4438,4438,1183,26.7,773,17.4,1035,23.3,473,10.7,974,21.9
17081,16150,16150,4681,29.0,2897,17.9,3431,21.2,1436,8.9,3705,22.9
17083,10675,10675,3758,35.2,1987,18.6,1964,18.4,1038,9.7,1928,18.1
17085,10723,10723,2996,27.9,2039,19.0,2372,22.1,1163,10.8,2153,20.1
17087,3878,3878,1610,41.5,665,17.1,765,19.7,345,8.9,493,12.7
17089,266113,266113,93175,35.0,44130,16.6,61465,23.1,20622,7.7,46721,17.6
17091,50539,50539,15855,31.4,8728,17.3,10674,21.1,4507,8.9,10775,21.3
