countyFIPS,Estimate!!OCCUPATION!!Civilian employed population 16 years and over,Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over,"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations","Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations","Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations"
18019,57679,57679,18165,31.5,9667,16.8,13030,22.6,4782,8.3,12035,20.9
18021,12218,12218,3389,27.7,2298,18.8,2162,17.7,1170,9.6,3199,26.2
18023,15129,15129,3613,23.9,2207,14.6,2581,17.1,1860,12.3,4868,32.2
18025,4361,4361,947,21.7,918,21.1,683,15.7,583,13.4,1230,28.2
18027,14513,14513,3721,25.6,2340,16.1,2620,18.1,2467,17.0,3365,23.2
18029,24790,24790,7841,31.6,4067,16.4,5403,21.8,2849,11.5,4630,18.7
18031,13121,13121,3987,30.4,2043,15.6,2067,15.8,1330,10.1,3694,28.2
18033,21374,21374,5755,26.9,2950,13.8,3781,17.7,2142,10.0,6746,31.6
18035,53067,53067,17440,32.9,11331,21.4,11755,22.2,4038,7.6,8503,16.0
18037,22194,22194,6930,31.2,3325,15.0,4040,18.2,2354,10.6,5545,25.0
18039,96156,96156,25918,27.0,13190,13.7,19785,20.6,7260,7.6,30003,31.2
18041,9858,9858,2543,25.8,1971,20.0,1805,18.3,844,8.6,2695,27.3
18043,38611,38611,14308,37.1,5606,14.5,8927,23.1,3348,8.7,6422,16.6
18045,7506,7506,2106,28.1,1070,14.3,1154,15.4,927,12.4,2249,30.0
18047,11080,11080,3250,29.3,1699,15.3,2060,18.6,1359,12.3,2712,24.5
18049,9557,9557,2449,25.6,1335,14.0,2091,21.9,990,10.4,2692,28.2
18051,16281,16281,4499,27.6,2338,14.4,2891,17.8,2031,12.5,4522,27.8
18053,29052,29052,7987,27.5,6097,21.0,6194,21.3,1979,6.8,6795,23.4
18055,14124,14124,4056,28.7,2681,19.0,2892,20.5,1822,12.9,2673,18.9
18057,168749,168749,91699,54.3,18759,11.1,39761,23.6,7665,4.5,10865,6.4
18059,38632,38632,14441,37.4,5499,14.2,9403,24.3,4385,11.4,4904,12.7
18061,17765,17765,5347,30.1,2945,16.6,3802,21.4,1996,11.2,3675,20.7
18063,84103,84103,34870,41.5,11931,14.2,19134,22.8,6650,7.9,11518,13.7
18065,20056,20056,5843,29.1,3839,19.1,4326,21.6,1901,9.5,4147,20.7
18067,36898,36898,11093,30.1,6819,18.5,6732,18.2,2955,8.0,9299,25.2
18069,18366,18366,5547,30.2,2845,15.5,3782,20.6,1540,8.4,4652,25.3
18071,20533,20533,5771,28.1,3349,16.3,4336,21.1,1969,9.6,5108,24.9
18073,15493,15493,3969,25.6,2291,14.8,3293,21.3,2601,16.8,3339,21.6
18075,9491,9491,2132,22.5,1714,18.1,1446,15.2,1241,13.1,2958,31.2
18077,14454,14454,4421,30.6,2227,15.4,2365,16.4,1421,9.8,4020,27.8
18079,13225,13225,3053,23.1,2029,15.3,2672,20.2,1385,10.5,4086,30.9
18081,76397,76397,30972,40.5,11497,15.0,16814,22.0,6504,8.5,10610,13.9
18083,18068,18068,4973,27.5,3769,20.9,3485,19.3,1903,10.5,3938,21.8
18085,39265,39265,11320,28.8,5108,13.0,7694,19.6,3473,8.8,11670,29.7
18087,16906,16906,3599,21.3,1903,11.3,2687,15.9,1874,11.1,6843,40.5
18089,217505,217505,65326,30.0,40962,18.8,49382,22.7,20238,9.3,41597,19.1
18091,47006,47006,12557,26.7,9597,20.4,9836,20.9,4735,10.1,10281,21.9
18093,20460,20460,5651,27.6,3693,18.0,4738,23.2,2139,10.5,4239,20.7
18095,56373,56373,16602,29.5,11719,20.8,12519,22.2,4934,8.8,10599,18.8
18097,457060,457060,159549,34.9,78082,17.1,107551,23.5,33504,7.3,78374,17.1
18099,21365,21365,5648,26.4,2820,13.2,4232,19.8,2146,10.0,6519,30.5
18101,4705,4705,1344,28.6,677,14.4,700,14.9,693,14.7,1291,27.4
18103,15271,15271,3545,23.2,2695,17.6,2787,18.3,1694,11.1,4550,29.8
18105,72599,72599,32692,45.0,14647,20.2,14283,19.7,4017,5.5,6960,9.6
18107,18836,18836,4802,25.5,3191,16.9,3623,19.2,2022,10.7,5198,27.6
18109,33028,33028,9674,29.3,5339,16.2,7211,21.8,4504,13.6,6300,19.1
18111,6161,6161,1070,17.4,961,15.6,1393,22.6,1231,20.0,1506,24.4
18113,22947,22947,5425,23.6,3300,14.4,3806,16.6,2152,9.4,8264,36.0
18115,3004,3004,803,26.7,656,21.8,509,16.9,323,10.8,713,23.7
18117,8424,8424,2172,25.8,1564,18.6,1499,17.8,973,11.6,2216,26.3
18119,9411,9411,2293,24.4,1617,17.2,1670,17.7,1630,17.3,2201,23.4
18121,6748,6748,1477,21.9,1296,19.2,1260,18.7,1077,16.0,1638,24.3
18123,8351,8351,2131,25.5,1542,18.5,1351,16.2,961,11.5,2366,28.3
18125,5726,5726,1431,25.0,936,16.3,884,15.4,900,15.7,1575,27.5
18127,80189,80189,29266,36.5,12574,15.7,16311,20.3,8946,11.2,13092,16.3
18129,12398,12398,3970,32.0,2086,16.8,2449,19.8,1360,11.0,2533,20.4
18131,5536,5536,1385,25.0,800,14.5,875,15.8,802,14.5,1674,30.2
18133,16250,16250,4707,29.0,2686,16.5,3412,21.0,1898,11.7,3547,21.8
18135,11271,11271,3098,27.5,1850,16.4,1946,17.3,1467,13.0,2910,25.8
18137,13884,13884,3942,28.4,2239,16.1,2538,18.3,1825,13.1,3340,24.1
18139,7440,7440,1674,22.5,1028,13.8,1668,22.4,1074,14.4,1996,26.8
18141,128360,128360,45342,35.3,21522,16.8,28589,22.3,9152,7.1,23755,18.5
18143,10004,10004,2252,22.5,1313,13.1,2107,21.1,906,9.1,3426,34.2
18145,22158,22158,6767,30.5,3875,17.5,4079,18.4,2475,11.2,4962,22.4
18147,9947,9947,2800,28.1,1361,13.7,1920,19.3,1257,12.6,2609,26.2
18149,9661,9661,2318,24.0,1525,15.8,1878,19.4,1110,11.5,2830,29.3
18151,17250,17250,4622,26.8,2717,15.8,3689,21.4,1488,8.6,4734,27.4
18153,8286,8286,2001,24.1,1624,19.6,1447,17.5,1439,17.4,1775,21.4
18155,4355,4355,821,18.9,888,20.4,801,18.4,767,17.6,1078,24.8
18157,94285,94285,37386,39.7,16486,17.5,17498,18.6,6354,6.7,16561,17.6
18159,7450,7450,2401,32.2,1193,16.0,1151,15.4,964,12.9,1741,23.4
18161,3368,3368,739,21.9,808,24.0,724,21.5,367,10.9,730,21.7
18163,87595,87595,29158,33.3,16046,18.3,19248,22.0,6601,7.5,16542,18.9
18165,6549,6549,1775,27.1,1002,15.3,1247,19.0,801,12.2,1724,26.3
18167,48565,48565,16137,33.2,10220,21.0,9886,20.4,3404,7.0,8918,18.4
18169,14813,14813,4071,27.5,2771,18.7,2948,19.9,1636,11.0,3387,22.9
18171,3948,3948,1238,31.4,512,13.0,604,15.3,539,13.7,1055,26.7
18173,31570,31570,12878,40.8,4461,14.1,6220,19.7,3180,10.1,4831,15.3
18175,12021,12021,3746,31.2,1427,11.9,1947,16.2,1790,14.9,3111,25.9
18177,29728,29728,8795,29.6,5583,18.8,6227,20.9,2406,8.1,6717,22.6
18179,13750,13750,3958,28.8,2188,15.9,2963,21.5,1434,10.4,3207,23.3
18181,11453,11453,3063,26.7,1611,14.1,2140,18.7,1484,13.0,3155,27.5
18183,16976,16976,4834,28.5,2420,14.3,3175,18.7,1949,11.5,4598,27.1
19001,3580,3580,1004,28.0,602,16.8,685,19.1,653,18.2,636,17.8
19003,1756,1756,649,37.0,225,12.8,343,19.5,202,11.5,337,19.2
19005,6923,6923,2046,29.6,1092,15.8,1156,16.7,1141,16.5,1488,21.5
19007,5520,5520,1535,27.8,793,14.4,1362,24.7,547,9.9,1283,23.2
19009,2908,2908,755,26.0,470,16.2,666,22.9,491,16.9,526,18.1
19011,13323,13323,4099,30.8,1820,13.7,2895,21.7,1737,13.0,2772,20.8
19013,69573,69573,22364,32.1,13143,18.9,15271,21.9,5005,7.2,13790,19.8
19015,13879,13879,4480,32.3,2155,15.5,2959,21.3,1465,10.6,2820,20.3
19017,12957,12957,4773,36.8,2002,15.5,2729,21.1,1268,9.8,2185,16.9
19019,10407,10407,3366,32.3,1706,16.4,1829,17.6,1374,13.2,2132,20.5
19021,10523,10523,2851,27.1,1621,15.4,1687,16.0,956,9.1,3408,32.4
19023,7287,7287,2282,31.3,1068,14.7,1626,22.3,818,11.2,1493,20.5
19025,4416,4416,1528,34.6,792,17.9,864,19.6,575,13.0,657,14.9
19027,10632,10632,3504,33.0,1739,16.4,2257,21.2,1128,10.6,2004,18.8
19029,6455,6455,1882,29.2,1108,17.2,1417,22.0,852,13.2,1196,18.5
19031,9920,9920,3485,35.1,1440,14.5,2139,21.6,1164,11.7,1692,17.1
19033,21912,21912,6908,31.5,3848,17.6,4379,20.0,2107,9.6,4670,21.3
19035,5930,5930,1676,28.3,928,15.6,1231,20.8,828,14.0,1267,21.4
19037,6457,6457,1952,30.2,965,14.9,1129,17.5,917,14.2,1494,23.1
19039,4612,4612,1414,30.7,700,15.2,772,16.7,647,14.0,1079,23.4
19041,8262,8262,2855,34.6,1151,13.9,1803,21.8,824,10.0,1629,19.7
19043,9181,9181,2584,28.1,1414,15.4,1712,18.6,1110,12.1,2361,25.7
19045,22653,22653,6437,28.4,3593,15.9,4906,21.7,2466,10.9,5251,23.2
19047,7993,7993,1888,23.6,1108,13.9,1080,13.5,963,12.0,2954,37.0
19049,46027,46027,23877,51.9,5489,11.9,9684,21.0,2827,6.1,4150,9.0
19051,4158,4158,1386,33.3,615,14.8,820,19.7,604,14.5,733,17.6
19053,3720,3720,1246,33.5,771,20.7,752,20.2,482,13.0,469,12.6
19055,9334,9334,3090,33.1,1258,13.5,1790,19.2,1132,12.1,2064,22.1
19057,19087,19087,5421,28.4,3443,18.0,4086,21.4,1725,9.0,4412,23.1
19059,9189,9189,3147,34.2,1446,15.7,1963,21.4,1106,12.0,1527,16.6
19061,50388,50388,17792,35.3,8403,16.7,11752,23.3,4079,8.1,8362,16.6
19063,4802,4802,1517,31.6,871,18.1,757,15.8,623,13.0,1034,21.5
19065,9937,9937,3117,31.4,1794,18.1,1775,17.9,1219,12.3,2032,20.4
19067,7920,7920,2542,32.1,1210,15.3,1848,23.3,859,10.8,1461,18.4
19069,4845,4845,1592,32.9,745,15.4,897,18.5,697,14.4,914,18.9
19071,3373,3373,1142,33.9,539,16.0,615,18.2,400,11.9,677,20.1
19073,4498,4498,1634,36.3,708,15.7,791,17.6,495,11.0,870,19.3
19075,6244,6244,2417,38.7,827,13.2,1328,21.3,783,12.5,889,14.2
19077,5275,5275,1780,33.7,743,14.1,1224,23.2,797,15.1,731,13.9
19079,7607,7607,2484,32.7,1244,16.4,1462,19.2,852,11.2,1565,20.6
19081,5653,5653,2014,35.6,791,14.0,1001,17.7,548,9.7,1299,23.0
19083,8713,8713,2799,32.1,1431,16.4,1665,19.1,1198,13.7,1620,18.6
19085,7347,7347,2469,33.6,950,12.9,1605,21.8,1014,13.8,1309,17.8
19087,9335,9335,2796,30.0,1727,18.5,1683,18.0,906,9.7,2223,23.8
19089,4783,4783,1505,31.5,705,14.7,799,16.7,637,13.3,1137,23.8
19091,4672,4672,1491,31.9,728,15.6,887,19.0,571,12.2,995,21.3
19093,3443,3443,1131,32.8,512,14.9,665,19.3,382,11.1,753,21.9
19095,8353,8353,2572,30.8,1268,15.2,1727,20.7,1215,14.5,1571,18.8
19097,9531,9531,2885,30.3,1486,15.6,1884,19.8,1318,13.8,1958,20.5
19099,17587,17587,4897,27.8,2841,16.2,4305,24.5,1828,10.4,3716,21.1
19101,8235,8235,3049,37.0,1523,18.5,1618,19.6,700,8.5,1345,16.3
19103,82627,82627,39074,47.3,14989,18.1,15754,19.1,4533,5.5,8277,10.0
19105,9825,9825,3228,32.9,1673,17.0,1932,19.7,1018,10.4,1974,20.1
19107,4996,4996,1663,33.3,781,15.6,846,16.9,699,14.0,1007,20.2
19109,7496,7496,2465,32.9,1073,14.3,1603,21.4,940,12.5,1415,18.9
19111,15928,15928,4233,26.6,3236,20.3,2768,17.4,1737,10.9,3954,24.8
19113,118580,118580,46274,39.0,18120,15.3,26864,22.7,9604,8.1,17718,14.9
19115,5510,5510,1320,24.0,851,15.4,926,16.8,731,13.3,1682,30.5
19117,3981,3981,1092,27.4,685,17.2,848,21.3,381,9.6,975,24.5
19119,6089,6089,2307,37.9,865,14.2,1211,19.9,766,12.6,940,15.4
19121,8363,8363,3203,38.3,1265,15.1,1524,18.2,1140,13.6,1231,14.7
19123,10783,10783,3708,34.4,1882,17.5,1929,17.9,1014,9.4,2250,20.9
19125,16957,16957,5993,35.3,2613,15.4,3208,18.9,1460,8.6,3683,21.7
19127,19085,19085,5109,26.8,3197,16.8,3536,18.5,1924,10.1,5319,27.9
19129,7475,7475,2399,32.1,1301,17.4,1671,22.4,947,12.7,1157,15.5
19131,5225,5225,1629,31.2,869,16.6,996,19.1,656,12.6,1075,20.6
19133,4269,4269,1210,28.3,758,17.8,961,22.5,695,16.3,645,15.1
19135,3662,3662,1116,30.5,722,19.7,633,17.3,484,13.2,707,19.3
19137,4779,4779,1487,31.1,787,16.5,1104,23.1,453,9.5,948,19.8
19139,21523,21523,6407,29.8,3325,15.4,3788,17.6,2045,9.5,5958,27.7
19141,7379,7379,2002,27.1,1240,16.8,1464,19.8,1004,13.6,1669,22.6
19143,3162,3162,1003,31.7,466,14.7,551,17.4,557,17.6,585,18.5
19145,7143,7143,2610,36.5,1147,16.1,1290,18.1,545,7.6,1551,21.7
19147,4781,4781,1669,34.9,820,17.2,963,20.1,498,10.4,831,17.4
19149,13314,13314,4393,33.0,2130,16.0,2915,21.9,1552,11.7,2324,17.5
19151,3396,3396,1000,29.4,547,16.1,640,18.8,491,14.5,718,21.1
19153,253971,253971,101311,39.9,41820,16.5,60352,23.8,19671,7.7,30817,12.1
19155,47226,47226,14734,31.2,8226,17.4,10923,23.1,5130,10.9,8213,17.4
19157,9850,9850,3376,34.3,1690,17.2,2037,20.7,970,9.8,1777,18.0
19159,2121,2121,756,35.6,328,15.5,385,18.2,337,15.9,315,14.9
19161,5027,5027,1451,28.9,912,18.1,1053,20.9,614,12.2,997,19.8
19163,84812,84812,31121,36.7,14984,17.7,18375,21.7,6825,8.0,13507,15.9
19165,6006,6006,2094,34.9,759,12.6,1427,23.8,794,13.2,932,15.5
19167,18820,18820,6904,36.7,2966,15.8,3538,18.8,2492,13.2,2920,15.5
19169,51875,51875,24377,47.0,9214,17.8,9488,18.3,3419,6.6,5377,10.4
19171,8512,8512,2409,28.3,1470,17.3,1599,18.8,1088,12.8,1946,22.9
19173,2993,2993,963,32.2,430,14.4,473,15.8,388,13.0,739,24.7
19175,6071,6071,1737,28.6,970,16.0,1203,19.8,349,5.7,1812,29.8
19177,3138,3138,931,29.7,438,14.0,612,19.5,391,12.5,766,24.4
19179,16399,16399,4291,26.2,2947,18.0,3011,18.4,1693,10.3,4457,27.2
19181,25999,25999,10451,40.2,3563,13.7,6418,24.7,2483,9.6,3084,11.9
19183,11115,11115,3336,30.0,1822,16.4,2370,21.3,1895,17.0,1692,15.2
19185,2817,2817,864,30.7,363,12.9,465,16.5,429,15.2,696,24.7
19187,17033,17033,5183,30.4,3392,19.9,3396,19.9,2059,12.1,3003,17.6
19189,5296,5296,1679,31.7,745,14.1,863,16.3,531,10.0,1478,27.9
19191,11802,11802,3979,33.7,1963,16.6,2579,21.9,1311,11.1,1970,16.7
19193,51572,51572,15538,30.1,8436,16.4,11076,21.5,5349,10.4,11173,21.7
19195,3854,3854,924,24.0,835,21.7,765,19.8,482,12.5,848,22.0
19197,5729,5729,1768,30.9,931,16.3,940,16.4,663,11.6,1427,24.9
20001,5887,5887,1675,28.5,863,14.7,1198,20.3,534,9.1,1617,27.5
20003,3524,3524,998,28.3,701,19.9,665,18.9,569,16.1,591,16.8
20005,7721,7721,2530,32.8,1430,18.5,1726,22.4,759,9.8,1276,16.5
20007,2172,2172,630,29.0,362,16.7,396,18.2,350,16.1,434,20.0
20009,13479,13479,4063,30.1,2515,18.7,2946,21.9,1707,12.7,2248,16.7
20011,6334,6334,1972,31.1,1203,19.0,1316,20.8,777,12.3,1066,16.8
20013,4500,4500,1446,32.1,896,19.9,881,19.6,409,9.1,868,19.3
20015,31098,31098,12398,39.9,4783,15.4,6602,21.2,3443,11.1,3872,12.5
20017,1116,1116,326,29.2,153,13.7,229,20.5,184,16.5,224,20.1
20019,1403,1403,449,32.0,261,18.6,203,14.5,268,19.1,222,15.8
20021,8699,8699,2803,32.2,1346,15.5,1709,19.6,841,9.7,2000,23.0
20023,1243,1243,472,38.0,207,16.7,208,16.7,195,15.7,161,13.0
20025,1020,1020,445,43.6,155,15.2,186,18.2,143,14.0,91,8.9
20027,4016,4016,1299,32.3,587,14.6,958,23.9,653,16.3,519,12.9
20029,4496,4496,1519,33.8,775,17.2,898,20.0,508,11.3,796,17.7
20031,4126,4126,1347,32.6,706,17.1,733,17.8,708,17.2,632,15.3
20033,958,958,346,36.1,140,14.6,192,20.0,180,18.8,100,10.4
20035,15544,15544,4499,28.9,3054,19.6,2816,18.1,1682,10.8,3493,22.5
20037,18831,18831,6383,33.9,3789,20.1,3530,18.7,1860,9.9,3269,17.4
20039,1386,1386,447,32.3,239,17.2,255,18.4,252,18.2,193,13.9
20041,8617,8617,2620,30.4,1698,19.7,1857,21.6,996,11.6,1446,16.8
20043,3712,3712,1092,29.4,706,19.0,771,20.8,413,11.1,730,19.7
20045,66273,66273,29479,44.5,11779,17.8,14653,22.1,3604,5.4,6758,10.2
20047,1444,1444,421,29.2,209,14.5,295,20.4,203,14.1,316,21.9
20049,993,993,322,32.4,264,26.6,137,13.8,138,13.9,132,13.3
20051,16239,16239,5261,32.4,3294,20.3,4029,24.8,1827,11.3,1828,11.3
20053,2678,2678,877,32.7,632,23.6,480,17.9,286,10.7,403,15.0
20055,18631,18631,4115,22.1,3555,19.1,3420,18.4,2867,15.4,4674,25.1
20057,16646,16646,3977,23.9,2311,13.9,2592,15.6,2365,14.2,5401,32.4
20059,12787,12787,3762,29.4,2041,16.0,2456,19.2,1710,13.4,2818,22.0
20061,11798,11798,3709,31.4,2718,23.0,2130,18.1,1284,10.9,1957,16.6
20063,1290,1290,500,38.8,222,17.2,231,17.9,159,12.3,178,13.8
20065,1149,1149,425,37.0,212,18.5,208,18.1,195,17.0,109,9.5
20067,3611,3611,978,27.1,642,17.8,677,18.7,852,23.6,462,12.8
20069,3166,3166,1070,33.8,487,15.4,593,18.7,540,17.1,476,15.0
20071,565,565,198,35.0,113,20.0,146,25.8,82,14.5,26,4.6
20073,2866,2866,838,29.2,562,19.6,547,19.1,451,15.7,468,16.3
20075,1192,1192,381,32.0,166,13.9,210,17.6,243,20.4,192,16.1
20077,2536,2536,718,28.3,365,14.4,604,23.8,432,17.0,417,16.4
20079,16922,16922,6572,38.8,2900,17.1,2792,16.5,1607,9.5,3051,18.0
20081,1938,1938,578,29.8,302,15.6,330,17.0,423,21.8,305,15.7
20083,946,946,394,41.6,125,13.2,149,15.8,159,16.8,119,12.6
20085,6199,6199,2004,32.3,1217,19.6,1291,20.8,715,11.5,972,15.7
20087,9287,9287,3057,32.9,1524,16.4,1691,18.2,1394,15.0,1621,17.5
20089,1228,1228,499,40.6,166,13.5,209,17.0,177,14.4,177,14.4
20091,317390,317390,162211,51.1,40821,12.9,73102,23.0,15430,4.9,25826,8.1
20093,1693,1693,714,42.2,217,12.8,206,12.2,287,17.0,269,15.9
20095,3579,3579,1189,33.2,563,15.7,615,17.2,607,17.0,605,16.9
20097,1249,1249,498,39.9,206,16.5,225,18.0,177,14.2,143,11.4
20099,9545,9545,3026,31.7,1956,20.5,1526,16.0,910,9.5,2127,22.3
20101,885,885,281,31.8,165,18.6,155,17.5,188,21.2,96,10.8
20103,35313,35313,13246,37.5,7012,19.9,6980,19.8,3710,10.5,4365,12.4
20105,1464,1464,562,38.4,241,16.5,228,15.6,217,14.8,216,14.8
20107,4145,4145,1020,24.6,647,15.6,911,22.0,840,20.3,727,17.5
20109,1422,1422,479,33.7,203,14.3,347,24.4,181,12.7,212,14.9
20111,17377,17377,5424,31.2,3007,17.3,3388,19.5,1775,10.2,3783,21.8
20113,14932,14932,5383,36.1,2654,17.8,2562,17.2,1381,9.2,2952,19.8
20115,5632,5632,1828,32.5,911,16.2,1034,18.4,682,12.1,1177,20.9
20117,4759,4759,1450,30.5,680,14.3,995,20.9,514,10.8,1120,23.5
20119,2084,2084,794,38.1,291,14.0,310,14.9,437,21.0,252,12.1
20121,16404,16404,5868,35.8,2156,13.1,3867,23.6,2312,14.1,2201,13.4
20123,2753,2753,1024,37.2,372,13.5,458,16.6,443,16.1,456,16.6
20125,14519,14519,4260,29.3,2695,18.6,2831,19.5,1486,10.2,3247,22.4
20127,2602,2602,832,32.0,457,17.6,431,16.6,435,16.7,447,17.2
20129,1276,1276,463,36.3,152,11.9,157,12.3,418,32.8,86,6.7
20131,5132,5132,1952,38.0,782,15.2,1048,20.4,488,9.5,862,16.8
20133,7359,7359,2187,29.7,1212,16.5,1520,20.7,903,12.3,1537,20.9
20135,1387,1387,427,30.8,211,15.2,224,16.1,292,21.1,233,16.8
20137,2440,2440,894,36.6,428,17.5,586,24.0,221,9.1,311,12.7
20139,7419,7419,2373,32.0,1290,17.4,1610,21.7,1061,14.3,1085,14.6
20141,1771,1771,684,38.6,254,14.3,350,19.8,174,9.8,309,17.4
20143,2949,2949,998,33.8,450,15.3,730,24.8,356,12.1,415,14.1
20145,2595,2595,1023,39.4,577,22.2,443,17.1,240,9.2,312,12.0
20147,2690,2690,941,35.0,486,18.1,483,18.0,409,15.2,371,13.8
20149,10868,10868,4338,39.9,1543,14.2,2108,19.4,1180,10.9,1699,15.6
20151,4515,4515,1583,35.1,810,17.9,915,20.3,673,14.9,534,11.8
20153,1226,1226,498,40.6,156,12.7,244,19.9,193,15.7,135,11.0
20155,29866,29866,9344,31.3,5605,18.8,6475,21.7,3077,10.3,5365,18.0
20157,2332,2332,936,40.1,330,14.2,441,18.9,316,13.6,309,13.3
20159,4753,4753,1688,35.5,843,17.7,823,17.3,749,15.8,650,13.7
20161,36646,36646,15754,43.0,7669,20.9,7255,19.8,2705,7.4,3263,8.9
20163,2414,2414,797,33.0,458,19.0,449,18.6,352,14.6,358,14.8
20165,1489,1489,589,39.6,272,18.3,261,17.5,215,14.4,152,10.2
20167,3221,3221,1125,34.9,603,18.7,522,16.2,422,13.1,549,17.0
20169,27342,27342,9246,33.8,4538,16.6,5874,21.5,2313,8.5,5371,19.6
20171,2589,2589,1016,39.2,305,11.8,438,16.9,542,20.9,288,11.1
20173,246997,246997,88234,35.7,42773,17.3,53563,21.7,24356,9.9,38071,15.4
20175,10733,10733,2305,21.5,1608,15.0,1818,16.9,1867,17.4,3135,29.2
20177,84391,84391,32500,38.5,13804,16.4,18406,21.8,7613,9.0,12068,14.3
20179,1261,1261,487,38.6,173,13.7,225,17.8,195,15.5,181,14.4
20181,2905,2905,977,33.6,362,12.5,663,22.8,490,16.9,413,14.2
20183,1697,1697,650,38.3,266,15.7,381,22.5,222,13.1,178,10.5
20185,2040,2040,679,33.3,402,19.7,435,21.3,291,14.3,233,11.4
20187,1030,1030,432,41.9,171,16.6,137,13.3,225,21.8,65,6.3
20189,2549,2549,664,26.0,330,12.9,399,15.7,561,22.0,595,23.3
20191,10727,10727,3466,32.3,1846,17.2,2067,19.3,1310,12.2,2038,19.0
20193,4327,4327,1353,31.3,1025,23.7,1035,23.9,468,10.8,446,10.3
20195,1634,1634,496,30.4,209,12.8,384,23.5,252,15.4,293,17.9
20197,3368,3368,1234,36.6,421,12.5,755,22.4,503,14.9,455,13.5
20199,781,781,380,48.7,104,13.3,135,17.3,78,10.0,84,10.8
20201,2692,2692,872,32.4,367,13.6,512,19.0,453,16.8,488,18.1
20203,1084,1084,383,35.3,192,17.7,133,12.3,176,16.2,200,18.5
20205,4045,4045,1334,33.0,784,19.4,694,17.2,434,10.7,799,19.8
20207,1400,1400,501,35.8,215,15.4,220,15.7,170,12.1,294,21.0
20209,74707,74707,17911,24.0,15694,21.0,15560,20.8,9417,12.6,16125,21.6
21001,8020,8020,2354,29.4,1291,16.1,1456,18.2,927,11.6,1992,24.8
21003,8616,8616,2149,24.9,1444,16.8,1733,20.1,1044,12.1,2246,26.1
21005,10381,10381,3536,34.1,1569,15.1,2351,22.6,1061,10.2,1864,18.0
21007,3341,3341,978,29.3,552,16.5,801,24.0,342,10.2,668,20.0
21009,18622,18622,5251,28.2,2718,14.6,3776,20.3,2062,11.1,4815,25.9
21011,4750,4750,1311,27.6,754,15.9,920,19.4,457,9.6,1308,27.5
21013,7543,7543,1772,23.5,1539,20.4,1567,20.8,860,11.4,1805,23.9
21015,66174,66174,25773,38.9,8818,13.3,16954,25.6,4159,6.3,10470,15.8
21017,9402,9402,2890,30.7,1790,19.0,2063,21.9,1086,11.6,1573,16.7
21019,18353,18353,6997,38.1,3465,18.9,4111,22.4,1454,7.9,2326,12.7
21021,12357,12357,4216,34.1,2092,16.9,2271,18.4,1040,8.4,2738,22.2
21023,3622,3622,965,26.6,552,15.2,719,19.9,599,16.5,787,21.7
21025,3950,3950,1204,30.5,853,21.6,834,21.1,493,12.5,566,14.3
21027,7785,7785,2050,26.3,1134,14.6,1348,17.3,1340,17.2,1913,24.6
21029,39278,39278,10943,27.9,5186,13.2,9152,23.3,4525,11.5,9472,24.1
21031,5078,5078,1398,27.5,554,10.9,983,19.4,620,12.2,1523,30.0
21033,5365,5365,1483,27.6,810,15.1,1139,21.2,579,10.8,1354,25.2
21035,17816,17816,5306,29.8,3909,21.9,4027,22.6,1747,9.8,2827,15.9
21037,46679,46679,19394,41.5,6900,14.8,10861,23.3,3538,7.6,5986,12.8
21039,1862,1862,502,27.0,358,19.2,418,22.4,214,11.5,370,19.9
21041,4446,4446,809,18.2,851,19.1,937,21.1,622,14.0,1227,27.6
21043,8769,8769,2343,26.7,1747,19.9,1912,21.8,1223,13.9,1544,17.6
21045,5563,5563,1599,28.7,835,15.0,903,16.2,928,16.7,1298,23.3
21047,23711,23711,6631,28.0,4892,20.6,4758,20.1,2040,8.6,5390,22.7
21049,16231,16231,5300,32.7,2361,14.5,3656,22.5,1798,11.1,3116,19.2
21051,5492,5492,1225,22.3,1169,21.3,1125,20.5,651,11.9,1322,24.1
21053,3573,3573,1124,31.5,649,18.2,755,21.1,292,8.2,753,21.1
21055,3643,3643,973,26.7,602,16.5,645,17.7,660,18.1,763,20.9
21057,2440,2440,712,29.2,336,13.8,547,22.4,320,13.1,525,21.5
21059,45375,45375,14239,31.4,8142,17.9,10379,22.9,3933,8.7,8682,19.1
21061,4642,4642,1247,26.9,937,20.2,895,19.3,833,17.9,730,15.7
21063,1792,1792,531,29.6,287,16.0,269,15.0,419,23.4,286,16.0
21065,4625,4625,1136,24.6,615,13.3,956,20.7,615,13.3,1303,28.2
