countyFIPS,Estimate!!VETERAN STATUS!!Civilian population 18 years and over,Percent Estimate!!VETERAN STATUS!!Civilian population 18 years and over,Estimate!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans,Percent Estimate!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans
5023,20431.0,20431.0,2455.0,12.0
5025,6356.0,6356.0,520.0,8.2
5027,18827.0,18827.0,1480.0,7.9
5029,16113.0,16113.0,1715.0,10.6
5031,79446.0,79446.0,5371.0,6.8
5033,46878.0,46878.0,4503.0,9.6
5035,35566.0,35566.0,2458.0,6.9
5037,12915.0,12915.0,895.0,6.9
5039,5736.0,5736.0,564.0,9.8
5041,8833.0,8833.0,526.0,6.0
5043,14468.0,14468.0,1240.0,8.6
5045,93431.0,93431.0,7122.0,7.6
5047,13590.0,13590.0,1368.0,10.1
5049,9652.0,9652.0,1141.0,11.8
5051,78233.0,78233.0,8780.0,11.2
5053,13927.0,13927.0,1544.0,11.1
5055,33630.0,33630.0,2984.0,8.9
5057,16303.0,16303.0,1149.0,7.0
5059,26503.0,26503.0,2365.0,8.9
5061,9938.0,9938.0,785.0,7.9
5063,28367.0,28367.0,2434.0,8.6
5065,11093.0,11093.0,1421.0,12.8
5067,13752.0,13752.0,1128.0,8.2
5069,54647.0,54647.0,4188.0,7.7
5071,19899.0,19899.0,1820.0,9.1
5073,5551.0,5551.0,439.0,7.9
5075,12939.0,12939.0,1106.0,8.5
5077,7625.0,7625.0,368.0,4.8
5079,11321.0,11321.0,770.0,6.8
5081,9669.0,9669.0,864.0,8.9
5083,16920.0,16920.0,1530.0,9.0
5085,52481.0,52481.0,6654.0,12.7
5087,12248.0,12248.0,856.0,7.0
5089,13389.0,13389.0,1833.0,13.7
5091,33326.0,33326.0,3148.0,9.4
5093,31431.0,31431.0,2237.0,7.1
5095,5773.0,5773.0,472.0,8.2
5097,7297.0,7297.0,814.0,11.2
5099,6526.0,6526.0,384.0,5.9
5101,6298.0,6298.0,702.0,11.1
5103,18655.0,18655.0,1692.0,9.1
5105,7966.0,7966.0,881.0,11.1
5107,14078.0,14078.0,1016.0,7.2
5109,8459.0,8459.0,785.0,9.3
5111,18318.0,18318.0,986.0,5.4
5113,15462.0,15462.0,1944.0,12.6
5115,49038.0,49038.0,4493.0,9.2
5117,6563.0,6563.0,590.0,9.0
5119,298823.0,298823.0,27980.0,9.4
5121,13578.0,13578.0,1239.0,9.1
5123,20521.0,20521.0,1462.0,7.1
5125,90034.0,90034.0,9213.0,10.2
5127,7736.0,7736.0,727.0,9.4
5129,6329.0,6329.0,699.0,11.0
5131,96509.0,96509.0,7884.0,8.2
5133,12255.0,12255.0,962.0,7.8
5135,13420.0,13420.0,1916.0,14.3
5137,9972.0,9972.0,1121.0,11.2
5139,30172.0,30172.0,2144.0,7.1
5141,13337.0,13337.0,1309.0,9.8
5143,171848.0,171848.0,11699.0,6.8
5145,60055.0,60055.0,5372.0,8.9
5147,5218.0,5218.0,447.0,8.6
5149,16202.0,16202.0,1380.0,8.5
6001,1297860.0,1297860.0,50497.0,3.9
6003,907.0,907.0,82.0,9.0
6005,31975.0,31975.0,3936.0,12.3
6007,181327.0,181327.0,15026.0,8.3
6009,37434.0,37434.0,4416.0,11.8
6011,15565.0,15565.0,795.0,5.1
6013,871222.0,871222.0,48245.0,5.5
6015,21457.0,21457.0,2127.0,9.9
6017,148321.0,148321.0,13997.0,9.4
6019,697424.0,697424.0,36619.0,5.3
6021,20415.0,20415.0,1440.0,7.1
6023,109450.0,109450.0,8708.0,8.0
6025,128152.0,128152.0,5453.0,4.3
6027,14450.0,14450.0,1540.0,10.7
6029,623592.0,623592.0,36855.0,5.9
6031,105019.0,105019.0,10518.0,10.0
6033,50843.0,50843.0,5053.0,9.9
6035,26225.0,26225.0,2184.0,8.3
6037,7847982.0,7847982.0,270462.0,3.4
6039,112158.0,112158.0,6775.0,6.0
6041,207201.0,207201.0,11373.0,5.5
6043,14667.0,14667.0,1601.0,10.9
6045,68444.0,68444.0,6053.0,8.8
6047,188959.0,188959.0,9662.0,5.1
6049,7205.0,7205.0,866.0,12.0
6051,11399.0,11399.0,673.0,5.9
6053,313716.0,313716.0,17403.0,5.5
6055,110559.0,110559.0,7741.0,7.0
6057,81743.0,81743.0,8319.0,10.2
6059,2451432.0,2451432.0,112264.0,4.6
6061,293312.0,293312.0,26333.0,9.0
6063,15636.0,15636.0,1852.0,11.8
6065,1765201.0,1765201.0,123908.0,7.0
6067,1146001.0,1146001.0,80343.0,7.0
6069,43779.0,43779.0,2494.0,5.7
6071,1551485.0,1551485.0,91759.0,5.9
6073,2503219.0,2503219.0,223217.0,8.9
6075,752885.0,752885.0,24038.0,3.2
6077,530301.0,530301.0,30296.0,5.7
6079,229097.0,229097.0,17326.0,7.6
6081,604437.0,604437.0,25226.0,4.2
6083,342872.0,342872.0,21908.0,6.4
6085,1488929.0,1488929.0,53119.0,3.6
6087,219854.0,219854.0,10595.0,4.8
6089,140391.0,140391.0,14335.0,10.2
6091,2489.0,2489.0,235.0,9.4
6093,34717.0,34717.0,3874.0,11.2
6095,335973.0,335973.0,32811.0,9.8
6097,399627.0,399627.0,26477.0,6.6
6099,392214.0,392214.0,21985.0,5.6
6101,70278.0,70278.0,6129.0,8.7
6103,48148.0,48148.0,4471.0,9.3
6105,10690.0,10690.0,1218.0,11.4
6107,316658.0,316658.0,14158.0,4.5
6109,44916.0,44916.0,5246.0,11.7
6111,645264.0,645264.0,40892.0,6.3
6113,168910.0,168910.0,8111.0,4.8
6115,52975.0,52975.0,5822.0,11.0
8001,361201.0,361201.0,26733.0,7.4
8003,12512.0,12512.0,937.0,7.5
8005,481567.0,481567.0,38984.0,8.1
8007,10695.0,10695.0,1282.0,12.0
8009,2819.0,2819.0,242.0,8.6
8011,4915.0,4915.0,498.0,10.1
8013,258078.0,258078.0,14243.0,5.5
8014,50397.0,50397.0,4168.0,8.3
8015,16185.0,16185.0,1945.0,12.0
8017,1347.0,1347.0,88.0,6.5
8019,7906.0,7906.0,609.0,7.7
8021,5932.0,5932.0,524.0,8.8
8023,3016.0,3016.0,393.0,13.0
8025,4898.0,4898.0,500.0,10.2
8027,3840.0,3840.0,777.0,20.2
8029,24170.0,24170.0,3178.0,13.1
8031,553201.0,553201.0,29648.0,5.4
8033,1485.0,1485.0,170.0,11.4
8035,238706.0,238706.0,19181.0,8.0
8037,42216.0,42216.0,2008.0,4.8
8039,19616.0,19616.0,2379.0,12.1
8041,489804.0,489804.0,83973.0,17.1
8043,39198.0,39198.0,5656.0,14.4
8045,43503.0,43503.0,2827.0,6.5
8047,4962.0,4962.0,754.0,15.2
8049,12419.0,12419.0,1335.0,10.7
8051,13608.0,13608.0,782.0,5.7
8053,739.0,739.0,86.0,11.6
8055,5520.0,5520.0,891.0,16.1
8057,1048.0,1048.0,158.0,15.1
8059,454279.0,454279.0,38191.0,8.4
8061,1032.0,1032.0,54.0,5.2
8063,5844.0,5844.0,543.0,9.3
8065,6314.0,6314.0,476.0,7.5
8067,44536.0,44536.0,3383.0,7.6
8069,270115.0,270115.0,20819.0,7.7
8071,11628.0,11628.0,1148.0,9.9
8073,4438.0,4438.0,360.0,8.1
8075,17052.0,17052.0,1701.0,10.0
8077,116955.0,116955.0,11989.0,10.3
8079,745.0,745.0,72.0,9.7
8081,9679.0,9679.0,826.0,8.5
8083,20110.0,20110.0,2081.0,10.3
8085,32178.0,32178.0,3369.0,10.5
8087,20822.0,20822.0,1381.0,6.6
