countyFIPS,Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years,Percent Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years,Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren,Percent Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren,Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year,Percent Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year,Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years,Percent Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years,Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years,Percent Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years,Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years,Percent Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years,Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years,Percent Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years,Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female,Percent Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female,Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are married,Percent Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are married
17173,479.0,479.0,336.0,70.1,25.0,5.2,48.0,10.0,55.0,11.5,208.0,43.4,336.0,336.0,220.0,65.5,227.0,67.6
17175,82.0,82.0,33.0,40.2,0.0,0.0,0.0,0.0,3.0,3.7,30.0,36.6,33.0,33.0,23.0,69.7,13.0,39.4
17177,812.0,812.0,219.0,27.0,37.0,4.6,50.0,6.2,39.0,4.8,93.0,11.5,219.0,219.0,137.0,62.6,165.0,75.3
17179,2116.0,2116.0,1048.0,49.5,176.0,8.3,221.0,10.4,242.0,11.4,409.0,19.3,1048.0,1048.0,606.0,57.8,722.0,68.9
17181,245.0,245.0,134.0,54.7,36.0,14.7,20.0,8.2,27.0,11.0,51.0,20.8,134.0,134.0,82.0,61.2,99.0,73.9
17183,1528.0,1528.0,572.0,37.4,148.0,9.7,80.0,5.2,56.0,3.7,288.0,18.8,572.0,572.0,344.0,60.1,391.0,68.4
17185,265.0,265.0,200.0,75.5,36.0,13.6,31.0,11.7,21.0,7.9,112.0,42.3,200.0,200.0,111.0,55.5,171.0,85.5
17187,300.0,300.0,109.0,36.3,2.0,0.7,0.0,0.0,41.0,13.7,66.0,22.0,109.0,109.0,70.0,64.2,55.0,50.5
17189,170.0,170.0,131.0,77.1,9.0,5.3,5.0,2.9,13.0,7.6,104.0,61.2,131.0,131.0,71.0,54.2,112.0,85.5
17191,207.0,207.0,60.0,29.0,7.0,3.4,21.0,10.1,9.0,4.3,23.0,11.1,60.0,60.0,41.0,68.3,37.0,61.7
17193,80.0,80.0,59.0,73.8,19.0,23.8,13.0,16.3,2.0,2.5,25.0,31.3,59.0,59.0,40.0,67.8,43.0,72.9
17195,917.0,917.0,401.0,43.7,162.0,17.7,59.0,6.4,15.0,1.6,165.0,18.0,401.0,401.0,227.0,56.6,252.0,62.8
17197,15968.0,15968.0,4759.0,29.8,978.0,6.1,1173.0,7.3,977.0,6.1,1631.0,10.2,4759.0,4759.0,2775.0,58.3,3804.0,79.9
17199,957.0,957.0,652.0,68.1,108.0,11.3,92.0,9.6,86.0,9.0,366.0,38.2,652.0,652.0,385.0,59.0,451.0,69.2
17201,6168.0,6168.0,2662.0,43.2,439.0,7.1,652.0,10.6,591.0,9.6,980.0,15.9,2662.0,2662.0,1517.0,57.0,1777.0,66.8
17203,436.0,436.0,185.0,42.4,25.0,5.7,33.0,7.6,36.0,8.3,91.0,20.9,185.0,185.0,100.0,54.1,161.0,87.0
18001,710.0,710.0,344.0,48.5,136.0,19.2,82.0,11.5,35.0,4.9,91.0,12.8,344.0,344.0,179.0,52.0,249.0,72.4
18003,6501.0,6501.0,2815.0,43.3,639.0,9.8,968.0,14.9,441.0,6.8,767.0,11.8,2815.0,2815.0,1865.0,66.3,1802.0,64.0
18005,1746.0,1746.0,813.0,46.6,104.0,6.0,142.0,8.1,124.0,7.1,443.0,25.4,813.0,813.0,502.0,61.7,538.0,66.2
18007,235.0,235.0,147.0,62.6,44.0,18.7,4.0,1.7,58.0,24.7,41.0,17.4,147.0,147.0,96.0,65.3,122.0,83.0
18009,180.0,180.0,88.0,48.9,0.0,0.0,0.0,0.0,9.0,5.0,79.0,43.9,88.0,88.0,57.0,64.8,88.0,100.0
18011,968.0,968.0,333.0,34.4,86.0,8.9,53.0,5.5,47.0,4.9,147.0,15.2,333.0,333.0,189.0,56.8,218.0,65.5
18013,431.0,431.0,207.0,48.0,57.0,13.2,0.0,0.0,27.0,6.3,123.0,28.5,207.0,207.0,126.0,60.9,142.0,68.6
18015,576.0,576.0,317.0,55.0,26.0,4.5,101.0,17.5,72.0,12.5,118.0,20.5,317.0,317.0,178.0,56.2,262.0,82.6
18017,838.0,838.0,360.0,43.0,81.0,9.7,172.0,20.5,16.0,1.9,91.0,10.9,360.0,360.0,216.0,60.0,207.0,57.5
18019,2382.0,2382.0,1200.0,50.4,261.0,11.0,205.0,8.6,264.0,11.1,470.0,19.7,1200.0,1200.0,701.0,58.4,760.0,63.3
18021,544.0,544.0,259.0,47.6,40.0,7.4,61.0,11.2,20.0,3.7,138.0,25.4,259.0,259.0,161.0,62.2,175.0,67.6
18023,746.0,746.0,368.0,49.3,45.0,6.0,107.0,14.3,95.0,12.7,121.0,16.2,368.0,368.0,232.0,63.0,274.0,74.5
18025,209.0,209.0,103.0,49.3,0.0,0.0,25.0,12.0,2.0,1.0,76.0,36.4,103.0,103.0,82.0,79.6,38.0,36.9
18027,449.0,449.0,229.0,51.0,39.0,8.7,94.0,20.9,45.0,10.0,51.0,11.4,229.0,229.0,140.0,61.1,184.0,80.3
18029,950.0,950.0,555.0,58.4,129.0,13.6,99.0,10.4,129.0,13.6,198.0,20.8,555.0,555.0,286.0,51.5,483.0,87.0
18031,661.0,661.0,272.0,41.1,28.0,4.2,85.0,12.9,51.0,7.7,108.0,16.3,272.0,272.0,126.0,46.3,181.0,66.5
18033,818.0,818.0,377.0,46.1,41.0,5.0,106.0,13.0,71.0,8.7,159.0,19.4,377.0,377.0,197.0,52.3,201.0,53.3
18035,1839.0,1839.0,968.0,52.6,142.0,7.7,193.0,10.5,188.0,10.2,445.0,24.2,968.0,968.0,668.0,69.0,653.0,67.5
18037,297.0,297.0,77.0,25.9,3.0,1.0,2.0,0.7,43.0,14.5,29.0,9.8,77.0,77.0,48.0,62.3,41.0,53.2
18039,3862.0,3862.0,1166.0,30.2,206.0,5.3,183.0,4.7,340.0,8.8,437.0,11.3,1166.0,1166.0,653.0,56.0,950.0,81.5
18041,481.0,481.0,270.0,56.1,24.0,5.0,8.0,1.7,80.0,16.6,158.0,32.8,270.0,270.0,180.0,66.7,169.0,62.6
18043,1165.0,1165.0,563.0,48.3,24.0,2.1,142.0,12.2,104.0,8.9,293.0,25.2,563.0,563.0,374.0,66.4,300.0,53.3
18045,310.0,310.0,129.0,41.6,71.0,22.9,6.0,1.9,9.0,2.9,43.0,13.9,129.0,129.0,82.0,63.6,91.0,70.5
18047,306.0,306.0,92.0,30.1,10.0,3.3,1.0,0.3,26.0,8.5,55.0,18.0,92.0,92.0,74.0,80.4,46.0,50.0
18049,320.0,320.0,77.0,24.1,16.0,5.0,3.0,0.9,15.0,4.7,43.0,13.4,77.0,77.0,46.0,59.7,45.0,58.4
18051,411.0,411.0,209.0,50.9,95.0,23.1,35.0,8.5,21.0,5.1,58.0,14.1,209.0,209.0,121.0,57.9,176.0,84.2
18053,1246.0,1246.0,798.0,64.0,41.0,3.3,297.0,23.8,141.0,11.3,319.0,25.6,798.0,798.0,446.0,55.9,596.0,74.7
18055,862.0,862.0,560.0,65.0,151.0,17.5,58.0,6.7,56.0,6.5,295.0,34.2,560.0,560.0,282.0,50.4,450.0,80.4
18057,3124.0,3124.0,1035.0,33.1,75.0,2.4,257.0,8.2,60.0,1.9,643.0,20.6,1035.0,1035.0,657.0,63.5,697.0,67.3
18059,1190.0,1190.0,433.0,36.4,14.0,1.2,59.0,5.0,52.0,4.4,308.0,25.9,433.0,433.0,255.0,58.9,334.0,77.1
18061,904.0,904.0,592.0,65.5,29.0,3.2,309.0,34.2,44.0,4.9,210.0,23.2,592.0,592.0,315.0,53.2,531.0,89.7
18063,2886.0,2886.0,1287.0,44.6,60.0,2.1,265.0,9.2,161.0,5.6,801.0,27.8,1287.0,1287.0,783.0,60.8,923.0,71.7
18065,735.0,735.0,397.0,54.0,64.0,8.7,99.0,13.5,42.0,5.7,192.0,26.1,397.0,397.0,243.0,61.2,309.0,77.8
18067,1529.0,1529.0,884.0,57.8,225.0,14.7,238.0,15.6,69.0,4.5,352.0,23.0,884.0,884.0,516.0,58.4,658.0,74.4
18069,549.0,549.0,209.0,38.1,16.0,2.9,87.0,15.8,23.0,4.2,83.0,15.1,209.0,209.0,106.0,50.7,190.0,90.9
18071,802.0,802.0,434.0,54.1,100.0,12.5,69.0,8.6,38.0,4.7,227.0,28.3,434.0,434.0,311.0,71.7,224.0,51.6
18073,571.0,571.0,253.0,44.3,19.0,3.3,95.0,16.6,54.0,9.5,85.0,14.9,253.0,253.0,128.0,50.6,161.0,63.6
18075,567.0,567.0,281.0,49.6,48.0,8.5,93.0,16.4,25.0,4.4,115.0,20.3,281.0,281.0,190.0,67.6,182.0,64.8
18077,749.0,749.0,394.0,52.6,108.0,14.4,14.0,1.9,28.0,3.7,244.0,32.6,394.0,394.0,232.0,58.9,315.0,79.9
18079,842.0,842.0,401.0,47.6,220.0,26.1,0.0,0.0,119.0,14.1,62.0,7.4,401.0,401.0,268.0,66.8,241.0,60.1
18081,3608.0,3608.0,1530.0,42.4,235.0,6.5,526.0,14.6,198.0,5.5,571.0,15.8,1530.0,1530.0,813.0,53.1,1152.0,75.3
18083,731.0,731.0,326.0,44.6,72.0,9.8,92.0,12.6,29.0,4.0,133.0,18.2,326.0,326.0,212.0,65.0,234.0,71.8
18085,1526.0,1526.0,714.0,46.8,98.0,6.4,240.0,15.7,52.0,3.4,324.0,21.2,714.0,714.0,414.0,58.0,497.0,69.6
18087,739.0,739.0,226.0,30.6,48.0,6.5,83.0,11.2,32.0,4.3,63.0,8.5,226.0,226.0,160.0,70.8,131.0,58.0
18089,11833.0,11833.0,4969.0,42.0,1295.0,10.9,962.0,8.1,656.0,5.5,2056.0,17.4,4969.0,4969.0,3110.0,62.6,3491.0,70.3
18091,2095.0,2095.0,1044.0,49.8,177.0,8.4,233.0,11.1,300.0,14.3,334.0,15.9,1044.0,1044.0,692.0,66.3,683.0,65.4
18093,1113.0,1113.0,717.0,64.4,240.0,21.6,142.0,12.8,69.0,6.2,266.0,23.9,717.0,717.0,536.0,74.8,450.0,62.8
18095,2941.0,2941.0,1710.0,58.1,519.0,17.6,404.0,13.7,151.0,5.1,636.0,21.6,1710.0,1710.0,1082.0,63.3,1216.0,71.1
18097,18091.0,18091.0,8005.0,44.2,1661.0,9.2,1723.0,9.5,1464.0,8.1,3157.0,17.5,8005.0,8005.0,5686.0,71.0,4365.0,54.5
18099,830.0,830.0,233.0,28.1,34.0,4.1,32.0,3.9,15.0,1.8,152.0,18.3,233.0,233.0,113.0,48.5,92.0,39.5
18101,170.0,170.0,136.0,80.0,4.0,2.4,50.0,29.4,20.0,11.8,62.0,36.5,136.0,136.0,59.0,43.4,128.0,94.1
18103,718.0,718.0,308.0,42.9,42.0,5.8,113.0,15.7,65.0,9.1,88.0,12.3,308.0,308.0,149.0,48.4,283.0,91.9
18105,1617.0,1617.0,749.0,46.3,106.0,6.6,106.0,6.6,213.0,13.2,324.0,20.0,749.0,749.0,470.0,62.8,433.0,57.8
18107,950.0,950.0,646.0,68.0,170.0,17.9,167.0,17.6,140.0,14.7,169.0,17.8,646.0,646.0,382.0,59.1,527.0,81.6
18109,1702.0,1702.0,755.0,44.4,202.0,11.9,247.0,14.5,119.0,7.0,187.0,11.0,755.0,755.0,428.0,56.7,561.0,74.3
18111,184.0,184.0,67.0,36.4,0.0,0.0,5.0,2.7,4.0,2.2,58.0,31.5,67.0,67.0,24.0,35.8,64.0,95.5
18113,1031.0,1031.0,402.0,39.0,4.0,0.4,113.0,11.0,49.0,4.8,236.0,22.9,402.0,402.0,239.0,59.5,256.0,63.7
18115,119.0,119.0,12.0,10.1,4.0,3.4,5.0,4.2,0.0,0.0,3.0,2.5,12.0,12.0,9.0,75.0,0.0,0.0
18117,452.0,452.0,274.0,60.6,88.0,19.5,41.0,9.1,19.0,4.2,126.0,27.9,274.0,274.0,192.0,70.1,159.0,58.0
18119,591.0,591.0,283.0,47.9,51.0,8.6,106.0,17.9,47.0,8.0,79.0,13.4,283.0,283.0,137.0,48.4,250.0,88.3
18121,322.0,322.0,191.0,59.3,25.0,7.8,7.0,2.2,43.0,13.4,116.0,36.0,191.0,191.0,108.0,56.5,165.0,86.4
18123,438.0,438.0,246.0,56.2,21.0,4.8,47.0,10.7,5.0,1.1,173.0,39.5,246.0,246.0,107.0,43.5,246.0,100.0
18125,226.0,226.0,126.0,55.8,4.0,1.8,56.0,24.8,17.0,7.5,49.0,21.7,126.0,126.0,72.0,57.1,84.0,66.7
18127,3050.0,3050.0,1164.0,38.2,257.0,8.4,382.0,12.5,252.0,8.3,273.0,9.0,1164.0,1164.0,689.0,59.2,888.0,76.3
18129,523.0,523.0,182.0,34.8,80.0,15.3,37.0,7.1,35.0,6.7,30.0,5.7,182.0,182.0,98.0,53.8,157.0,86.3
18131,246.0,246.0,108.0,43.9,8.0,3.3,23.0,9.3,16.0,6.5,61.0,24.8,108.0,108.0,71.0,65.7,87.0,80.6
18133,878.0,878.0,335.0,38.2,106.0,12.1,10.0,1.1,72.0,8.2,147.0,16.7,335.0,335.0,185.0,55.2,276.0,82.4
18135,430.0,430.0,226.0,52.6,21.0,4.9,53.0,12.3,56.0,13.0,96.0,22.3,226.0,226.0,115.0,50.9,186.0,82.3
18137,590.0,590.0,236.0,40.0,40.0,6.8,20.0,3.4,78.0,13.2,98.0,16.6,236.0,236.0,172.0,72.9,180.0,76.3
18139,305.0,305.0,137.0,44.9,0.0,0.0,90.0,29.5,14.0,4.6,33.0,10.8,137.0,137.0,105.0,76.6,76.0,55.5
18141,4001.0,4001.0,1719.0,43.0,336.0,8.4,459.0,11.5,298.0,7.4,626.0,15.6,1719.0,1719.0,1117.0,65.0,1144.0,66.6
18143,704.0,704.0,434.0,61.6,57.0,8.1,43.0,6.1,80.0,11.4,254.0,36.1,434.0,434.0,253.0,58.3,393.0,90.6
18145,817.0,817.0,348.0,42.6,46.0,5.6,152.0,18.6,48.0,5.9,102.0,12.5,348.0,348.0,175.0,50.3,251.0,72.1
18147,375.0,375.0,236.0,62.9,36.0,9.6,108.0,28.8,22.0,5.9,70.0,18.7,236.0,236.0,140.0,59.3,228.0,96.6
18149,610.0,610.0,331.0,54.3,26.0,4.3,83.0,13.6,18.0,3.0,204.0,33.4,331.0,331.0,218.0,65.9,222.0,67.1
18151,623.0,623.0,222.0,35.6,106.0,17.0,18.0,2.9,25.0,4.0,73.0,11.7,222.0,222.0,142.0,64.0,174.0,78.4
18153,552.0,552.0,170.0,30.8,29.0,5.3,21.0,3.8,47.0,8.5,73.0,13.2,170.0,170.0,83.0,48.8,123.0,72.4
18155,336.0,336.0,167.0,49.7,11.0,3.3,58.0,17.3,66.0,19.6,32.0,9.5,167.0,167.0,100.0,59.9,131.0,78.4
18157,2525.0,2525.0,1132.0,44.8,327.0,13.0,141.0,5.6,213.0,8.4,451.0,17.9,1132.0,1132.0,695.0,61.4,780.0,68.9
18159,474.0,474.0,232.0,48.9,12.0,2.5,128.0,27.0,0.0,0.0,92.0,19.4,232.0,232.0,116.0,50.0,187.0,80.6
18161,132.0,132.0,48.0,36.4,6.0,4.5,17.0,12.9,17.0,12.9,8.0,6.1,48.0,48.0,21.0,43.8,24.0,50.0
18163,3647.0,3647.0,2088.0,57.3,357.0,9.8,283.0,7.8,387.0,10.6,1061.0,29.1,2088.0,2088.0,1211.0,58.0,1574.0,75.4
18165,346.0,346.0,175.0,50.6,16.0,4.6,40.0,11.6,17.0,4.9,102.0,29.5,175.0,175.0,117.0,66.9,123.0,70.3
18167,2089.0,2089.0,776.0,37.1,98.0,4.7,169.0,8.1,102.0,4.9,407.0,19.5,776.0,776.0,534.0,68.8,545.0,70.2
18169,721.0,721.0,394.0,54.6,150.0,20.8,41.0,5.7,59.0,8.2,144.0,20.0,394.0,394.0,208.0,52.8,336.0,85.3
18171,135.0,135.0,61.0,45.2,20.0,14.8,25.0,18.5,5.0,3.7,11.0,8.1,61.0,61.0,29.0,47.5,61.0,100.0
18173,878.0,878.0,502.0,57.2,126.0,14.4,145.0,16.5,108.0,12.3,123.0,14.0,502.0,502.0,269.0,53.6,382.0,76.1
18175,500.0,500.0,282.0,56.4,39.0,7.8,29.0,5.8,37.0,7.4,177.0,35.4,282.0,282.0,146.0,51.8,248.0,87.9
18177,1361.0,1361.0,702.0,51.6,218.0,16.0,163.0,12.0,90.0,6.6,231.0,17.0,702.0,702.0,473.0,67.4,442.0,63.0
18179,520.0,520.0,218.0,41.9,45.0,8.7,63.0,12.1,42.0,8.1,68.0,13.1,218.0,218.0,126.0,57.8,149.0,68.3
18181,515.0,515.0,306.0,59.4,80.0,15.5,68.0,13.2,0.0,0.0,158.0,30.7,306.0,306.0,204.0,66.7,178.0,58.2
18183,376.0,376.0,260.0,69.1,44.0,11.7,18.0,4.8,46.0,12.2,152.0,40.4,260.0,260.0,167.0,64.2,196.0,75.4
19001,94.0,94.0,43.0,45.7,13.0,13.8,1.0,1.1,18.0,19.1,11.0,11.7,43.0,43.0,26.0,60.5,36.0,83.7
19003,19.0,19.0,8.0,42.1,0.0,0.0,8.0,42.1,0.0,0.0,0.0,0.0,8.0,8.0,4.0,50.0,8.0,100.0
19005,87.0,87.0,19.0,21.8,5.0,5.7,0.0,0.0,14.0,16.1,0.0,0.0,19.0,19.0,10.0,52.6,19.0,100.0
19007,178.0,178.0,92.0,51.7,25.0,14.0,8.0,4.5,7.0,3.9,52.0,29.2,92.0,92.0,47.0,51.1,81.0,88.0
19009,69.0,69.0,38.0,55.1,6.0,8.7,12.0,17.4,10.0,14.5,10.0,14.5,38.0,38.0,22.0,57.9,30.0,78.9
19011,264.0,264.0,54.0,20.5,2.0,0.8,33.0,12.5,6.0,2.3,13.0,4.9,54.0,54.0,31.0,57.4,48.0,88.9
19013,1626.0,1626.0,820.0,50.4,264.0,16.2,149.0,9.2,42.0,2.6,365.0,22.4,820.0,820.0,568.0,69.3,610.0,74.4
19015,211.0,211.0,38.0,18.0,9.0,4.3,8.0,3.8,0.0,0.0,21.0,10.0,38.0,38.0,21.0,55.3,38.0,100.0
19017,88.0,88.0,46.0,52.3,5.0,5.7,24.0,27.3,11.0,12.5,6.0,6.8,46.0,46.0,26.0,56.5,39.0,84.8
19019,165.0,165.0,103.0,62.4,17.0,10.3,48.0,29.1,27.0,16.4,11.0,6.7,103.0,103.0,60.0,58.3,90.0,87.4
19021,566.0,566.0,224.0,39.6,76.0,13.4,3.0,0.5,0.0,0.0,145.0,25.6,224.0,224.0,99.0,44.2,204.0,91.1
19023,127.0,127.0,49.0,38.6,9.0,7.1,0.0,0.0,14.0,11.0,26.0,20.5,49.0,49.0,26.0,53.1,40.0,81.6
19025,30.0,30.0,9.0,30.0,0.0,0.0,0.0,0.0,6.0,20.0,3.0,10.0,9.0,9.0,5.0,55.6,4.0,44.4
19027,48.0,48.0,17.0,35.4,8.0,16.7,4.0,8.3,5.0,10.4,0.0,0.0,17.0,17.0,10.0,58.8,15.0,88.2
19029,105.0,105.0,36.0,34.3,8.0,7.6,5.0,4.8,0.0,0.0,23.0,21.9,36.0,36.0,28.0,77.8,25.0,69.4
19031,183.0,183.0,34.0,18.6,6.0,3.3,0.0,0.0,11.0,6.0,17.0,9.3,34.0,34.0,21.0,61.8,20.0,58.8
19033,489.0,489.0,286.0,58.5,146.0,29.9,83.0,17.0,46.0,9.4,11.0,2.2,286.0,286.0,148.0,51.7,236.0,82.5
19035,95.0,95.0,48.0,50.5,18.0,18.9,17.0,17.9,6.0,6.3,7.0,7.4,48.0,48.0,37.0,77.1,20.0,41.7
19037,180.0,180.0,124.0,68.9,0.0,0.0,16.0,8.9,28.0,15.6,80.0,44.4,124.0,124.0,58.0,46.8,116.0,93.5
19039,171.0,171.0,115.0,67.3,10.0,5.8,0.0,0.0,0.0,0.0,105.0,61.4,115.0,115.0,57.0,49.6,103.0,89.6
19041,216.0,216.0,45.0,20.8,0.0,0.0,5.0,2.3,0.0,0.0,40.0,18.5,45.0,45.0,35.0,77.8,16.0,35.6
19043,134.0,134.0,65.0,48.5,7.0,5.2,31.0,23.1,12.0,9.0,15.0,11.2,65.0,65.0,40.0,61.5,42.0,64.6
19045,649.0,649.0,321.0,49.5,34.0,5.2,131.0,20.2,4.0,0.6,152.0,23.4,321.0,321.0,185.0,57.6,267.0,83.2
19047,316.0,316.0,110.0,34.8,26.0,8.2,19.0,6.0,31.0,9.8,34.0,10.8,110.0,110.0,82.0,74.5,94.0,85.5
19049,978.0,978.0,386.0,39.5,128.0,13.1,149.0,15.2,43.0,4.4,66.0,6.7,386.0,386.0,222.0,57.5,321.0,83.2
19051,74.0,74.0,45.0,60.8,31.0,41.9,0.0,0.0,0.0,0.0,14.0,18.9,45.0,45.0,26.0,57.8,31.0,68.9
19053,92.0,92.0,63.0,68.5,29.0,31.5,4.0,4.3,13.0,14.1,17.0,18.5,63.0,63.0,42.0,66.7,53.0,84.1
19055,231.0,231.0,27.0,11.7,22.0,9.5,0.0,0.0,0.0,0.0,5.0,2.2,27.0,27.0,15.0,55.6,27.0,100.0
19057,720.0,720.0,384.0,53.3,27.0,3.8,43.0,6.0,155.0,21.5,159.0,22.1,384.0,384.0,210.0,54.7,323.0,84.1
19059,62.0,62.0,23.0,37.1,10.0,16.1,11.0,17.7,0.0,0.0,2.0,3.2,23.0,23.0,17.0,73.9,23.0,100.0
19061,899.0,899.0,297.0,33.0,110.0,12.2,77.0,8.6,27.0,3.0,83.0,9.2,297.0,297.0,147.0,49.5,195.0,65.7
19063,206.0,206.0,51.0,24.8,0.0,0.0,24.0,11.7,14.0,6.8,13.0,6.3,51.0,51.0,37.0,72.5,50.0,98.0
19065,217.0,217.0,74.0,34.1,11.0,5.1,16.0,7.4,13.0,6.0,34.0,15.7,74.0,74.0,40.0,54.1,67.0,90.5
19067,148.0,148.0,35.0,23.6,6.0,4.1,6.0,4.1,0.0,0.0,23.0,15.5,35.0,35.0,17.0,48.6,22.0,62.9
19069,82.0,82.0,10.0,12.2,0.0,0.0,0.0,0.0,3.0,3.7,7.0,8.5,10.0,10.0,6.0,60.0,9.0,90.0
19071,96.0,96.0,72.0,75.0,2.0,2.1,41.0,42.7,7.0,7.3,22.0,22.9,72.0,72.0,38.0,52.8,68.0,94.4
19073,168.0,168.0,111.0,66.1,47.0,28.0,20.0,11.9,33.0,19.6,11.0,6.5,111.0,111.0,57.0,51.4,96.0,86.5
19075,77.0,77.0,33.0,42.9,3.0,3.9,20.0,26.0,4.0,5.2,6.0,7.8,33.0,33.0,23.0,69.7,20.0,60.6
19077,154.0,154.0,99.0,64.3,62.0,40.3,8.0,5.2,7.0,4.5,22.0,14.3,99.0,99.0,61.0,61.6,87.0,87.9
19079,95.0,95.0,30.0,31.6,0.0,0.0,0.0,0.0,9.0,9.5,21.0,22.1,30.0,30.0,14.0,46.7,30.0,100.0
19081,135.0,135.0,72.0,53.3,7.0,5.2,9.0,6.7,53.0,39.3,3.0,2.2,72.0,72.0,44.0,61.1,52.0,72.2
19083,146.0,146.0,73.0,50.0,8.0,5.5,23.0,15.8,9.0,6.2,33.0,22.6,73.0,73.0,52.0,71.2,50.0,68.5
19085,281.0,281.0,127.0,45.2,48.0,17.1,5.0,1.8,40.0,14.2,34.0,12.1,127.0,127.0,66.0,52.0,86.0,67.7
19087,265.0,265.0,177.0,66.8,29.0,10.9,22.0,8.3,70.0,26.4,56.0,21.1,177.0,177.0,105.0,59.3,161.0,91.0
19089,102.0,102.0,71.0,69.6,7.0,6.9,51.0,50.0,0.0,0.0,13.0,12.7,71.0,71.0,42.0,59.2,63.0,88.7
19091,62.0,62.0,48.0,77.4,33.0,53.2,2.0,3.2,0.0,0.0,13.0,21.0,48.0,48.0,34.0,70.8,42.0,87.5
19093,65.0,65.0,47.0,72.3,0.0,0.0,7.0,10.8,0.0,0.0,40.0,61.5,47.0,47.0,29.0,61.7,41.0,87.2
19095,94.0,94.0,27.0,28.7,2.0,2.1,0.0,0.0,0.0,0.0,25.0,26.6,27.0,27.0,18.0,66.7,16.0,59.3
19097,185.0,185.0,90.0,48.6,55.0,29.7,7.0,3.8,2.0,1.1,26.0,14.1,90.0,90.0,52.0,57.8,71.0,78.9
19099,539.0,539.0,261.0,48.4,104.0,19.3,90.0,16.7,45.0,8.3,22.0,4.1,261.0,261.0,166.0,63.6,179.0,68.6
19101,241.0,241.0,39.0,16.2,25.0,10.4,0.0,0.0,0.0,0.0,14.0,5.8,39.0,39.0,16.0,41.0,39.0,100.0
19103,1142.0,1142.0,308.0,27.0,105.0,9.2,37.0,3.2,7.0,0.6,159.0,13.9,308.0,308.0,180.0,58.4,261.0,84.7
19105,260.0,260.0,69.0,26.5,19.0,7.3,26.0,10.0,0.0,0.0,24.0,9.2,69.0,69.0,31.0,44.9,69.0,100.0
19107,104.0,104.0,34.0,32.7,6.0,5.8,4.0,3.8,2.0,1.9,22.0,21.2,34.0,34.0,25.0,73.5,19.0,55.9
19109,118.0,118.0,67.0,56.8,22.0,18.6,5.0,4.2,29.0,24.6,11.0,9.3,67.0,67.0,38.0,56.7,63.0,94.0
19111,571.0,571.0,188.0,32.9,63.0,11.0,62.0,10.9,0.0,0.0,63.0,11.0,188.0,188.0,136.0,72.3,131.0,69.7
19113,2759.0,2759.0,1075.0,39.0,315.0,11.4,299.0,10.8,183.0,6.6,278.0,10.1,1075.0,1075.0,661.0,61.5,661.0,61.5
19115,216.0,216.0,119.0,55.1,13.0,6.0,70.0,32.4,0.0,0.0,36.0,16.7,119.0,119.0,62.0,52.1,100.0,84.0
19117,89.0,89.0,40.0,44.9,37.0,41.6,0.0,0.0,0.0,0.0,3.0,3.4,40.0,40.0,14.0,35.0,31.0,77.5
19119,94.0,94.0,28.0,29.8,10.0,10.6,9.0,9.6,0.0,0.0,9.0,9.6,28.0,28.0,9.0,32.1,28.0,100.0
19121,109.0,109.0,38.0,34.9,8.0,7.3,0.0,0.0,24.0,22.0,6.0,5.5,38.0,38.0,18.0,47.4,14.0,36.8
19123,256.0,256.0,156.0,60.9,40.0,15.6,8.0,3.1,9.0,3.5,99.0,38.7,156.0,156.0,106.0,67.9,108.0,69.2
19125,548.0,548.0,218.0,39.8,41.0,7.5,64.0,11.7,80.0,14.6,33.0,6.0,218.0,218.0,160.0,73.4,140.0,64.2
