countyFIPS,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers
47117,14297,14297,11384,79.6,1987,13.9,926,6.5,0,0.0
47119,42042,42042,34134,81.2,5033,12.0,2821,6.7,54,0.1
47121,4480,4480,3517,78.5,690,15.4,266,5.9,7,0.2
47123,17042,17042,13987,82.1,1884,11.1,1148,6.7,23,0.1
47125,80066,80066,58138,72.6,18018,22.5,3780,4.7,130,0.2
47127,2763,2763,2007,72.6,384,13.9,360,13.0,12,0.4
47129,7263,7263,5072,69.8,1608,22.1,553,7.6,30,0.4
47131,12747,12747,9593,75.3,1736,13.6,1360,10.7,58,0.5
47133,8982,8982,6861,76.4,1231,13.7,877,9.8,13,0.1
47135,2790,2790,1943,69.6,447,16.0,400,14.3,0,0.0
47137,2042,2042,1304,63.9,482,23.6,256,12.5,0,0.0
47139,6859,6859,5190,75.7,1046,15.3,618,9.0,5,0.1
47141,33590,33590,25584,76.2,5050,15.0,2808,8.4,148,0.4
47143,13217,13217,10126,76.6,2394,18.1,675,5.1,22,0.2
47145,21345,21345,16238,76.1,3823,17.9,1251,5.9,33,0.2
47147,33524,33524,26545,79.2,4595,13.7,2329,6.9,55,0.2
47149,161242,161242,130281,80.8,21247,13.2,9566,5.9,148,0.1
47151,8290,8290,6129,73.9,1494,18.0,667,8.0,0,0.0
47153,5929,5929,4396,74.1,889,15.0,640,10.8,4,0.1
47155,46263,46263,37651,81.4,4819,10.4,3716,8.0,77,0.2
47157,432142,432142,354365,82.0,55773,12.9,21590,5.0,414,0.1
47159,8792,8792,6861,78.0,1283,14.6,648,7.4,0,0.0
47161,5222,5222,3795,72.7,1056,20.2,363,7.0,8,0.2
47163,66020,66020,53332,80.8,7978,12.1,4555,6.9,155,0.2
47165,90151,90151,72482,80.4,10761,11.9,6694,7.4,214,0.2
47167,27266,27266,20948,76.8,4795,17.6,1471,5.4,52,0.2
47169,4051,4051,3294,81.3,473,11.7,284,7.0,0,0.0
47171,7063,7063,5732,81.2,941,13.3,381,5.4,9,0.1
47173,7209,7209,5669,78.6,756,10.5,705,9.8,79,1.1
47175,2153,2153,1338,62.1,567,26.3,234,10.9,14,0.7
47177,16895,16895,12878,76.2,2233,13.2,1728,10.2,56,0.3
47179,58720,58720,46347,78.9,8825,15.0,3462,5.9,86,0.1
47181,5753,5753,4026,70.0,1279,22.2,403,7.0,45,0.8
47183,14302,14302,10437,73.0,3071,21.5,767,5.4,27,0.2
47185,10087,10087,7757,76.9,1322,13.1,996,9.9,12,0.1
47187,110383,110383,90194,81.7,10150,9.2,9807,8.9,232,0.2
47189,66073,66073,53324,80.7,7987,12.1,4707,7.1,55,0.1
48001,19206,19206,14395,75.0,3525,18.4,1262,6.6,24,0.1
48003,8221,8221,7180,87.3,611,7.4,422,5.1,8,0.1
48005,35779,35779,27146,75.9,5987,16.7,2575,7.2,71,0.2
48007,10195,10195,7351,72.1,1402,13.8,1394,13.7,48,0.5
48009,4385,4385,3349,76.4,606,13.8,430,9.8,0,0.0
48011,951,951,600,63.1,245,25.8,93,9.8,13,1.4
48013,20037,20037,15940,79.6,2774,13.8,1323,6.6,0,0.0
48015,13801,13801,10667,77.3,1776,12.9,1355,9.8,3,0.0
48017,3273,3273,2521,77.0,349,10.7,384,11.7,19,0.6
48019,9243,9243,6624,71.7,1472,15.9,1123,12.1,24,0.3
48021,35049,35049,25535,72.9,6778,19.3,2596,7.4,140,0.4
48023,1505,1505,1130,75.1,218,14.5,157,10.4,0,0.0
48025,9449,9449,6427,68.0,2426,25.7,596,6.3,0,0.0
48027,139158,139158,100308,72.1,32021,23.0,6640,4.8,189,0.1
48029,887464,887464,716024,80.7,121076,13.6,49186,5.5,1178,0.1
48031,5343,5343,3841,71.9,795,14.9,696,13.0,11,0.2
48033,278,278,173,62.2,55,19.8,50,18.0,0,0.0
48035,7563,7563,5732,75.8,1016,13.4,778,10.3,37,0.5
48037,37085,37085,28845,77.8,6686,18.0,1541,4.2,13,0.0
48039,165147,165147,132453,80.2,24015,14.5,8549,5.2,130,0.1
48041,104813,104813,73076,69.7,25958,24.8,5658,5.4,121,0.1
48043,4318,4318,2680,62.1,1224,28.3,346,8.0,68,1.6
48045,690,690,442,64.1,124,18.0,115,16.7,9,1.3
48047,2428,2428,1538,63.3,649,26.7,241,9.9,0,0.0
48049,15974,15974,12238,76.6,2405,15.1,1321,8.3,10,0.1
48051,7731,7731,5344,69.1,1623,21.0,739,9.6,25,0.3
48053,20303,20303,15136,74.6,2477,12.2,2640,13.0,50,0.2
48055,18334,18334,13566,74.0,3481,19.0,1267,6.9,20,0.1
48057,9606,9606,7764,80.8,1262,13.1,580,6.0,0,0.0
48059,5684,5684,4131,72.7,928,16.3,562,9.9,63,1.1
48061,157501,157501,116223,73.8,26903,17.1,14047,8.9,328,0.2
48063,5239,5239,4029,76.9,715,13.6,426,8.1,69,1.3
48065,2897,2897,2011,69.4,596,20.6,285,9.8,5,0.2
48067,11615,11615,8597,74.0,1815,15.6,1157,10.0,46,0.4
48069,3438,3438,2590,75.3,492,14.3,332,9.7,24,0.7
48071,17821,17821,14043,78.8,2380,13.4,1347,7.6,51,0.3
48073,20364,20364,14933,73.3,4071,20.0,1309,6.4,51,0.3
48075,2801,2801,1858,66.3,726,25.9,217,7.7,0,0.0
48077,4355,4355,3211,73.7,716,16.4,390,9.0,38,0.9
48079,1207,1207,824,68.3,237,19.6,146,12.1,0,0.0
48081,1411,1411,821,58.2,440,31.2,150,10.6,0,0.0
48083,3348,3348,2371,70.8,499,14.9,476,14.2,2,0.1
48085,492047,492047,415632,84.5,47010,9.6,28727,5.8,678,0.1
48087,1322,1322,925,70.0,275,20.8,122,9.2,0,0.0
48089,9489,9489,7085,74.7,1577,16.6,807,8.5,20,0.2
48091,61977,61977,48966,79.0,8017,12.9,4756,7.7,238,0.4
48093,5638,5638,4212,74.7,774,13.7,617,10.9,35,0.6
48095,1245,1245,715,57.4,358,28.8,172,13.8,0,0.0
48097,19101,19101,15488,81.1,2338,12.2,1246,6.5,29,0.2
48099,23340,23340,14375,61.6,7517,32.2,1430,6.1,18,0.1
48101,655,655,426,65.0,150,22.9,76,11.6,3,0.5
48103,2029,2029,1651,81.4,344,17.0,29,1.4,5,0.2
48105,1741,1741,1044,60.0,440,25.3,257,14.8,0,0.0
48107,2443,2443,1792,73.4,447,18.3,197,8.1,7,0.3
48109,983,983,678,69.0,208,21.2,97,9.9,0,0.0
48111,3623,3623,2719,75.0,405,11.2,494,13.6,5,0.1
48113,1282839,1282839,1086742,84.7,112763,8.8,81344,6.3,1990,0.2
48115,4863,4863,3349,68.9,1082,22.2,419,8.6,13,0.3
48117,8581,8581,7043,82.1,900,10.5,542,6.3,96,1.1
48119,2060,2060,1508,73.2,329,16.0,223,10.8,0,0.0
48121,436490,436490,362127,83.0,49283,11.3,24268,5.6,812,0.2
48123,7957,7957,5928,74.5,1463,18.4,553,6.9,13,0.2
48125,743,743,541,72.8,119,16.0,81,10.9,2,0.3
48127,3533,3533,2405,68.1,769,21.8,359,10.2,0,0.0
48129,1487,1487,1043,70.1,256,17.2,185,12.4,3,0.2
48131,4073,4073,3096,76.0,727,17.8,225,5.5,25,0.6
48133,6531,6531,4886,74.8,1181,18.1,427,6.5,37,0.6
48135,73658,73658,60465,82.1,8514,11.6,4589,6.2,90,0.1
48137,902,902,604,67.0,149,16.5,149,16.5,0,0.0
48139,81964,81964,65680,80.1,10418,12.7,5627,6.9,239,0.3
48141,348062,348062,259481,74.6,66986,19.2,21122,6.1,473,0.1
48143,19604,19604,14848,75.7,2829,14.4,1818,9.3,109,0.6
48145,5809,5809,4345,74.8,981,16.9,471,8.1,12,0.2
48147,13461,13461,9604,71.3,2713,20.2,1103,8.2,41,0.3
48149,11209,11209,8635,77.0,1312,11.7,1225,10.9,37,0.3
48151,1715,1715,1218,71.0,292,17.0,205,12.0,0,0.0
48153,2400,2400,1769,73.7,408,17.0,223,9.3,0,0.0
48155,642,642,393,61.2,152,23.7,92,14.3,5,0.8
48157,353205,353205,290022,82.1,42313,12.0,20313,5.8,557,0.2
48159,4654,4654,3408,73.2,658,14.1,549,11.8,39,0.8
48161,7273,7273,5485,75.4,1276,17.5,512,7.0,0,0.0
48163,6757,6757,5012,74.2,1304,19.3,441,6.5,0,0.0
48165,8273,8273,6038,73.0,1144,13.8,1029,12.4,62,0.7
48167,153139,153139,118649,77.5,24676,16.1,9662,6.3,152,0.1
48169,2134,2134,1531,71.7,437,20.5,166,7.8,0,0.0
48171,11911,11911,8585,72.1,1279,10.7,1983,16.6,64,0.5
48173,694,694,506,72.9,130,18.7,56,8.1,2,0.3
48175,3075,3075,2173,70.7,631,20.5,271,8.8,0,0.0
48177,9083,9083,6818,75.1,1438,15.8,802,8.8,25,0.3
48179,9264,9264,7357,79.4,1214,13.1,654,7.1,39,0.4
48181,59160,59160,47310,80.0,7232,12.2,4541,7.7,77,0.1
48183,55553,55553,46655,84.0,5846,10.5,2987,5.4,65,0.1
48185,10583,10583,7947,75.1,1779,16.8,828,7.8,29,0.3
48187,72170,72170,54709,75.8,12939,17.9,4298,6.0,224,0.3
48189,14154,14154,10691,75.5,2580,18.2,850,6.0,33,0.2
48191,1236,1236,772,62.5,283,22.9,164,13.3,17,1.4
48193,3583,3583,2527,70.5,639,17.8,386,10.8,31,0.9
48195,2286,2286,1656,72.4,316,13.8,314,13.7,0,0.0
48197,1674,1674,1086,64.9,477,28.5,102,6.1,9,0.5
48199,23565,23565,19448,82.5,3127,13.3,978,4.2,12,0.1
48201,2223265,2223265,1850498,83.2,220953,9.9,148020,6.7,3794,0.2
48203,28251,28251,22584,79.9,3635,12.9,1940,6.9,92,0.3
48205,2013,2013,1524,75.7,287,14.3,162,8.0,40,2.0
48207,2268,2268,1500,66.1,372,16.4,380,16.8,16,0.7
48209,103747,103747,78924,76.1,17925,17.3,6571,6.3,327,0.3
48211,1917,1917,1411,73.6,351,18.3,143,7.5,12,0.6
48213,31583,31583,24155,76.5,4379,13.9,2978,9.4,71,0.2
48215,321626,321626,230247,71.6,55084,17.1,35912,11.2,383,0.1
48217,14899,14899,11693,78.5,2016,13.5,1148,7.7,42,0.3
48219,10373,10373,8396,80.9,1293,12.5,675,6.5,9,0.1
48221,23937,23937,18973,79.3,2571,10.7,2296,9.6,97,0.4
48223,15927,15927,12562,78.9,2191,13.8,1135,7.1,39,0.2
48225,8197,8197,5684,69.3,1613,19.7,897,10.9,3,0.0
48227,14563,14563,10639,73.1,2988,20.5,916,6.3,20,0.1
48229,1119,1119,688,61.5,259,23.1,172,15.4,0,0.0
48231,40070,40070,31709,79.1,5602,14.0,2716,6.8,43,0.1
48233,8995,8995,7238,80.5,1195,13.3,546,6.1,16,0.2
48235,642,642,434,67.6,123,19.2,85,13.2,0,0.0
48237,3251,3251,2446,75.2,489,15.0,285,8.8,31,1.0
48239,6580,6580,4935,75.0,1085,16.5,522,7.9,38,0.6
48241,13109,13109,10597,80.8,1956,14.9,556,4.2,0,0.0
48243,879,879,462,52.6,292,33.2,125,14.2,0,0.0
48245,105903,105903,87796,82.9,13751,13.0,4174,3.9,182,0.2
48247,1759,1759,1127,64.1,501,28.5,131,7.4,0,0.0
48249,16190,16190,12876,79.5,2062,12.7,1247,7.7,5,0.0
48251,74845,74845,61733,82.5,7888,10.5,5136,6.9,88,0.1
48253,4877,4877,3206,65.7,1118,22.9,507,10.4,46,0.9
48255,5382,5382,3761,69.9,1151,21.4,470,8.7,0,0.0
48257,55103,55103,42389,76.9,9160,16.6,3462,6.3,92,0.2
48259,19498,19498,15087,77.4,2187,11.2,2209,11.3,15,0.1
48261,220,220,136,61.8,84,38.2,0,0.0,0,0.0
48263,309,309,185,59.9,103,33.3,21,6.8,0,0.0
48265,21870,21870,15869,72.6,3100,14.2,2892,13.2,9,0.0
48267,2124,2124,1499,70.6,315,14.8,306,14.4,4,0.2
48269,122,122,85,69.7,21,17.2,16,13.1,0,0.0
48271,1213,1213,646,53.3,468,38.6,99,8.2,0,0.0
48273,13211,13211,9410,71.2,3066,23.2,688,5.2,47,0.4
48275,1454,1454,1053,72.4,290,19.9,100,6.9,11,0.8
48277,21218,21218,16917,79.7,2852,13.4,1415,6.7,34,0.2
48279,5647,5647,4389,77.7,885,15.7,369,6.5,4,0.1
48281,8776,8776,6117,69.7,1982,22.6,670,7.6,7,0.1
48283,2822,2822,2270,80.4,443,15.7,109,3.9,0,0.0
48285,8969,8969,6796,75.8,1285,14.3,830,9.3,58,0.6
48287,8019,8019,5796,72.3,1286,16.0,897,11.2,40,0.5
48289,6463,6463,4501,69.6,929,14.4,989,15.3,44,0.7
48291,30006,30006,23766,79.2,4207,14.0,1985,6.6,48,0.2
48293,8902,8902,5931,66.6,1998,22.4,971,10.9,2,0.0
48295,1630,1630,1118,68.6,296,18.2,208,12.8,8,0.5
48297,4437,4437,3132,70.6,783,17.6,471,10.6,51,1.1
48299,7748,7748,5496,70.9,1030,13.3,1191,15.4,31,0.4
48301,36,36,19,52.8,6,16.7,11,30.6,0,0.0
48303,147651,147651,114794,77.7,23750,16.1,8893,6.0,214,0.1
48305,2342,2342,1769,75.5,355,15.2,209,8.9,9,0.4
48307,3781,3781,2661,70.4,684,18.1,434,11.5,2,0.1
48309,113281,113281,91924,81.1,14458,12.8,6661,5.9,238,0.2
48311,230,230,127,55.2,42,18.3,61,26.5,0,0.0
48313,4402,4402,3083,70.0,847,19.2,466,10.6,6,0.1
48315,3612,3612,2729,75.6,530,14.7,347,9.6,6,0.2
48317,2527,2527,1913,75.7,341,13.5,266,10.5,7,0.3
48319,2115,2115,1597,75.5,133,6.3,372,17.6,13,0.6
48321,15709,15709,11971,76.2,2492,15.9,1216,7.7,30,0.2
48323,21520,21520,16451,76.4,3839,17.8,1148,5.3,82,0.4
48325,21359,21359,16126,75.5,3415,16.0,1772,8.3,46,0.2
48327,1128,1128,689,61.1,251,22.3,165,14.6,23,2.0
48329,82866,82866,68957,83.2,7501,9.1,6222,7.5,186,0.2
48331,9931,9931,7426,74.8,1789,18.0,687,6.9,29,0.3
48333,1903,1903,1419,74.6,297,15.6,182,9.6,5,0.3
48335,2743,2743,1625,59.2,822,30.0,268,9.8,28,1.0
48337,8240,8240,6731,81.7,897,10.9,570,6.9,42,0.5
48339,262084,262084,211923,80.9,28162,10.7,21712,8.3,287,0.1
48341,10090,10090,8195,81.2,1463,14.5,432,4.3,0,0.0
48343,5135,5135,3785,73.7,894,17.4,449,8.7,7,0.1
48345,503,503,300,59.6,96,19.1,107,21.3,0,0.0
48347,27948,27948,20663,73.9,5362,19.2,1871,6.7,52,0.2
48349,20941,20941,15619,74.6,3582,17.1,1687,8.1,53,0.3
48351,4965,4965,3715,74.8,934,18.8,316,6.4,0,0.0
48353,6092,6092,4492,73.7,1161,19.1,425,7.0,14,0.2
48355,165496,165496,128845,77.9,24724,14.9,11683,7.1,244,0.1
48357,4627,4627,3643,78.7,575,12.4,380,8.2,29,0.6
48359,800,800,662,82.8,98,12.3,35,4.4,5,0.6
48361,37083,37083,30620,82.6,4454,12.0,1968,5.3,41,0.1
48363,11903,11903,9349,78.5,1383,11.6,1127,9.5,44,0.4
48365,9846,9846,7914,80.4,1263,12.8,651,6.6,18,0.2
48367,60252,60252,47147,78.2,7827,13.0,5107,8.5,171,0.3
48369,4476,4476,3330,74.4,646,14.4,489,10.9,11,0.2
48371,6096,6096,4250,69.7,1272,20.9,524,8.6,50,0.8
48373,18582,18582,13313,71.6,3516,18.9,1739,9.4,14,0.1
48375,52637,52637,43414,82.5,6294,12.0,2914,5.5,15,0.0
48377,2532,2532,1572,62.1,627,24.8,318,12.6,15,0.6
48379,4690,4690,3514,74.9,499,10.6,677,14.4,0,0.0
48381,70272,70272,53552,76.2,11486,16.3,5127,7.3,107,0.2
48383,1685,1685,1333,79.1,231,13.7,121,7.2,0,0.0
48385,1292,1292,939,72.7,117,9.1,236,18.3,0,0.0
48387,4910,4910,3300,67.2,1114,22.7,492,10.0,4,0.1
48389,5681,5681,4091,72.0,1312,23.1,278,4.9,0,0.0
48391,2809,2809,2106,75.0,480,17.1,223,7.9,0,0.0
48393,367,367,215,58.6,86,23.4,66,18.0,0,0.0
48395,7401,7401,5314,71.8,1488,20.1,592,8.0,7,0.1
48397,46149,46149,36385,78.8,6657,14.4,3043,6.6,64,0.1
48399,4354,4354,3064,70.4,794,18.2,476,10.9,20,0.5
48401,20822,20822,16795,80.7,2454,11.8,1468,7.1,105,0.5
48403,3135,3135,2239,71.4,573,18.3,266,8.5,57,1.8
48405,2591,2591,1962,75.7,384,14.8,245,9.5,0,0.0
48407,10060,10060,7927,78.8,1299,12.9,828,8.2,6,0.1
48409,29024,29024,22716,78.3,4717,16.3,1537,5.3,54,0.2
48411,2452,2452,1752,71.5,399,16.3,292,11.9,9,0.4
48413,1405,1405,949,67.5,400,28.5,56,4.0,0,0.0
48415,6740,6740,5130,76.1,915,13.6,689,10.2,6,0.1
48417,1512,1512,1127,74.5,248,16.4,137,9.1,0,0.0
48419,9522,9522,7247,76.1,1238,13.0,989,10.4,48,0.5
48421,1629,1629,1208,74.2,184,11.3,237,14.5,0,0.0
48423,99381,99381,80621,81.1,11811,11.9,6789,6.8,160,0.2
48425,3782,3782,3164,83.7,365,9.7,237,6.3,16,0.4
48427,21842,21842,15252,69.8,4748,21.7,1646,7.5,196,0.9
48429,3647,3647,2512,68.9,530,14.5,605,16.6,0,0.0
48431,587,587,378,64.4,147,25.0,62,10.6,0,0.0
48433,586,586,377,64.3,160,27.3,43,7.3,6,1.0
48435,1938,1938,1471,75.9,229,11.8,231,11.9,7,0.4
48437,2657,2657,1897,71.4,404,15.2,354,13.3,2,0.1
48439,997459,997459,830300,83.2,108414,10.9,57513,5.8,1232,0.1
48441,62890,62890,49385,78.5,9651,15.3,3711,5.9,143,0.2
48443,344,344,189,54.9,90,26.2,65,18.9,0,0.0
48445,4658,4658,3585,77.0,724,15.5,349,7.5,0,0.0
48447,703,703,469,66.7,147,20.9,87,12.4,0,0.0
48449,14108,14108,11598,82.2,1666,11.8,821,5.8,23,0.2
48451,53898,53898,41356,76.7,8545,15.9,3947,7.3,50,0.1
48453,666484,666484,519691,78.0,97963,14.7,47982,7.2,848,0.1
48455,4938,4938,3425,69.4,1004,20.3,482,9.8,27,0.5
48457,6714,6714,5174,77.1,1251,18.6,270,4.0,19,0.3
48459,16963,16963,13393,79.0,2124,12.5,1431,8.4,15,0.1
48461,1437,1437,998,69.5,336,23.4,103,7.2,0,0.0
48463,11308,11308,8034,71.0,2139,18.9,1135,10.0,0,0.0
48465,18916,18916,12596,66.6,5129,27.1,1164,6.2,27,0.1
48467,22207,22207,16516,74.4,3322,15.0,2284,10.3,85,0.4
48469,42576,42576,34144,80.2,5228,12.3,3088,7.3,116,0.3
48471,24925,24925,15233,61.1,8587,34.5,1065,4.3,40,0.2
48473,22715,22715,16953,74.6,3940,17.3,1681,7.4,141,0.6
48475,4914,4914,3784,77.0,798,16.2,325,6.6,7,0.1
48477,14874,14874,10681,71.8,2601,17.5,1585,10.7,7,0.0
48479,106666,106666,80301,75.3,17956,16.8,8150,7.6,259,0.2
48481,18808,18808,14904,79.2,2678,14.2,1157,6.2,69,0.4
48483,2534,2534,1756,69.3,516,20.4,253,10.0,9,0.4
48485,55188,55188,41117,74.5,11001,19.9,2861,5.2,209,0.4
48487,6395,6395,4249,66.4,1611,25.2,530,8.3,5,0.1
48489,6975,6975,4879,69.9,1409,20.2,677,9.7,10,0.1
48491,266094,266094,211287,79.4,37841,14.2,16601,6.2,365,0.1
48493,21274,21274,15567,73.2,3732,17.5,1945,9.1,30,0.1
48495,3273,3273,2562,78.3,583,17.8,123,3.8,5,0.2
48497,29107,29107,22705,78.0,3860,13.3,2471,8.5,71,0.2
48499,15878,15878,12374,77.9,2373,14.9,1028,6.5,103,0.6
48501,3762,3762,2821,75.0,612,16.3,326,8.7,3,0.1
48503,8045,8045,5736,71.3,1336,16.6,897,11.1,76,0.9
48505,5036,5036,3370,66.9,1009,20.0,635,12.6,22,0.4
48507,4592,4592,3284,71.5,1020,22.2,284,6.2,4,0.1
49001,2726,2726,2181,80.0,425,15.6,117,4.3,3,0.1
49003,23020,23020,18181,79.0,3523,15.3,1249,5.4,67,0.3
49005,59014,59014,45644,77.3,10790,18.3,2472,4.2,108,0.2
49007,8868,8868,6496,73.3,1902,21.4,447,5.0,23,0.3
49009,257,257,189,73.5,66,25.7,2,0.8,0,0.0
49011,159157,159157,124733,78.4,27782,17.5,6481,4.1,161,0.1
49013,8117,8117,6078,74.9,1547,19.1,445,5.5,47,0.6
49015,4035,4035,2807,69.6,938,23.2,289,7.2,1,0.0
49017,2211,2211,1564,70.7,540,24.4,107,4.8,0,0.0
49019,5078,5078,4129,81.3,645,12.7,304,6.0,0,0.0
49021,21504,21504,16361,76.1,4186,19.5,957,4.5,0,0.0
49023,4843,4843,3725,76.9,873,18.0,245,5.1,0,0.0
49025,3265,3265,2214,67.8,823,25.2,204,6.2,24,0.7
49027,5539,5539,4140,74.7,971,17.5,424,7.7,4,0.1
49029,4809,4809,3784,78.7,807,16.8,201,4.2,17,0.4
49031,612,612,431,70.4,142,23.2,28,4.6,11,1.8
49033,766,766,637,83.2,105,13.7,24,3.1,0,0.0
49035,576623,576623,476118,82.6,73214,12.7,26558,4.6,733,0.1
49037,5488,5488,3397,61.9,1632,29.7,444,8.1,15,0.3
49039,11243,11243,8578,76.3,1851,16.5,812,7.2,2,0.0
49041,8838,8838,6274,71.0,1896,21.5,643,7.3,25,0.3
49043,22237,22237,17974,80.8,2567,11.5,1666,7.5,30,0.1
49045,29272,29272,22726,77.6,5432,18.6,1098,3.8,16,0.1
49047,15090,15090,11607,76.9,2792,18.5,647,4.3,44,0.3
49049,269203,269203,226236,84.0,29770,11.1,12617,4.7,580,0.2
49051,15195,15195,11946,78.6,2308,15.2,910,6.0,31,0.2
49053,65077,65077,52812,81.2,8320,12.8,3803,5.8,142,0.2
49055,1248,1248,829,66.4,230,18.4,183,14.7,6,0.5
49057,118705,118705,92164,77.6,21697,18.3,4668,3.9,176,0.1
50001,20040,20040,15872,79.2,2014,10.0,2102,10.5,52,0.3
50003,17534,17534,13610,77.6,1852,10.6,2017,11.5,55,0.3
50005,14620,14620,10913,74.6,1962,13.4,1651,11.3,94,0.6
50007,90996,90996,72989,80.2,12796,14.1,5148,5.7,63,0.1
50009,2767,2767,2000,72.3,491,17.7,267,9.6,9,0.3
50011,25988,25988,19372,74.5,4423,17.0,2157,8.3,36,0.1
50013,3691,3691,2780,75.3,539,14.6,347,9.4,25,0.7
50015,13602,13602,10473,77.0,1649,12.1,1464,10.8,16,0.1
50017,15404,15404,11124,72.2,2197,14.3,2038,13.2,45,0.3
50019,12213,12213,8878,72.7,1864,15.3,1359,11.1,112,0.9
50021,30183,30183,23620,78.3,4150,13.7,2352,7.8,61,0.2
50023,31374,31374,22853,72.8,5700,18.2,2756,8.8,65,0.2
50025,21908,21908,16573,75.6,2789,12.7,2508,11.4,38,0.2
50027,28422,28422,22456,79.0,3470,12.2,2338,8.2,158,0.6
51001,13817,13817,10144,73.4,2482,18.0,1159,8.4,32,0.2
51003,52003,52003,35670,68.6,12402,23.8,3767,7.2,164,0.3
51005,6054,6054,4818,79.6,780,12.9,450,7.4,6,0.1
51007,6241,6241,4884,78.3,898,14.4,379,6.1,80,1.3
51009,14513,14513,11626,80.1,2185,15.1,677,4.7,25,0.2
51011,6963,6963,5559,79.8,1169,16.8,220,3.2,15,0.2
51013,145621,145621,102638,70.5,36485,25.1,6246,4.3,252,0.2
51015,35166,35166,26943,76.6,5985,17.0,2131,6.1,107,0.3
51017,2092,2092,1729,82.6,313,15.0,50,2.4,0,0.0
51019,37064,37064,30328,81.8,4797,12.9,1878,5.1,61,0.2
51021,2555,2555,1987,77.8,458,17.9,110,4.3,0,0.0
51023,15847,15847,12628,79.7,2228,14.1,981,6.2,10,0.1
51025,6422,6422,4665,72.6,1299,20.2,455,7.1,3,0.0
51027,6383,6383,5143,80.6,1077,16.9,163,2.6,0,0.0
51029,6671,6671,4873,73.0,1316,19.7,437,6.6,45,0.7
51031,26938,26938,22423,83.2,3126,11.6,1371,5.1,18,0.1
51033,13695,13695,10131,74.0,2986,21.8,572,4.2,6,0.0
51035,12952,12952,9844,76.0,1927,14.9,1181,9.1,0,0.0
51036,3318,3318,2626,79.1,529,15.9,163,4.9,0,0.0
51037,5031,5031,3369,67.0,1076,21.4,576,11.4,10,0.2
51041,173467,173467,134526,77.6,31220,18.0,7590,4.4,131,0.1
51043,7182,7182,5208,72.5,1366,19.0,574,8.0,34,0.5
51045,2207,2207,1487,67.4,698,31.6,22,1.0,0,0.0
51047,24163,24163,18510,76.6,3979,16.5,1633,6.8,41,0.2
51049,4656,4656,3155,67.8,939,20.2,551,11.8,11,0.2
51051,4433,4433,2980,67.2,1224,27.6,225,5.1,4,0.1
51053,13594,13594,10224,75.2,2860,21.0,486,3.6,24,0.2
51057,5231,5231,4137,79.1,851,16.3,231,4.4,12,0.2
51059,611628,611628,450438,73.6,126663,20.7,33582,5.5,945,0.2
51061,35568,35568,26347,74.1,6660,18.7,2475,7.0,86,0.2
51063,7163,7163,5604,78.2,883,12.3,649,9.1,27,0.4
51065,12252,12252,8944,73.0,2562,20.9,706,5.8,40,0.3
51067,25156,25156,20175,80.2,3009,12.0,1945,7.7,27,0.1
51069,42883,42883,33385,77.9,7152,16.7,2315,5.4,31,0.1
51071,7392,7392,5516,74.6,1603,21.7,265,3.6,8,0.1
51073,17623,17623,13084,74.2,3599,20.4,930,5.3,10,0.1
51075,10715,10715,8311,77.6,1494,13.9,889,8.3,21,0.2
51077,6457,6457,4995,77.4,1022,15.8,417,6.5,23,0.4
51079,9820,9820,7088,72.2,2029,20.7,690,7.0,13,0.1
51081,3943,3943,2883,73.1,882,22.4,178,4.5,0,0.0
51083,14700,14700,11121,75.7,2518,17.1,973,6.6,88,0.6
51085,54987,54987,43140,78.5,9308,16.9,2457,4.5,82,0.1
51087,171012,171012,137175,80.2,26641,15.6,7003,4.1,193,0.1
51089,20064,20064,16039,79.9,3160,15.7,827,4.1,38,0.2
51091,893,893,543,60.8,277,31.0,73,8.2,0,0.0
51093,17425,17425,13023,74.7,3511,20.1,885,5.1,6,0.0
51095,33444,33444,24942,74.6,7046,21.1,1456,4.4,0,0.0
51097,3081,3081,2294,74.5,665,21.6,122,4.0,0,0.0
51099,12863,12863,8082,62.8,4352,33.8,416,3.2,13,0.1
51101,8292,8292,6479,78.1,1430,17.2,377,4.5,6,0.1
51103,4338,4338,3284,75.7,687,15.8,359,8.3,8,0.2
51105,7474,7474,5528,74.0,1388,18.6,511,6.8,47,0.6
51107,207877,207877,162880,78.4,35645,17.1,9052,4.4,300,0.1
51109,16475,16475,11964,72.6,2933,17.8,1456,8.8,122,0.7
51111,4470,4470,3243,72.6,1004,22.5,223,5.0,0,0.0
