countyFIPS,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers
42113,2698,2698,2027,75.1,375,13.9,277,10.3,19,0.7
42115,18265,18265,14713,80.6,1863,10.2,1637,9.0,52,0.3
42117,18091,18091,14057,77.7,2473,13.7,1497,8.3,64,0.4
42119,18296,18296,14820,81.0,1950,10.7,1433,7.8,93,0.5
42121,22786,22786,17918,78.6,3480,15.3,1340,5.9,48,0.2
42123,18202,18202,14588,80.1,2353,12.9,1210,6.6,51,0.3
42125,99783,99783,85685,85.9,8941,9.0,5028,5.0,129,0.1
42127,21197,21197,16334,77.1,2813,13.3,2003,9.4,47,0.2
42129,172824,172824,149401,86.4,15333,8.9,7933,4.6,157,0.1
42131,12971,12971,11007,84.9,1226,9.5,730,5.6,8,0.1
42133,222484,222484,187100,84.1,24024,10.8,11022,5.0,338,0.2
44001,25195,25195,20513,81.4,3010,11.9,1647,6.5,25,0.1
44003,86754,86754,70851,81.7,11959,13.8,3865,4.5,79,0.1
44005,41378,41378,31977,77.3,5915,14.3,3408,8.2,78,0.2
44007,310070,310070,263769,85.1,33568,10.8,12490,4.0,243,0.1
44009,64575,64575,49229,76.2,10960,17.0,4292,6.6,94,0.1
45001,9748,9748,7745,79.5,1214,12.5,781,8.0,8,0.1
45003,71542,71542,56016,78.3,11826,16.5,3393,4.7,307,0.4
45005,2796,2796,1952,69.8,703,25.1,141,5.0,0,0.0
45007,88386,88386,72019,81.5,11264,12.7,4961,5.6,142,0.2
45009,5433,5433,3911,72.0,1185,21.8,331,6.1,6,0.1
45011,8235,8235,6453,78.4,1365,16.6,414,5.0,3,0.0
45013,74418,74418,59049,79.3,9918,13.3,5286,7.1,165,0.2
45015,96452,96452,74411,77.1,17129,17.8,4825,5.0,87,0.1
45017,6388,6388,4749,74.3,1325,20.7,293,4.6,21,0.3
45019,200094,200094,155034,77.5,31811,15.9,12774,6.4,475,0.2
45021,22272,22272,18675,83.8,2595,11.7,925,4.2,77,0.3
45023,13094,13094,10455,79.8,1996,15.2,608,4.6,35,0.3
45025,18961,18961,15358,81.0,2605,13.7,983,5.2,15,0.1
45027,11726,11726,9047,77.2,2007,17.1,667,5.7,5,0.0
45029,15620,15620,11083,71.0,2891,18.5,1617,10.4,29,0.2
45031,26540,26540,21363,80.5,3861,14.5,1248,4.7,68,0.3
45033,11306,11306,9092,80.4,1718,15.2,494,4.4,2,0.0
45035,73015,73015,56636,77.6,12914,17.7,3339,4.6,126,0.2
45037,10489,10489,8320,79.3,1623,15.5,511,4.9,35,0.3
45039,8626,8626,6825,79.1,1433,16.6,368,4.3,0,0.0
45041,60509,60509,47669,78.8,10324,17.1,2461,4.1,55,0.1
45043,24850,24850,19922,80.2,2821,11.4,1958,7.9,149,0.6
45045,240453,240453,206247,85.8,22150,9.2,11777,4.9,279,0.1
45047,30079,30079,24270,80.7,4228,14.1,1543,5.1,38,0.1
45049,7552,7552,5400,71.5,1465,19.4,649,8.6,38,0.5
45051,142291,142291,116191,81.7,15745,11.1,10055,7.1,300,0.2
45053,12182,12182,9815,80.6,1629,13.4,738,6.1,0,0.0
45055,27280,27280,21703,79.6,4301,15.8,1241,4.5,35,0.1
45057,38181,38181,31908,83.6,4487,11.8,1725,4.5,61,0.2
45059,27963,27963,22941,82.0,3703,13.2,1286,4.6,33,0.1
45061,5850,5850,4646,79.4,827,14.1,370,6.3,7,0.1
45063,138852,138852,107203,77.2,24249,17.5,7281,5.2,119,0.1
45065,2633,2633,1757,66.7,796,30.2,80,3.0,0,0.0
45067,11497,11497,8982,78.1,2020,17.6,470,4.1,25,0.2
45069,9616,9616,7376,76.7,1669,17.4,563,5.9,8,0.1
45071,16459,16459,13112,79.7,2650,16.1,697,4.2,0,0.0
45073,31132,31132,24331,78.2,4822,15.5,1884,6.1,95,0.3
45075,34965,34965,26012,74.4,6747,19.3,2137,6.1,69,0.2
45077,54520,54520,42569,78.1,9037,16.6,2824,5.2,90,0.2
45079,194982,194982,144234,74.0,41815,21.4,8791,4.5,142,0.1
45081,8745,8745,7124,81.5,1145,13.1,445,5.1,31,0.4
45083,138787,138787,116273,83.8,15977,11.5,6311,4.5,226,0.2
45085,42568,42568,32371,76.0,7578,17.8,2554,6.0,65,0.2
45087,11637,11637,9459,81.3,1688,14.5,459,3.9,31,0.3
45089,11712,11712,8778,74.9,2494,21.3,415,3.5,25,0.2
45091,126871,126871,107141,84.4,14184,11.2,5355,4.2,191,0.2
46003,1442,1442,995,69.0,227,15.7,216,15.0,4,0.3
46005,9298,9298,7224,77.7,1270,13.7,773,8.3,31,0.3
46007,1224,1224,578,47.2,484,39.5,153,12.5,9,0.7
46009,2911,2911,1820,62.5,579,19.9,499,17.1,13,0.4
46011,19359,19359,14667,75.8,3652,18.9,992,5.1,48,0.2
46013,20784,20784,16427,79.0,2750,13.2,1512,7.3,95,0.5
46015,2752,2752,1848,67.2,363,13.2,425,15.4,116,4.2
46017,658,658,296,45.0,335,50.9,21,3.2,6,0.9
