countyFIPS,Estimate!!HOUSEHOLDS BY TYPE!!Total households,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families),Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families),Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children of the householder under 18 years,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children of the householder under 18 years,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years,"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family","Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family!!With own children of the householder under 18 years","Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family!!With own children of the householder under 18 years","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family","Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years","Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years",Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,Percent Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size
1001,21115.0,21115.0,15161.0,71.8,6787.0,32.1,11988.0,56.8,5201.0,24.6,768.0,3.6,373.0,1.8,2405.0,11.4,1213.0,5.7,5954.0,28.2,5303.0,25.1,2226.0,10.5,7618.0,36.1,5730.0,27.1,2.59,(X),3.12,(X)
1003,78622.0,78622.0,51359.0,65.3,18035.0,22.9,41452.0,52.7,13527.0,17.2,2422.0,3.1,1094.0,1.4,7485.0,9.5,3414.0,4.3,27263.0,34.7,23893.0,30.4,10093.0,12.8,20638.0,26.2,27491.0,35.0,2.61,(X),3.29,(X)
1005,9186.0,9186.0,6030.0,65.6,2423.0,26.4,3908.0,42.5,1249.0,13.6,346.0,3.8,169.0,1.8,1776.0,19.3,1005.0,10.9,3156.0,34.4,2990.0,32.5,1333.0,14.5,2908.0,31.7,3325.0,36.2,2.49,(X),3.16,(X)
1007,6840.0,6840.0,4947.0,72.3,1728.0,25.3,3626.0,53.0,1321.0,19.3,387.0,5.7,80.0,1.2,934.0,13.7,327.0,4.8,1893.0,27.7,1776.0,26.0,885.0,12.9,1995.0,29.2,2419.0,35.4,2.99,(X),3.59,(X)
1009,20600.0,20600.0,15104.0,73.3,5566.0,27.0,11942.0,58.0,4129.0,20.0,1185.0,5.8,488.0,2.4,1977.0,9.6,949.0,4.6,5496.0,26.7,5090.0,24.7,2276.0,11.0,6418.0,31.2,6659.0,32.3,2.77,(X),3.32,(X)
1011,3609.0,3609.0,2481.0,68.7,1128.0,31.3,1408.0,39.0,423.0,11.7,190.0,5.3,154.0,4.3,883.0,24.5,551.0,15.3,1128.0,31.3,1069.0,29.6,388.0,10.8,1292.0,35.8,1059.0,29.3,2.75,(X),3.43,(X)
1013,6708.0,6708.0,4429.0,66.0,1564.0,23.3,2986.0,44.5,860.0,12.8,204.0,3.0,92.0,1.4,1239.0,18.5,612.0,9.1,2279.0,34.0,2046.0,30.5,825.0,12.3,1867.0,27.8,2231.0,33.3,2.94,(X),3.69,(X)
1015,45033.0,45033.0,30833.0,68.5,11798.0,26.2,21495.0,47.7,7097.0,15.8,1971.0,4.4,871.0,1.9,7367.0,16.4,3830.0,8.5,14200.0,31.5,12067.0,26.8,4892.0,10.9,14099.0,31.3,13834.0,30.7,2.49,(X),2.98,(X)
1017,13516.0,13516.0,8659.0,64.1,2825.0,20.9,5713.0,42.3,1518.0,11.2,784.0,5.8,253.0,1.9,2162.0,16.0,1054.0,7.8,4857.0,35.9,4274.0,31.6,1735.0,12.8,3494.0,25.9,4558.0,33.7,2.46,(X),3.1,(X)
1019,10606.0,10606.0,7332.0,69.1,2416.0,22.8,6062.0,57.2,1922.0,18.1,251.0,2.4,61.0,0.6,1019.0,9.6,433.0,4.1,3274.0,30.9,2998.0,28.3,1276.0,12.0,2889.0,27.2,3861.0,36.4,2.41,(X),2.96,(X)
1021,16751.0,16751.0,11926.0,71.2,4771.0,28.5,8613.0,51.4,3049.0,18.2,967.0,5.8,384.0,2.3,2346.0,14.0,1338.0,8.0,4825.0,28.8,4173.0,24.9,2149.0,12.8,5537.0,33.1,4946.0,29.5,2.6,(X),3.07,(X)
1023,5350.0,5350.0,3510.0,65.6,1101.0,20.6,2323.0,43.4,638.0,11.9,219.0,4.1,35.0,0.7,968.0,18.1,428.0,8.0,1840.0,34.4,1714.0,32.0,727.0,13.6,1473.0,27.5,2029.0,37.9,2.41,(X),3.06,(X)
1025,9358.0,9358.0,6034.0,64.5,2070.0,22.1,4493.0,48.0,1329.0,14.2,425.0,4.5,212.0,2.3,1116.0,11.9,529.0,5.7,3324.0,35.5,3190.0,34.1,1157.0,12.4,2376.0,25.4,3140.0,33.6,2.57,(X),3.34,(X)
1027,5236.0,5236.0,3643.0,69.6,1342.0,25.6,2718.0,51.9,833.0,15.9,158.0,3.0,46.0,0.9,767.0,14.6,463.0,8.8,1593.0,30.4,1441.0,27.5,675.0,12.9,1455.0,27.8,1806.0,34.5,2.51,(X),3.06,(X)
1029,5726.0,5726.0,3860.0,67.4,1419.0,24.8,3079.0,53.8,1103.0,19.3,261.0,4.6,60.0,1.0,520.0,9.1,256.0,4.5,1866.0,32.6,1679.0,29.3,829.0,14.5,1688.0,29.5,1967.0,34.4,2.58,(X),3.18,(X)
1031,19789.0,19789.0,13583.0,68.6,5656.0,28.6,10224.0,51.7,3728.0,18.8,747.0,3.8,330.0,1.7,2612.0,13.2,1598.0,8.1,6206.0,31.4,5472.0,27.7,2174.0,11.0,6585.0,33.3,5786.0,29.2,2.56,(X),3.13,(X)
1033,21799.0,21799.0,14768.0,67.7,5221.0,24.0,10929.0,50.1,3430.0,15.7,1111.0,5.1,413.0,1.9,2728.0,12.5,1378.0,6.3,7031.0,32.3,6364.0,29.2,2713.0,12.4,6048.0,27.7,7189.0,33.0,2.48,(X),3.06,(X)
1035,4574.0,4574.0,2887.0,63.1,897.0,19.6,1818.0,39.7,402.0,8.8,147.0,3.2,36.0,0.8,922.0,20.2,459.0,10.0,1687.0,36.9,1639.0,35.8,750.0,16.4,1098.0,24.0,1786.0,39.0,2.73,(X),3.59,(X)
1037,4103.0,4103.0,2664.0,64.9,800.0,19.5,2018.0,49.2,595.0,14.5,122.0,3.0,27.0,0.7,524.0,12.8,178.0,4.3,1439.0,35.1,1357.0,33.1,662.0,16.1,998.0,24.3,1646.0,40.1,2.55,(X),3.26,(X)
1039,15008.0,15008.0,10124.0,67.5,3649.0,24.3,7396.0,49.3,2291.0,15.3,681.0,4.5,245.0,1.6,2047.0,13.6,1113.0,7.4,4884.0,32.5,4333.0,28.9,2193.0,14.6,4364.0,29.1,5399.0,36.0,2.44,(X),3.0,(X)
1041,5025.0,5025.0,3424.0,68.1,1179.0,23.5,2375.0,47.3,730.0,14.5,231.0,4.6,62.0,1.2,818.0,16.3,387.0,7.7,1601.0,31.9,1435.0,28.6,752.0,15.0,1481.0,29.5,1726.0,34.3,2.73,(X),3.38,(X)
1043,30730.0,30730.0,21303.0,69.3,8082.0,26.3,16984.0,55.3,6025.0,19.6,1184.0,3.9,448.0,1.5,3135.0,10.2,1609.0,5.2,9427.0,30.7,8259.0,26.9,3961.0,12.9,9278.0,30.2,10084.0,32.8,2.64,(X),3.2,(X)
1045,18670.0,18670.0,12586.0,67.4,4781.0,25.6,9104.0,48.8,3243.0,17.4,682.0,3.7,279.0,1.5,2800.0,15.0,1259.0,6.7,6084.0,32.6,5235.0,28.0,2023.0,10.8,5572.0,29.8,5563.0,29.8,2.57,(X),3.16,(X)
1047,16336.0,16336.0,10564.0,64.7,3763.0,23.0,5552.0,34.0,1510.0,9.2,991.0,6.1,299.0,1.8,4021.0,24.6,1954.0,12.0,5772.0,35.3,5201.0,31.8,2104.0,12.9,4768.0,29.2,5190.0,31.8,2.41,(X),3.04,(X)
1049,26132.0,26132.0,18413.0,70.5,7707.0,29.5,13776.0,52.7,5238.0,20.0,1485.0,5.7,701.0,2.7,3152.0,12.1,1768.0,6.8,7719.0,29.5,7004.0,26.8,3024.0,11.6,9066.0,34.7,8001.0,30.6,2.69,(X),3.24,(X)
1051,29143.0,29143.0,20959.0,71.9,8561.0,29.4,15601.0,53.5,5882.0,20.2,1621.0,5.6,645.0,2.2,3737.0,12.8,2034.0,7.0,8184.0,28.1,7341.0,25.2,2949.0,10.1,9566.0,32.8,8315.0,28.5,2.63,(X),3.16,(X)
1053,13428.0,13428.0,8213.0,61.2,2924.0,21.8,5811.0,43.3,1784.0,13.3,473.0,3.5,191.0,1.4,1929.0,14.4,949.0,7.1,5215.0,38.8,4720.0,35.2,2128.0,15.8,3707.0,27.6,4699.0,35.0,2.57,(X),3.4,(X)
1055,38777.0,38777.0,26139.0,67.4,9686.0,25.0,19210.0,49.5,6243.0,16.1,1559.0,4.0,703.0,1.8,5370.0,13.8,2740.0,7.1,12638.0,32.6,11275.0,29.1,5505.0,14.2,11516.0,29.7,13118.0,33.8,2.62,(X),3.23,(X)
1057,6947.0,6947.0,4812.0,69.3,1751.0,25.2,3620.0,52.1,1241.0,17.9,464.0,6.7,237.0,3.4,728.0,10.5,273.0,3.9,2135.0,30.7,1912.0,27.5,860.0,12.4,1977.0,28.5,2432.0,35.0,2.34,(X),2.83,(X)
1059,11210.0,11210.0,7702.0,68.7,2862.0,25.5,5644.0,50.3,1891.0,16.9,557.0,5.0,261.0,2.3,1501.0,13.4,710.0,6.3,3508.0,31.3,3119.0,27.8,1672.0,14.9,3389.0,30.2,3723.0,33.2,2.79,(X),3.41,(X)
1061,10479.0,10479.0,7220.0,68.9,2562.0,24.4,5389.0,51.4,1577.0,15.0,491.0,4.7,178.0,1.7,1340.0,12.8,807.0,7.7,3259.0,31.1,2741.0,26.2,1277.0,12.2,3055.0,29.2,3661.0,34.9,2.5,(X),3.05,(X)
1063,2955.0,2955.0,1630.0,55.2,436.0,14.8,914.0,30.9,141.0,4.8,177.0,6.0,35.0,1.2,539.0,18.2,260.0,8.8,1325.0,44.8,1266.0,42.8,570.0,19.3,594.0,20.1,1178.0,39.9,2.83,(X),4.13,(X)
1065,5658.0,5658.0,3560.0,62.9,1230.0,21.7,2334.0,41.3,631.0,11.2,142.0,2.5,86.0,1.5,1084.0,19.2,513.0,9.1,2098.0,37.1,1987.0,35.1,731.0,12.9,1614.0,28.5,1918.0,33.9,2.6,(X),3.43,(X)
1067,6669.0,6669.0,4477.0,67.1,1587.0,23.8,3592.0,53.9,1113.0,16.7,218.0,3.3,106.0,1.6,667.0,10.0,368.0,5.5,2192.0,32.9,1980.0,29.7,921.0,13.8,1801.0,27.0,2418.0,36.3,2.52,(X),3.13,(X)
1069,39253.0,39253.0,25733.0,65.6,10157.0,25.9,18054.0,46.0,6077.0,15.5,1574.0,4.0,718.0,1.8,6105.0,15.6,3362.0,8.6,13520.0,34.4,11783.0,30.0,4744.0,12.1,11743.0,29.9,12176.0,31.0,2.63,(X),3.29,(X)
1071,20626.0,20626.0,14410.0,69.9,5265.0,25.5,11419.0,55.4,3740.0,18.1,841.0,4.1,368.0,1.8,2150.0,10.4,1157.0,5.6,6216.0,30.1,5729.0,27.8,2630.0,12.8,6110.0,29.6,6826.0,33.1,2.49,(X),3.05,(X)
1073,260924.0,260924.0,164836.0,63.2,67677.0,25.9,108402.0,41.5,40562.0,15.5,11607.0,4.4,4556.0,1.7,44827.0,17.2,22559.0,8.6,96088.0,36.8,82672.0,31.7,28298.0,10.8,78736.0,30.2,72211.0,27.7,2.47,(X),3.14,(X)
1075,5974.0,5974.0,4052.0,67.8,1370.0,22.9,3260.0,54.6,1056.0,17.7,149.0,2.5,41.0,0.7,643.0,10.8,273.0,4.6,1922.0,32.2,1826.0,30.6,847.0,14.2,1640.0,27.5,2251.0,37.7,2.3,(X),2.88,(X)
1077,38514.0,38514.0,24868.0,64.6,9528.0,24.7,19028.0,49.4,6605.0,17.1,1337.0,3.5,511.0,1.3,4503.0,11.7,2412.0,6.3,13646.0,35.4,11318.0,29.4,5343.0,13.9,10863.0,28.2,12634.0,32.8,2.35,(X),2.91,(X)
1079,12811.0,12811.0,9325.0,72.8,3316.0,25.9,7246.0,56.6,2379.0,18.6,576.0,4.5,289.0,2.3,1503.0,11.7,648.0,5.1,3486.0,27.2,3261.0,25.5,1522.0,11.9,3940.0,30.8,4045.0,31.6,2.57,(X),3.07,(X)
1081,59373.0,59373.0,37391.0,63.0,17216.0,29.0,26591.0,44.8,11246.0,18.9,2619.0,4.4,1220.0,2.1,8181.0,13.8,4750.0,8.0,21982.0,37.0,16723.0,28.2,4562.0,7.7,19311.0,32.5,12518.0,21.1,2.58,(X),3.14,(X)
1083,32126.0,32126.0,22767.0,70.9,9284.0,28.9,18175.0,56.6,6849.0,21.3,1121.0,3.5,684.0,2.1,3471.0,10.8,1751.0,5.5,9359.0,29.1,8386.0,26.1,3505.0,10.9,10425.0,32.5,9261.0,28.8,2.81,(X),3.42,(X)
1085,4180.0,4180.0,2865.0,68.5,1018.0,24.4,1373.0,32.8,393.0,9.4,318.0,7.6,41.0,1.0,1174.0,28.1,584.0,14.0,1315.0,31.5,1247.0,29.8,584.0,14.0,1293.0,30.9,1422.0,34.0,2.43,(X),2.95,(X)
1087,7637.0,7637.0,4379.0,57.3,1415.0,18.5,2544.0,33.3,616.0,8.1,336.0,4.4,126.0,1.6,1499.0,19.6,673.0,8.8,3258.0,42.7,2889.0,37.8,1136.0,14.9,1794.0,23.5,2712.0,35.5,2.19,(X),2.9,(X)
1089,145256.0,145256.0,93386.0,64.3,39718.0,27.3,70410.0,48.5,27933.0,19.2,5547.0,3.8,2462.0,1.7,17429.0,12.0,9323.0,6.4,51870.0,35.7,44232.0,30.5,14353.0,9.9,44029.0,30.3,36972.0,25.5,2.4,(X),3.02,(X)
1091,7768.0,7768.0,4148.0,53.4,1513.0,19.5,2883.0,37.1,968.0,12.5,339.0,4.4,109.0,1.4,926.0,11.9,436.0,5.6,3620.0,46.6,3475.0,44.7,1042.0,13.4,1816.0,23.4,2326.0,29.9,2.48,(X),3.64,(X)
1093,12212.0,12212.0,8419.0,68.9,3119.0,25.5,6397.0,52.4,2159.0,17.7,586.0,4.8,243.0,2.0,1436.0,11.8,717.0,5.9,3793.0,31.1,3540.0,29.0,1937.0,15.9,3740.0,30.6,4331.0,35.5,2.41,(X),2.95,(X)
1095,34896.0,34896.0,23910.0,68.5,9677.0,27.7,18327.0,52.5,6470.0,18.5,1406.0,4.0,678.0,1.9,4177.0,12.0,2529.0,7.2,10986.0,31.5,9636.0,27.6,4371.0,12.5,11305.0,32.4,10907.0,31.3,2.7,(X),3.29,(X)
1097,155831.0,155831.0,101776.0,65.3,41046.0,26.3,68026.0,43.7,24197.0,15.5,6530.0,4.2,2781.0,1.8,27220.0,17.5,14068.0,9.0,54055.0,34.7,47077.0,30.2,16993.0,10.9,48203.0,30.9,45375.0,29.1,2.6,(X),3.28,(X)
1099,8149.0,8149.0,4994.0,61.3,1648.0,20.2,3573.0,43.8,967.0,11.9,262.0,3.2,61.0,0.7,1159.0,14.2,620.0,7.6,3155.0,38.7,3026.0,37.1,1173.0,14.4,1972.0,24.2,2741.0,33.6,2.61,(X),3.51,(X)
1101,89835.0,89835.0,56034.0,62.4,24217.0,27.0,33671.0,37.5,12668.0,14.1,4481.0,5.0,1966.0,2.2,17882.0,19.9,9583.0,10.7,33801.0,37.6,29434.0,32.8,9738.0,10.8,28284.0,31.5,23612.0,26.3,2.45,(X),3.13,(X)
1103,45646.0,45646.0,31202.0,68.4,12406.0,27.2,23506.0,51.5,8236.0,18.0,1986.0,4.4,1024.0,2.2,5710.0,12.5,3146.0,6.9,14444.0,31.6,12692.0,27.8,5507.0,12.1,14172.0,31.0,13819.0,30.3,2.57,(X),3.16,(X)
1105,3079.0,3079.0,1588.0,51.6,451.0,14.6,653.0,21.2,97.0,3.2,161.0,5.2,73.0,2.4,774.0,25.1,281.0,9.1,1491.0,48.4,1467.0,47.6,747.0,24.3,646.0,21.0,1312.0,42.6,2.82,(X),4.35,(X)
1107,7530.0,7530.0,4935.0,65.5,1688.0,22.4,3476.0,46.2,1075.0,14.3,424.0,5.6,112.0,1.5,1035.0,13.7,501.0,6.7,2595.0,34.5,2490.0,33.1,1258.0,16.7,2140.0,28.4,2634.0,35.0,2.49,(X),3.19,(X)
1109,11547.0,11547.0,6509.0,56.4,2480.0,21.5,4373.0,37.9,1369.0,11.9,394.0,3.4,110.0,1.0,1742.0,15.1,1001.0,8.7,5038.0,43.6,4255.0,36.8,1221.0,10.6,2771.0,24.0,3149.0,27.3,2.73,(X),3.63,(X)
1111,8643.0,8643.0,5870.0,67.9,2046.0,23.7,4288.0,49.6,1340.0,15.5,505.0,5.8,196.0,2.3,1077.0,12.5,510.0,5.9,2773.0,32.1,2483.0,28.7,1143.0,13.2,2395.0,27.7,3094.0,35.8,2.56,(X),3.15,(X)
1113,22740.0,22740.0,14510.0,63.8,6147.0,27.0,9666.0,42.5,3543.0,15.6,836.0,3.7,394.0,1.7,4008.0,17.6,2210.0,9.7,8230.0,36.2,7237.0,31.8,2282.0,10.0,7306.0,32.1,5639.0,24.8,2.53,(X),3.17,(X)
1115,32172.0,32172.0,23270.0,72.3,8915.0,27.7,18269.0,56.8,6596.0,20.5,1311.0,4.1,642.0,2.0,3690.0,11.5,1677.0,5.2,8902.0,27.7,7815.0,24.3,2895.0,9.0,10184.0,31.7,9915.0,30.8,2.65,(X),3.13,(X)
1117,78328.0,78328.0,56022.0,71.5,24405.0,31.2,46438.0,59.3,19709.0,25.2,2284.0,2.9,834.0,1.1,7300.0,9.3,3862.0,4.9,22306.0,28.5,19006.0,24.3,6945.0,8.9,26503.0,33.8,20582.0,26.3,2.66,(X),3.18,(X)
1119,5047.0,5047.0,2680.0,53.1,913.0,18.1,1539.0,30.5,451.0,8.9,190.0,3.8,61.0,1.2,951.0,18.8,401.0,7.9,2367.0,46.9,2215.0,43.9,732.0,14.5,1098.0,21.8,1576.0,31.2,2.4,(X),3.48,(X)
1121,31407.0,31407.0,20921.0,66.6,7657.0,24.4,14184.0,45.2,4398.0,14.0,1387.0,4.4,502.0,1.6,5350.0,17.0,2757.0,8.8,10486.0,33.4,9270.0,29.5,3708.0,11.8,9475.0,30.2,9661.0,30.8,2.46,(X),3.05,(X)
1123,16448.0,16448.0,11339.0,68.9,3975.0,24.2,8070.0,49.1,2334.0,14.2,720.0,4.4,428.0,2.6,2549.0,15.5,1213.0,7.4,5109.0,31.1,4726.0,28.7,2393.0,14.5,4551.0,27.7,5797.0,35.2,2.43,(X),2.99,(X)
1125,72379.0,72379.0,47281.0,65.3,20677.0,28.6,33170.0,45.8,12952.0,17.9,3094.0,4.3,1359.0,1.9,11017.0,15.2,6366.0,8.8,25098.0,34.7,20139.0,27.8,6425.0,8.9,23108.0,31.9,17616.0,24.3,2.71,(X),3.3,(X)
1127,25036.0,25036.0,17379.0,69.4,6030.0,24.1,12934.0,51.7,4155.0,16.6,1144.0,4.6,436.0,1.7,3301.0,13.2,1439.0,5.7,7657.0,30.6,6447.0,25.8,3228.0,12.9,7438.0,29.7,8643.0,34.5,2.54,(X),3.04,(X)
1129,6007.0,6007.0,4220.0,70.3,1302.0,21.7,3158.0,52.6,843.0,14.0,208.0,3.5,54.0,0.9,854.0,14.2,405.0,6.7,1787.0,29.7,1626.0,27.1,737.0,12.3,1698.0,28.3,2224.0,37.0,2.75,(X),3.36,(X)
1131,3804.0,3804.0,2246.0,59.0,575.0,15.1,1284.0,33.8,297.0,7.8,186.0,4.9,39.0,1.0,776.0,20.4,239.0,6.3,1558.0,41.0,1348.0,35.4,515.0,13.5,826.0,21.7,1330.0,35.0,2.77,(X),3.78,(X)
1133,9403.0,9403.0,6304.0,67.0,2195.0,23.3,4902.0,52.1,1511.0,16.1,443.0,4.7,206.0,2.2,959.0,10.2,478.0,5.1,3099.0,33.0,2799.0,29.8,1411.0,15.0,2573.0,27.4,3352.0,35.6,2.5,(X),3.09,(X)
2013,860.0,860.0,538.0,62.6,243.0,28.3,346.0,40.2,122.0,14.2,79.0,9.2,29.0,3.4,113.0,13.1,92.0,10.7,322.0,37.4,231.0,26.9,56.0,6.5,301.0,35.0,186.0,21.6,2.6,(X),3.16,(X)
2016,1176.0,1176.0,716.0,60.9,407.0,34.6,510.0,43.4,288.0,24.5,87.0,7.4,51.0,4.3,119.0,10.1,68.0,5.8,460.0,39.1,349.0,29.7,68.0,5.8,443.0,37.7,167.0,14.2,3.72,(X),4.55,(X)
2020,106524.0,106524.0,70176.0,65.9,33794.0,31.7,52005.0,48.8,23424.0,22.0,5921.0,5.6,3183.0,3.0,12250.0,11.5,7187.0,6.7,36348.0,34.1,26977.0,25.3,6998.0,6.6,37197.0,34.9,20932.0,19.7,2.71,(X),3.26,(X)
2050,4558.0,4558.0,3478.0,76.3,1967.0,43.2,2041.0,44.8,1212.0,26.6,559.0,12.3,319.0,7.0,878.0,19.3,436.0,9.6,1080.0,23.7,805.0,17.7,157.0,3.4,2472.0,54.2,1030.0,22.6,3.77,(X),4.3,(X)
2060,333.0,333.0,209.0,62.8,93.0,27.9,160.0,48.0,61.0,18.3,18.0,5.4,10.0,3.0,31.0,9.3,22.0,6.6,124.0,37.2,95.0,28.5,27.0,8.1,101.0,30.3,66.0,19.8,2.45,(X),2.96,(X)
2068,639.0,639.0,316.0,49.5,104.0,16.3,261.0,40.8,87.0,13.6,15.0,2.3,13.0,2.0,40.0,6.3,4.0,0.6,323.0,50.5,269.0,42.1,61.0,9.5,111.0,17.4,129.0,20.2,2.29,(X),3.23,(X)
2070,1420.0,1420.0,1017.0,71.6,548.0,38.6,600.0,42.3,300.0,21.1,136.0,9.6,71.0,5.0,281.0,19.8,177.0,12.5,403.0,28.4,331.0,23.3,97.0,6.8,683.0,48.1,312.0,22.0,3.25,(X),3.85,(X)
2090,36513.0,36513.0,24057.0,65.9,11871.0,32.5,18967.0,51.9,8588.0,23.5,2058.0,5.6,1243.0,3.4,3032.0,8.3,2040.0,5.6,12456.0,34.1,9053.0,24.8,2176.0,6.0,12633.0,34.6,6629.0,18.2,2.61,(X),3.14,(X)
2100,1026.0,1026.0,612.0,59.6,240.0,23.4,543.0,52.9,196.0,19.1,24.0,2.3,4.0,0.4,45.0,4.4,40.0,3.9,414.0,40.4,296.0,28.8,220.0,21.4,269.0,26.2,483.0,47.1,2.41,(X),2.98,(X)
2105,799.0,799.0,517.0,64.7,124.0,15.5,367.0,45.9,62.0,7.8,55.0,6.9,22.0,2.8,95.0,11.9,40.0,5.0,282.0,35.3,237.0,29.7,73.0,9.1,148.0,18.5,286.0,35.8,2.47,(X),2.97,(X)
2110,12521.0,12521.0,7610.0,60.8,3397.0,27.1,6041.0,48.2,2683.0,21.4,511.0,4.1,207.0,1.7,1058.0,8.4,507.0,4.0,4911.0,39.2,3694.0,29.5,1010.0,8.1,3774.0,30.1,2761.0,22.1,2.53,(X),3.14,(X)
2122,21741.0,21741.0,13666.0,62.9,5643.0,26.0,11057.0,50.9,3936.0,18.1,1060.0,4.9,687.0,3.2,1549.0,7.1,1020.0,4.7,8075.0,37.1,6524.0,30.0,2527.0,11.6,6146.0,28.3,6407.0,29.5,2.6,(X),3.25,(X)
2130,5327.0,5327.0,3397.0,63.8,1483.0,27.8,2512.0,47.2,950.0,17.8,297.0,5.6,172.0,3.2,588.0,11.0,361.0,6.8,1930.0,36.2,1484.0,27.9,521.0,9.8,1696.0,31.8,1415.0,26.6,2.54,(X),3.05,(X)
2150,4373.0,4373.0,3000.0,68.6,1557.0,35.6,2259.0,51.7,1006.0,23.0,172.0,3.9,102.0,2.3,569.0,13.0,449.0,10.3,1373.0,31.4,1084.0,24.8,272.0,6.2,1664.0,38.1,847.0,19.4,3.05,(X),3.63,(X)
2158,1692.0,1692.0,1415.0,83.6,895.0,52.9,657.0,38.8,461.0,27.2,296.0,17.5,171.0,10.1,462.0,27.3,263.0,15.5,277.0,16.4,217.0,12.8,49.0,2.9,1186.0,70.1,374.0,22.1,4.69,(X),5.05,(X)
2164,425.0,425.0,285.0,67.1,125.0,29.4,158.0,37.2,60.0,14.1,43.0,10.1,24.0,5.6,84.0,19.8,41.0,9.6,140.0,32.9,113.0,26.6,23.0,5.4,160.0,37.6,91.0,21.4,2.99,(X),3.65,(X)
2170,30879.0,30879.0,21695.0,70.3,10198.0,33.0,17541.0,56.8,7684.0,24.9,1602.0,5.2,984.0,3.2,2552.0,8.3,1530.0,5.0,9184.0,29.7,7174.0,23.2,2262.0,7.3,11131.0,36.0,6976.0,22.6,3.29,(X),3.9,(X)
2180,2875.0,2875.0,2175.0,75.7,1271.0,44.2,1070.0,37.2,662.0,23.0,496.0,17.3,270.0,9.4,609.0,21.2,339.0,11.8,700.0,24.3,552.0,19.2,128.0,4.5,1602.0,55.7,622.0,21.6,3.27,(X),3.64,(X)
2185,1966.0,1966.0,1472.0,74.9,750.0,38.1,713.0,36.3,438.0,22.3,320.0,16.3,114.0,5.8,439.0,22.3,198.0,10.1,494.0,25.1,368.0,18.7,109.0,5.5,1008.0,51.3,381.0,19.4,3.38,(X),3.86,(X)
2188,1860.0,1860.0,1394.0,74.9,824.0,44.3,707.0,38.0,421.0,22.6,267.0,14.4,159.0,8.5,420.0,22.6,244.0,13.1,466.0,25.1,367.0,19.7,91.0,4.9,1091.0,58.7,420.0,22.6,3.97,(X),4.56,(X)
2195,1170.0,1170.0,763.0,65.2,288.0,24.6,580.0,49.6,189.0,16.2,38.0,3.2,29.0,2.5,145.0,12.4,70.0,6.0,407.0,34.8,331.0,28.3,156.0,13.3,308.0,26.3,455.0,38.9,2.72,(X),3.41,(X)
