countyFIPS,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,Percent Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,Percent Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,Percent Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,Percent Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,Percent Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,Percent Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,Percent Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,Estimate!!EMPLOYMENT STATUS!!Civilian labor force,Percent Estimate!!EMPLOYMENT STATUS!!Civilian labor force,Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,Percent Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,Estimate!!EMPLOYMENT STATUS!!Females 16 years and over,Percent Estimate!!EMPLOYMENT STATUS!!Females 16 years and over,Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,Percent Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,Percent Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,Percent Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,Percent Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,Percent Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,Percent Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,Percent Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force
5063,29311,29311,16340,55.7,16340,55.7,15547,53.0,793,2.7,0,0.0,12971,44.3,16340,16340,(X),4.9,15221,15221,7503,49.3,7503,49.3,7062,46.4,2729,2729,1514,55.5,5025,5025,3713,73.9
5065,11357,11357,5135,45.2,5130,45.2,4654,41.0,476,4.2,5,0.0,6222,54.8,5130,5130,(X),9.3,5431,5431,2438,44.9,2438,44.9,2360,43.5,729,729,548,75.2,1573,1573,993,63.1
5067,14128,14128,5959,42.2,5959,42.2,5563,39.4,396,2.8,0,0.0,8169,57.8,5959,5959,(X),6.6,7220,7220,2224,30.8,2224,30.8,2065,28.6,1062,1062,644,60.6,2076,2076,1106,53.3
5069,56399,56399,28940,51.3,28935,51.3,26047,46.2,2888,5.1,5,0.0,27459,48.7,28935,28935,(X),10.0,28719,28719,15315,53.3,15315,53.3,13822,48.1,4980,4980,3494,70.2,9515,9515,6895,72.5
5071,20534,20534,10808,52.6,10804,52.6,10363,50.5,441,2.1,4,0.0,9726,47.4,10804,10804,(X),4.1,10402,10402,4934,47.4,4934,47.4,4813,46.3,2007,2007,1305,65.0,4092,4092,2543,62.1
5073,5727,5727,2793,48.8,2793,48.8,2630,45.9,163,2.8,0,0.0,2934,51.2,2793,2793,(X),5.8,2995,2995,1337,44.6,1337,44.6,1248,41.7,442,442,221,50.0,745,745,446,59.9
5075,13391,13391,7126,53.2,7126,53.2,6613,49.4,513,3.8,0,0.0,6265,46.8,7126,7126,(X),7.2,6841,6841,3307,48.3,3307,48.3,3093,45.2,1001,1001,536,53.5,2419,2419,1558,64.4
5077,7895,7895,3196,40.5,3196,40.5,2708,34.3,488,6.2,0,0.0,4699,59.5,3196,3196,(X),15.3,3365,3365,1459,43.4,1459,43.4,1157,34.4,532,532,331,62.2,958,958,610,63.7
5079,11608,11608,3488,30.0,3488,30.0,3366,29.0,122,1.1,0,0.0,8120,70.0,3488,3488,(X),3.5,4079,4079,1874,45.9,1874,45.9,1858,45.6,617,617,371,60.1,1543,1543,922,59.8
5081,9983,9983,5386,54.0,5386,54.0,4804,48.1,582,5.8,0,0.0,4597,46.0,5386,5386,(X),10.8,5307,5307,2631,49.6,2631,49.6,2494,47.0,769,769,515,67.0,1670,1670,1056,63.2
5083,17549,17549,9572,54.5,9560,54.5,8723,49.7,837,4.8,12,0.1,7977,45.5,9560,9560,(X),8.8,8982,8982,4679,52.1,4668,52.0,4229,47.1,1435,1435,846,59.0,2942,2942,1815,61.7
5085,55508,55508,34604,62.3,33753,60.8,32335,58.3,1418,2.6,851,1.5,20904,37.7,33753,33753,(X),4.2,28620,28620,15869,55.4,15841,55.3,15325,53.5,5589,5589,3673,65.7,12169,12169,8601,70.7
5087,12857,12857,7038,54.7,7021,54.6,6574,51.1,447,3.5,17,0.1,5819,45.3,7021,7021,(X),6.4,6473,6473,3144,48.6,3127,48.3,2941,45.4,1141,1141,698,61.2,2377,2377,1347,56.7
5089,13755,13755,5777,42.0,5777,42.0,5322,38.7,455,3.3,0,0.0,7978,58.0,5777,5777,(X),7.9,7046,7046,2835,40.2,2835,40.2,2652,37.6,837,837,532,63.6,1980,1980,1348,68.1
5091,34695,34695,19153,55.2,19153,55.2,17600,50.7,1553,4.5,0,0.0,15542,44.8,19153,19153,(X),8.1,17873,17873,8957,50.1,8957,50.1,8234,46.1,3157,3157,2201,69.7,6323,6323,4223,66.8
5093,32924,32924,19118,58.1,19118,58.1,17337,52.7,1781,5.4,0,0.0,13806,41.9,19118,19118,(X),9.3,17215,17215,9352,54.3,9352,54.3,8294,48.2,3437,3437,2436,70.9,6723,6723,4636,69.0
5095,5951,5951,3202,53.8,3202,53.8,2984,50.1,218,3.7,0,0.0,2749,46.2,3202,3202,(X),6.8,3204,3204,1664,51.9,1664,51.9,1566,48.9,536,536,385,71.8,839,839,664,79.1
5097,7504,7504,3481,46.4,3481,46.4,3284,43.8,197,2.6,0,0.0,4023,53.6,3481,3481,(X),5.7,3845,3845,1453,37.8,1453,37.8,1378,35.8,489,489,292,59.7,1069,1069,609,57.0
5099,6716,6716,3337,49.7,3337,49.7,3151,46.9,186,2.8,0,0.0,3379,50.3,3337,3337,(X),5.6,3435,3435,1532,44.6,1532,44.6,1491,43.4,560,560,383,68.4,1025,1025,696,67.9
5101,6484,6484,3142,48.5,3142,48.5,3080,47.5,62,1.0,0,0.0,3342,51.5,3142,3142,(X),2.0,3298,3298,1522,46.1,1522,46.1,1516,46.0,439,439,379,86.3,967,967,803,83.0
5103,19156,19156,10608,55.4,10608,55.4,9839,51.4,769,4.0,0,0.0,8548,44.6,10608,10608,(X),7.2,10255,10255,5398,52.6,5398,52.6,5046,49.2,1547,1547,916,59.2,3566,3566,2668,74.8
5105,8220,8220,4041,49.2,4038,49.1,3763,45.8,275,3.3,3,0.0,4179,50.8,4038,4038,(X),6.8,4088,4088,1846,45.2,1846,45.2,1702,41.6,613,613,436,71.1,1599,1599,990,61.9
5107,14594,14594,7652,52.4,7652,52.4,6851,46.9,801,5.5,0,0.0,6942,47.6,7652,7652,(X),10.5,8004,8004,4061,50.7,4061,50.7,3594,44.9,1336,1336,923,69.1,3117,3117,2218,71.2
5109,8691,8691,4764,54.8,4764,54.8,4548,52.3,216,2.5,0,0.0,3927,45.2,4764,4764,(X),4.5,4407,4407,2124,48.2,2124,48.2,1995,45.3,715,715,428,59.9,1493,1493,866,58.0
5111,19017,19017,10136,53.3,10136,53.3,9539,50.2,597,3.1,0,0.0,8881,46.7,10136,10136,(X),5.9,9890,9890,4645,47.0,4645,47.0,4326,43.7,1607,1607,964,60.0,3249,3249,1943,59.8
5113,16070,16070,8017,49.9,8017,49.9,7292,45.4,725,4.5,0,0.0,8053,50.1,8017,8017,(X),9.0,8227,8227,3736,45.4,3736,45.4,3518,42.8,1286,1286,730,56.8,3161,3161,2162,68.4
5115,50692,50692,28929,57.1,28902,57.0,27105,53.5,1797,3.5,27,0.1,21763,42.9,28902,28902,(X),6.2,26009,26009,14065,54.1,14052,54.0,13091,50.3,4542,4542,2860,63.0,9216,9216,6400,69.4
5117,6766,6766,3700,54.7,3700,54.7,3465,51.2,235,3.5,0,0.0,3066,45.3,3700,3700,(X),6.4,3468,3468,1651,47.6,1651,47.6,1535,44.3,602,602,458,76.1,941,941,705,74.9
5119,310864,310864,196835,63.3,194471,62.6,184451,59.3,10020,3.2,2364,0.8,114029,36.7,194471,194471,(X),5.2,164450,164450,97129,59.1,96692,58.8,91787,55.8,30683,30683,19676,64.1,55892,55892,39933,71.4
5121,13913,13913,7131,51.3,7131,51.3,6831,49.1,300,2.2,0,0.0,6782,48.7,7131,7131,(X),4.2,7052,7052,2960,42.0,2960,42.0,2837,40.2,1125,1125,686,61.0,2418,2418,1485,61.4
5123,21205,21205,9449,44.6,9449,44.6,8697,41.0,752,3.5,0,0.0,11756,55.4,9449,9449,(X),8.0,9303,9303,4383,47.1,4383,47.1,4059,43.6,1840,1840,1134,61.6,3425,3425,2439,71.2
5125,93508,93508,58741,62.8,58672,62.7,56382,60.3,2290,2.4,69,0.1,34767,37.2,58672,58672,(X),3.9,47961,47961,28017,58.4,28007,58.4,26878,56.0,8172,8172,5646,69.1,18079,18079,14089,77.9
5127,8059,8059,4196,52.1,4196,52.1,3763,46.7,433,5.4,0,0.0,3863,47.9,4196,4196,(X),10.3,3978,3978,2215,55.7,2215,55.7,1986,49.9,936,936,738,78.8,1654,1654,1085,65.6
5129,6517,6517,3227,49.5,3227,49.5,3129,48.0,98,1.5,0,0.0,3290,50.5,3227,3227,(X),3.0,3293,3293,1472,44.7,1472,44.7,1414,42.9,451,451,299,66.3,1063,1063,653,61.4
5131,100052,100052,59904,59.9,59831,59.8,56926,56.9,2905,2.9,73,0.1,40148,40.1,59831,59831,(X),4.9,51743,51743,27880,53.9,27871,53.9,26694,51.6,9114,9114,5782,63.4,19805,19805,12614,63.7
5133,12853,12853,7907,61.5,7907,61.5,7498,58.3,409,3.2,0,0.0,4946,38.5,7907,7907,(X),5.2,6407,6407,3510,54.8,3510,54.8,3325,51.9,1622,1622,1123,69.2,3176,3176,2006,63.2
5135,13807,13807,6182,44.8,6182,44.8,5871,42.5,311,2.3,0,0.0,7625,55.2,6182,6182,(X),5.0,7068,7068,2755,39.0,2755,39.0,2654,37.5,886,886,511,57.7,2409,2409,1544,64.1
5137,10303,10303,4848,47.1,4848,47.1,4540,44.1,308,3.0,0,0.0,5455,52.9,4848,4848,(X),6.4,5226,5226,1990,38.1,1990,38.1,1853,35.5,690,690,451,65.4,1613,1613,1045,64.8
5139,31098,31098,17059,54.9,17059,54.9,15821,50.9,1238,4.0,0,0.0,14039,45.1,17059,17059,(X),7.3,16112,16112,8127,50.4,8127,50.4,7652,47.5,2680,2680,1575,58.8,6174,6174,4367,70.7
5141,13692,13692,6114,44.7,6114,44.7,5675,41.4,439,3.2,0,0.0,7578,55.3,6114,6114,(X),7.2,6917,6917,2747,39.7,2747,39.7,2559,37.0,856,856,543,63.4,2305,2305,1299,56.4
5143,177873,177873,115203,64.8,115108,64.7,110021,61.9,5087,2.9,95,0.1,62670,35.2,115108,115108,(X),4.4,89620,89620,51924,57.9,51924,57.9,49958,55.7,19006,19006,11971,63.0,35677,35677,25417,71.2
5145,62339,62339,34157,54.8,33993,54.5,32028,51.4,1965,3.2,164,0.3,28182,45.2,33993,33993,(X),5.8,32172,32172,15982,49.7,15982,49.7,15066,46.8,5528,5528,3380,61.1,11730,11730,7428,63.3
5147,5383,5383,2774,51.5,2774,51.5,2526,46.9,248,4.6,0,0.0,2609,48.5,2774,2774,(X),8.9,2884,2884,1352,46.9,1352,46.9,1172,40.6,347,347,252,72.6,903,903,716,79.3
5149,16799,16799,9529,56.7,9511,56.6,8983,53.5,528,3.1,18,0.1,7270,43.3,9511,9511,(X),5.6,8472,8472,4344,51.3,4344,51.3,4099,48.4,1605,1605,933,58.1,3550,3550,2672,75.3
6001,1335756,1335756,893607,66.9,892280,66.8,847170,63.4,45110,3.4,1327,0.1,442149,33.1,892280,892280,(X),5.1,685810,685810,417753,60.9,417527,60.9,396197,57.8,114564,114564,73872,64.5,217114,217114,151697,69.9
6003,934,934,445,47.6,445,47.6,366,39.2,79,8.5,0,0.0,489,52.4,445,445,(X),17.8,440,440,195,44.3,195,44.3,171,38.9,34,34,18,52.9,169,169,125,74.0
6005,32677,32677,14576,44.6,14544,44.5,13289,40.7,1255,3.8,32,0.1,18101,55.4,14544,14544,(X),8.6,14965,14965,6915,46.2,6915,46.2,6465,43.2,1863,1863,1066,57.2,3549,3549,2204,62.1
6007,186682,186682,104083,55.8,103993,55.7,94908,50.8,9085,4.9,90,0.0,82599,44.2,103993,103993,(X),8.7,94919,94919,49576,52.2,49575,52.2,45510,47.9,14672,14672,9233,62.9,28041,28041,18730,66.8
6009,38555,38555,18263,47.4,18230,47.3,17114,44.4,1116,2.9,33,0.1,20292,52.6,18230,18230,(X),6.1,19410,19410,8742,45.0,8742,45.0,8345,43.0,2171,2171,1017,46.8,5043,5043,3612,71.6
6011,16229,16229,10199,62.8,10183,62.7,9663,59.5,520,3.2,16,0.1,6030,37.2,10183,10183,(X),5.1,7855,7855,4244,54.0,4244,54.0,3955,50.4,1865,1865,1153,61.8,3904,3904,2729,69.9
6013,902257,902257,583611,64.7,582886,64.6,547323,60.7,35563,3.9,725,0.1,318646,35.3,582886,582886,(X),6.1,466420,466420,273484,58.6,273399,58.6,256706,55.0,76371,76371,48778,63.9,174427,174427,115844,66.4
6015,22005,22005,9632,43.8,9619,43.7,8823,40.1,796,3.6,13,0.1,12373,56.2,9619,9619,(X),8.3,10150,10150,4771,47.0,4771,47.0,4533,44.7,1814,1814,1153,63.6,3630,3630,2009,55.3
6017,153562,153562,88853,57.9,88529,57.7,83049,54.1,5480,3.6,324,0.2,64709,42.1,88529,88529,(X),6.2,77575,77575,41347,53.3,41289,53.2,39204,50.5,9902,9902,6393,64.6,26346,26346,18225,69.2
6019,727089,727089,442178,60.8,441451,60.7,400175,55.0,41276,5.7,727,0.1,284911,39.2,441451,441451,(X),9.4,367446,367446,201819,54.9,201693,54.9,181292,49.3,90688,90688,54155,59.7,175608,175608,114272,65.1
6021,21351,21351,11812,55.3,11800,55.3,10994,51.5,806,3.8,12,0.1,9539,44.7,11800,11800,(X),6.8,10708,10708,5049,47.2,5049,47.2,4661,43.5,2112,2112,1243,58.9,4977,4977,2896,58.2
6023,112208,112208,66356,59.1,66297,59.1,60970,54.3,5327,4.7,59,0.1,45852,40.9,66297,66297,(X),8.0,56485,56485,32404,57.4,32401,57.4,29944,53.0,8682,8682,5533,63.7,16197,16197,11717,72.3
6025,133957,133957,71089,53.1,70701,52.8,59919,44.7,10782,8.0,388,0.3,62868,46.9,70701,70701,(X),15.3,65219,65219,33733,51.7,33677,51.6,28972,44.4,17417,17417,11232,64.5,31447,31447,20642,65.6
6027,14865,14865,8537,57.4,8537,57.4,8090,54.4,447,3.0,0,0.0,6328,42.6,8537,8537,(X),5.2,7404,7404,4031,54.4,4031,54.4,3882,52.4,1080,1080,761,70.5,2365,2365,1822,77.0
6029,652959,652959,380151,58.2,378440,58.0,339384,52.0,39056,6.0,1711,0.3,272808,41.8,378440,378440,(X),10.3,316912,316912,165444,52.2,165217,52.1,147654,46.6,81439,81439,47997,58.9,163273,163273,103072,63.1
6031,113475,113475,62193,54.8,58072,51.2,53217,46.9,4855,4.3,4121,3.6,51282,45.2,58072,58072,(X),8.4,49482,49482,26203,53.0,25450,51.4,23148,46.8,13239,13239,8155,61.6,25885,25885,16094,62.2
6033,52331,52331,26160,50.0,26145,50.0,23589,45.1,2556,4.9,15,0.0,26171,50.0,26145,26145,(X),9.8,26310,26310,12280,46.7,12280,46.7,11374,43.2,4144,4144,2722,65.7,8158,8158,5490,67.3
6035,26739,26739,9392,35.1,9358,35.0,8788,32.9,570,2.1,34,0.1,17347,64.9,9358,9358,(X),6.1,8374,8374,4211,50.3,4208,50.3,3987,47.6,1556,1556,828,53.2,3034,3034,1931,63.6
6037,8115158,8115158,5230394,64.5,5226836,64.4,4869658,60.0,357178,4.4,3558,0.0,2884764,35.5,5226836,5226836,(X),6.8,4152156,4152156,2404319,57.9,2403713,57.9,2234341,53.8,714736,714736,451629,63.2,1429769,1429769,942053,65.9
6039,117191,117191,63083,53.8,63042,53.8,57799,49.3,5243,4.5,41,0.0,54108,46.2,63042,63042,(X),8.3,61592,61592,29156,47.3,29156,47.3,26603,43.2,13726,13726,7664,55.8,27136,27136,16881,62.2
6041,212991,212991,136760,64.2,136574,64.1,131425,61.7,5149,2.4,186,0.1,76231,35.8,136574,136574,(X),3.8,109849,109849,64746,58.9,64714,58.9,62475,56.9,14642,14642,9396,64.2,36718,36718,25463,69.3
6043,15019,15019,7735,51.5,7727,51.4,7051,46.9,676,4.5,8,0.1,7284,48.5,7727,7727,(X),8.7,7433,7433,3570,48.0,3562,47.9,3217,43.3,881,881,494,56.1,1692,1692,1370,81.0
6045,71065,71065,41636,58.6,41549,58.5,37712,53.1,3837,5.4,87,0.1,29429,41.4,41549,41549,(X),9.2,35994,35994,19195,53.3,19195,53.3,17352,48.2,5830,5830,3571,61.3,11783,11783,8142,69.1
6047,197980,197980,117604,59.4,117550,59.4,102638,51.8,14912,7.5,54,0.0,80376,40.6,117550,117550,(X),12.7,98696,98696,50147,50.8,50147,50.8,43442,44.0,24844,24844,13621,54.8,51765,51765,31044,60.0
6049,7429,7429,3399,45.8,3399,45.8,3125,42.1,274,3.7,0,0.0,4030,54.2,3399,3399,(X),8.1,3642,3642,1697,46.6,1697,46.6,1657,45.5,454,454,268,59.0,1128,1128,698,61.9
6051,11803,11803,8626,73.1,8540,72.4,8278,70.1,262,2.2,86,0.7,3177,26.9,8540,8540,(X),3.1,5538,5538,3883,70.1,3879,70.0,3723,67.2,625,625,486,77.8,2044,2044,1362,66.6
6053,331250,331250,200871,60.6,195500,59.0,185025,55.9,10475,3.2,5371,1.6,130379,39.4,195500,195500,(X),5.4,162448,162448,88572,54.5,87226,53.7,82260,50.6,37761,37761,21136,56.0,71579,71579,44791,62.6
6055,114489,114489,74693,65.2,74616,65.2,70888,61.9,3728,3.3,77,0.1,39796,34.8,74616,74616,(X),5.0,57806,57806,34695,60.0,34688,60.0,33034,57.1,8429,8429,5861,69.5,20367,20367,15717,77.2
6057,84229,84229,46499,55.2,46339,55.0,43368,51.5,2971,3.5,160,0.2,37730,44.8,46339,46339,(X),6.4,42892,42892,21590,50.3,21551,50.2,20441,47.7,4897,4897,2900,59.2,11343,11343,7784,68.6
6059,2538090,2538090,1664072,65.6,1662510,65.5,1578079,62.2,84431,3.3,1562,0.1,874018,34.4,1662510,1662510,(X),5.1,1295841,1295841,757754,58.5,757504,58.5,719316,55.5,217330,217330,133412,61.4,465038,465038,303865,65.3
6061,304646,304646,183544,60.2,182498,59.9,173493,56.9,9005,3.0,1046,0.3,121102,39.8,182498,182498,(X),4.9,157750,157750,86489,54.8,86286,54.7,82387,52.2,24631,24631,15103,61.3,57920,57920,40449,69.8
6063,15985,15985,8052,50.4,8052,50.4,7536,47.1,516,3.2,0,0.0,7933,49.6,8052,8052,(X),6.4,8029,8029,3726,46.4,3726,46.4,3563,44.4,867,867,564,65.1,1904,1904,1519,79.8
6065,1842591,1842591,1106781,60.1,1102504,59.8,1007795,54.7,94709,5.1,4277,0.2,735810,39.9,1102504,1102504,(X),8.6,933106,933106,495280,53.1,494828,53.0,450272,48.3,182930,182930,106923,58.5,400951,400951,254497,63.5
6067,1186871,1186871,741831,62.5,740570,62.4,686019,57.8,54551,4.6,1261,0.1,445040,37.5,740570,740570,(X),7.4,613775,613775,356538,58.1,356314,58.1,330945,53.9,114375,114375,71142,62.2,231046,231046,157204,68.0
6069,45675,45675,31159,68.2,31125,68.1,28831,63.1,2294,5.0,34,0.1,14516,31.8,31125,31125,(X),7.4,22960,22960,14099,61.4,14099,61.4,12989,56.6,4492,4492,3090,68.8,10426,10426,8082,77.5
6071,1628558,1628558,989158,60.7,978082,60.1,892435,54.8,85647,5.3,11076,0.7,639400,39.3,978082,978082,(X),8.8,824729,824729,448917,54.4,448359,54.4,407876,49.5,175681,175681,103134,58.7,365151,365151,227137,62.2
6073,2656740,2656740,1745186,65.7,1671892,62.9,1564930,58.9,106962,4.0,73294,2.8,911554,34.3,1671892,1671892,(X),6.4,1325271,1325271,779825,58.8,771731,58.2,720972,54.4,243549,243549,150933,62.0,453531,453531,308242,68.0
6075,764514,764514,540964,70.8,540702,70.7,515382,67.4,25320,3.3,262,0.0,223550,29.2,540702,540702,(X),4.7,374685,374685,249860,66.7,249792,66.7,238905,63.8,45229,45229,32805,72.5,66722,66722,48966,73.4
6077,553741,553741,334903,60.5,334498,60.4,305509,55.2,28989,5.2,405,0.1,218838,39.5,334498,334498,(X),8.7,280523,280523,149985,53.5,149944,53.5,136699,48.7,61981,61981,36702,59.2,129696,129696,82158,63.3
6079,236821,236821,137399,58.0,135533,57.2,129358,54.6,6175,2.6,1866,0.8,99422,42.0,135533,135533,(X),4.6,116738,116738,63148,54.1,62619,53.6,59738,51.2,15095,15095,9844,65.2,33075,33075,23238,70.3
6081,622386,622386,427717,68.7,427467,68.7,409911,65.9,17556,2.8,250,0.0,194669,31.3,427467,427467,(X),4.1,317994,317994,200206,63.0,200192,63.0,192314,60.5,52889,52889,36889,69.7,102997,102997,74793,72.6
6083,355380,355380,227361,64.0,225612,63.5,211751,59.6,13861,3.9,1749,0.5,128019,36.0,225612,225612,(X),6.1,178104,178104,103856,58.3,103589,58.2,97270,54.6,31851,31851,20598,64.7,61597,61597,44245,71.8
6085,1537154,1537154,1036023,67.4,1035436,67.4,985838,64.1,49598,3.2,587,0.0,501131,32.6,1035436,1035436,(X),4.8,763265,763265,457967,60.0,457926,60.0,434876,57.0,137902,137902,86862,63.0,280203,280203,193799,69.2
6087,226263,226263,144081,63.7,143931,63.6,134904,59.6,9027,4.0,150,0.1,82182,36.3,143931,143931,(X),6.3,114934,114934,67556,58.8,67556,58.8,63380,55.1,16673,16673,10872,65.2,34536,34536,24240,70.2
6089,144873,144873,77237,53.3,77216,53.3,72392,50.0,4824,3.3,21,0.0,67636,46.7,77216,77216,(X),6.2,74470,74470,37238,50.0,37223,50.0,35225,47.3,11685,11685,6460,55.3,23594,23594,14796,62.7
6091,2540,2540,1311,51.6,1311,51.6,1251,49.3,60,2.4,0,0.0,1229,48.4,1311,1311,(X),4.6,1219,1219,654,53.7,654,53.7,634,52.0,112,112,79,70.5,329,329,245,74.5
6093,35851,35851,18191,50.7,18165,50.7,16725,46.7,1440,4.0,26,0.1,17660,49.3,18165,18165,(X),7.9,18081,18081,8789,48.6,8789,48.6,8121,44.9,2623,2623,1593,60.7,5499,5499,3772,68.6
6095,351136,351136,221803,63.2,218059,62.1,202713,57.7,15346,4.4,3744,1.1,129333,36.8,218059,218059,(X),7.0,177885,177885,104794,58.9,104101,58.5,97533,54.8,30591,30591,19513,63.8,62646,62646,44463,71.0
6097,412126,412126,267836,65.0,266964,64.8,253421,61.5,13543,3.3,872,0.2,144290,35.0,266964,266964,(X),5.1,212418,212418,127835,60.2,127712,60.1,121444,57.2,30434,30434,20270,66.6,65140,65140,45800,70.3
6099,408846,408846,248842,60.9,248662,60.8,222532,54.4,26130,6.4,180,0.0,160004,39.1,248662,248662,(X),10.5,208403,208403,110584,53.1,110573,53.1,98333,47.2,44954,44954,25946,57.7,94969,94969,61024,64.3
6101,73619,73619,43286,58.8,42808,58.1,38664,52.5,4144,5.6,478,0.6,30333,41.2,42808,42808,(X),9.7,37386,37386,19196,51.3,19096,51.1,17361,46.4,7518,7518,4283,57.0,16258,16258,10071,61.9
