countyFIPS,Estimate!!RELATIONSHIP!!Population in households,Percent Estimate!!RELATIONSHIP!!Population in households,Estimate!!RELATIONSHIP!!Population in households!!Householder,Percent Estimate!!RELATIONSHIP!!Population in households!!Householder,Estimate!!RELATIONSHIP!!Population in households!!Spouse,Percent Estimate!!RELATIONSHIP!!Population in households!!Spouse,Estimate!!RELATIONSHIP!!Population in households!!Child,Percent Estimate!!RELATIONSHIP!!Population in households!!Child,Estimate!!RELATIONSHIP!!Population in households!!Other relatives,Percent Estimate!!RELATIONSHIP!!Population in households!!Other relatives,Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives,Percent Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives,Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner,Percent Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner
5101,7781.0,7781.0,2899.0,37.3,1676.0,21.5,2162.0,27.8,842.0,10.8,202.0,2.6,133.0,1.7
5103,23719.0,23719.0,10055.0,42.4,4159.0,17.5,6765.0,28.5,2075.0,8.7,665.0,2.8,340.0,1.4
5105,10143.0,10143.0,3708.0,36.6,2128.0,21.0,2976.0,29.3,981.0,9.7,350.0,3.5,189.0,1.9
5107,18824.0,18824.0,7498.0,39.8,2570.0,13.7,5734.0,30.5,2339.0,12.4,683.0,3.6,289.0,1.5
5109,10622.0,10622.0,4299.0,40.5,2310.0,21.7,2874.0,27.1,834.0,7.9,305.0,2.9,181.0,1.7
5111,23705.0,23705.0,9437.0,39.8,4584.0,19.3,6115.0,25.8,2331.0,9.8,1238.0,5.2,504.0,2.1
5113,20039.0,20039.0,8204.0,40.9,4252.0,21.2,5296.0,26.4,1268.0,6.3,1019.0,5.1,564.0,2.8
5115,60217.0,60217.0,22628.0,37.6,11444.0,19.0,17968.0,29.8,4274.0,7.1,3903.0,6.5,1217.0,2.0
5117,8107.0,8107.0,3826.0,47.2,1845.0,22.8,1830.0,22.6,394.0,4.9,212.0,2.6,121.0,1.5
5119,386984.0,386984.0,157083.0,40.6,62594.0,16.2,114974.0,29.7,29530.0,7.6,22803.0,5.9,8022.0,2.1
5121,17243.0,17243.0,7455.0,43.2,3533.0,20.5,4194.0,24.3,1288.0,7.5,773.0,4.5,416.0,2.4
5123,22846.0,22846.0,9319.0,40.8,3391.0,14.8,7105.0,31.1,2145.0,9.4,886.0,3.9,363.0,1.6
5125,116707.0,116707.0,43604.0,37.4,24432.0,20.9,35248.0,30.2,8158.0,7.0,5265.0,4.5,1552.0,1.3
5127,10381.0,10381.0,3855.0,37.1,2041.0,19.7,3255.0,31.4,844.0,8.1,386.0,3.7,92.0,0.9
5129,7833.0,7833.0,3271.0,41.8,1850.0,23.6,1999.0,25.5,340.0,4.3,373.0,4.8,142.0,1.8
5131,125578.0,125578.0,50670.0,40.3,23568.0,18.8,37107.0,29.5,8013.0,6.4,6220.0,5.0,2713.0,2.2
5133,17071.0,17071.0,5854.0,34.3,3260.0,19.1,6174.0,36.2,1182.0,6.9,601.0,3.5,237.0,1.4
5135,16827.0,16827.0,7354.0,43.7,3314.0,19.7,4216.0,25.1,1054.0,6.3,889.0,5.3,462.0,2.7
