countyFIPS,Estimate!!MARITAL STATUS!!Males 15 years and over,Percent Estimate!!MARITAL STATUS!!Males 15 years and over,Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married,Percent Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married,"Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated","Percent Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated,Percent Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated,Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed,Percent Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed,Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced,Percent Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced,Estimate!!MARITAL STATUS!!Females 15 years and over,Percent Estimate!!MARITAL STATUS!!Females 15 years and over,Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married,Percent Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married,"Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated","Percent Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated",Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated,Percent Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated,Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed,Percent Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed,Estimate!!MARITAL STATUS!!Females 15 years and over!!Divorced,Percent Estimate!!MARITAL STATUS!!Females 15 years and over!!Divorced
6039,56550.0,56550.0,20636.0,36.5,29066.0,51.4,1325.0,2.3,1258.0,2.2,4265.0,7.5,62616.0,62616.0,19962.0,31.9,29363.0,46.9,1902.0,3.0,5222.0,8.3,6167.0,9.8
6041,105096.0,105096.0,32151.0,30.6,58722.0,55.9,1213.0,1.2,2260.0,2.2,10750.0,10.2,111675.0,111675.0,29036.0,26.0,55833.0,50.0,1408.0,1.3,8840.0,7.9,16558.0,14.8
6043,7752.0,7752.0,1911.0,24.7,4610.0,59.5,99.0,1.3,260.0,3.4,872.0,11.2,7514.0,7514.0,1531.0,20.4,4214.0,56.1,140.0,1.9,727.0,9.7,902.0,12.0
6045,35473.0,35473.0,12600.0,35.5,16694.0,47.1,536.0,1.5,913.0,2.6,4730.0,13.3,36264.0,36264.0,9068.0,25.0,16318.0,45.0,1011.0,2.8,3468.0,9.6,6399.0,17.6
6047,101609.0,101609.0,42057.0,41.4,47859.0,47.1,1696.0,1.7,2142.0,2.1,7855.0,7.7,100827.0,100827.0,35012.0,34.7,45367.0,45.0,3392.0,3.4,7416.0,7.4,9640.0,9.6
6049,3859.0,3859.0,1051.0,27.2,1944.0,50.4,14.0,0.4,171.0,4.4,679.0,17.6,3657.0,3657.0,717.0,19.6,1886.0,51.6,22.0,0.6,458.0,12.5,574.0,15.7
6051,6433.0,6433.0,3183.0,49.5,2214.0,34.4,127.0,2.0,233.0,3.6,676.0,10.5,5580.0,5580.0,1919.0,34.4,2372.0,42.5,209.0,3.7,300.0,5.4,780.0,14.0
6053,171617.0,171617.0,73403.0,42.8,79677.0,46.4,2515.0,1.5,4034.0,2.4,11988.0,7.0,165261.0,165261.0,59072.0,35.7,75598.0,45.7,3700.0,2.2,12771.0,7.7,14120.0,8.5
6055,57491.0,57491.0,19320.0,33.6,30695.0,53.4,794.0,1.4,1400.0,2.4,5282.0,9.2,58653.0,58653.0,16035.0,27.3,28198.0,48.1,1059.0,1.8,5442.0,9.3,7919.0,13.5
6057,41689.0,41689.0,12098.0,29.0,23137.0,55.5,733.0,1.8,1103.0,2.6,4618.0,11.1,43463.0,43463.0,9205.0,21.2,22884.0,52.7,566.0,1.3,4516.0,10.4,6292.0,14.5
6059,1263129.0,1263129.0,474023.0,37.5,653711.0,51.8,18067.0,1.4,26121.0,2.1,91207.0,7.2,1316169.0,1316169.0,405895.0,30.8,642267.0,48.8,26723.0,2.0,98409.0,7.5,142875.0,10.9
6061,149863.0,149863.0,43897.0,29.3,86916.0,58.0,2167.0,1.4,3947.0,2.6,12936.0,8.6,160298.0,160298.0,35960.0,22.4,87064.0,54.3,2590.0,1.6,14384.0,9.0,20300.0,12.7
6063,8069.0,8069.0,2107.0,26.1,4280.0,53.0,132.0,1.6,498.0,6.2,1052.0,13.0,8051.0,8051.0,1482.0,18.4,4087.0,50.8,216.0,2.7,878.0,10.9,1388.0,17.2
6065,928384.0,928384.0,351182.0,37.8,462502.0,49.8,18053.0,1.9,21057.0,2.3,75590.0,8.1,949695.0,949695.0,297301.0,31.3,443260.0,46.7,26420.0,2.8,77156.0,8.1,105558.0,11.1
6067,583433.0,583433.0,225984.0,38.7,278153.0,47.7,12304.0,2.1,12847.0,2.2,54145.0,9.3,623941.0,623941.0,198955.0,31.9,273535.0,43.8,16381.0,2.6,51363.0,8.2,83707.0,13.4
6069,23213.0,23213.0,8867.0,38.2,11977.0,51.6,228.0,1.0,410.0,1.8,1731.0,7.5,23436.0,23436.0,7313.0,31.2,11661.0,49.8,476.0,2.0,1705.0,7.3,2281.0,9.7
6071,820309.0,820309.0,334732.0,40.8,384683.0,46.9,15941.0,1.9,17325.0,2.1,67628.0,8.2,840761.0,840761.0,282724.0,33.6,376343.0,44.8,25452.0,3.0,61985.0,7.4,94257.0,11.2
