countyFIPS,Estimate!!COMMUTING TO WORK!!Workers 16 years and over,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over,"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone","Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone","Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled","Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked at home,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked at home,Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes)
6009,16701,16701,12624,75.6,1840,11.0,189,1.1,294,1.8,126,0.8,1628,9.7,37.9,(X)
6011,9403,9403,7236,77.0,1391,14.8,34,0.4,219,2.3,117,1.2,406,4.3,25.1,(X)
6013,532887,532887,360219,67.6,62194,11.7,56287,10.6,8984,1.7,10125,1.9,35078,6.6,38.0,(X)
6015,8474,8474,6252,73.8,1232,14.5,68,0.8,397,4.7,98,1.2,427,5.0,14.6,(X)
6017,81390,81390,62437,76.7,6889,8.5,1385,1.7,1516,1.9,1390,1.7,7773,9.6,29.3,(X)
6019,387400,387400,303972,78.5,46610,12.0,4609,1.2,6516,1.7,9081,2.3,16612,4.3,22.6,(X)
6021,10711,10711,8200,76.6,1240,11.6,45,0.4,544,5.1,151,1.4,531,5.0,21.8,(X)
6023,58275,58275,42079,72.2,5519,9.5,1185,2.0,3864,6.6,1655,2.8,3973,6.8,18.1,(X)
6025,59142,59142,48052,81.2,5206,8.8,493,0.8,1213,2.1,1245,2.1,2933,5.0,22.0,(X)
6027,7901,7901,5474,69.3,1002,12.7,73,0.9,549,6.9,482,6.1,321,4.1,16.3,(X)
6029,333091,333091,265745,79.8,41246,12.4,2753,0.8,3712,1.1,8304,2.5,11331,3.4,23.3,(X)
6031,55612,55612,42478,76.4,7965,14.3,150,0.3,1068,1.9,1114,2.0,2837,5.1,22.9,(X)
6033,22611,22611,15982,70.7,2546,11.3,148,0.7,777,3.4,134,0.6,3024,13.4,30.4,(X)
6035,8478,8478,6881,81.2,798,9.4,31,0.4,255,3.0,33,0.4,480,5.7,20.8,(X)
6037,4749180,4749180,3511343,73.9,452508,9.5,286686,6.0,129024,2.7,113381,2.4,256238,5.4,31.3,(X)
6039,53980,53980,41435,76.8,7804,14.5,245,0.5,979,1.8,1693,3.1,1824,3.4,27.1,(X)
6041,128692,128692,84031,65.3,10237,8.0,12241,9.5,4489,3.5,2780,2.2,14914,11.6,32.5,(X)
6043,6777,6777,4243,62.6,802,11.8,135,2.0,724,10.7,207,3.1,666,9.8,28.7,(X)
6045,36532,36532,26908,73.7,4030,11.0,90,0.2,2049,5.6,488,1.3,2967,8.1,20.1,(X)
6047,98647,98647,78036,79.1,10363,10.5,1140,1.2,2016,2.0,4039,4.1,3053,3.1,27.4,(X)
6049,2998,2998,2080,69.4,221,7.4,0,0.0,167,5.6,30,1.0,500,16.7,15.5,(X)
6051,8235,8235,3993,48.5,807,9.8,1560,18.9,604,7.3,615,7.5,656,8.0,15.9,(X)
6053,187205,187205,133202,71.2,19423,10.4,3060,1.6,5790,3.1,17522,9.4,8208,4.4,22.7,(X)
6055,69074,69074,52501,76.0,7261,10.5,1164,1.7,2761,4.0,1453,2.1,3934,5.7,24.9,(X)
6057,42329,42329,30845,72.9,3621,8.6,350,0.8,1308,3.1,1156,2.7,5049,11.9,24.8,(X)
6059,1546371,1546371,1216333,78.7,150280,9.7,31296,2.0,28668,1.9,28892,1.9,90902,5.9,27.7,(X)
6061,170441,170441,135558,79.5,12484,7.3,1988,1.2,2388,1.4,2424,1.4,15599,9.2,27.4,(X)
6063,7277,7277,5556,76.4,806,11.1,38,0.5,312,4.3,177,2.4,388,5.3,19.9,(X)
6065,984230,984230,766093,77.8,123209,12.5,12792,1.3,14838,1.5,16818,1.7,50480,5.1,33.3,(X)
6067,671083,671083,519425,77.4,67985,10.1,17270,2.6,12025,1.8,15143,2.3,39235,5.8,27.4,(X)
6069,27547,27547,21956,79.7,3540,12.9,161,0.6,446,1.6,435,1.6,1009,3.7,35.3,(X)
6071,881534,881534,699379,79.3,101462,11.5,13197,1.5,14426,1.6,10495,1.2,42575,4.8,31.4,(X)
6073,1603486,1603486,1223159,76.3,138748,8.7,46506,2.9,46313,2.9,36799,2.3,111961,7.0,26.0,(X)
6075,504358,504358,166153,32.9,36661,7.3,172593,34.2,57704,11.4,38163,7.6,33084,6.6,33.3,(X)
6077,295859,295859,231226,78.2,40304,13.6,4485,1.5,4341,1.5,3941,1.3,11562,3.9,33.2,(X)
6079,128339,128339,94929,74.0,13723,10.7,1577,1.2,5556,4.3,3912,3.0,8642,6.7,22.2,(X)
6081,401339,401339,274125,68.3,41242,10.3,42791,10.7,10360,2.6,12392,3.1,20429,5.1,28.8,(X)
6083,207593,207593,141008,67.9,28711,13.8,6406,3.1,9330,4.5,9150,4.4,12988,6.3,19.8,(X)
6085,955422,955422,716695,75.0,100378,10.5,41240,4.3,19542,2.0,29495,3.1,48072,5.0,28.7,(X)
6087,131355,131355,90595,69.0,11672,8.9,3834,2.9,6172,4.7,8912,6.8,10170,7.7,27.0,(X)
6089,70789,70789,57913,81.8,5518,7.8,483,0.7,1573,2.2,1363,1.9,3939,5.6,20.4,(X)
6091,1168,1168,758,64.9,120,10.3,4,0.3,35,3.0,3,0.3,248,21.2,28.1,(X)
6093,16309,16309,12169,74.6,1438,8.8,75,0.5,833,5.1,247,1.5,1547,9.5,18.5,(X)
6095,200623,200623,153480,76.5,27079,13.5,6004,3.0,2461,1.2,2741,1.4,8858,4.4,32.6,(X)
6097,247521,247521,184995,74.7,27640,11.2,4553,1.8,7552,3.1,5147,2.1,17634,7.1,25.4,(X)
6099,215593,215593,175847,81.6,21445,9.9,1789,0.8,2896,1.3,3211,1.5,10405,4.8,29.0,(X)
6101,38011,38011,30141,79.3,4465,11.7,338,0.9,600,1.6,612,1.6,1855,4.9,26.7,(X)
6103,23719,23719,19258,81.2,2200,9.3,79,0.3,666,2.8,269,1.1,1247,5.3,23.4,(X)
6105,4590,4590,3091,67.3,312,6.8,25,0.5,175,3.8,93,2.0,894,19.5,19.6,(X)
6107,172133,172133,134488,78.1,24254,14.1,1226,0.7,2927,1.7,3341,1.9,5897,3.4,22.7,(X)
6109,20024,20024,16292,81.4,1874,9.4,109,0.5,374,1.9,328,1.6,1047,5.2,26.9,(X)
