countyFIPS,Estimate!!COMMUTING TO WORK!!Workers 16 years and over,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over,"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone","Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone","Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled","Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked at home,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked at home,Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes)
19073,4431,4431,3488,78.7,376,8.5,12,0.3,155,3.5,112,2.5,288,6.5,18.7,(X)
19075,6133,6133,5092,83.0,445,7.3,7,0.1,225,3.7,45,0.7,319,5.2,21.5,(X)
19077,5215,5215,4126,79.1,580,11.1,13,0.2,189,3.6,52,1.0,255,4.9,27.5,(X)
19079,7479,7479,6242,83.5,484,6.5,1,0.0,261,3.5,48,0.6,443,5.9,18.8,(X)
19081,5624,5624,4456,79.2,472,8.4,30,0.5,124,2.2,90,1.6,452,8.0,18.8,(X)
19083,8585,8585,7160,83.4,593,6.9,4,0.0,309,3.6,113,1.3,406,4.7,18.1,(X)
19085,7233,7233,5937,82.1,599,8.3,17,0.2,240,3.3,127,1.8,313,4.3,26.8,(X)
19087,9243,9243,7727,83.6,652,7.1,8,0.1,245,2.7,310,3.4,301,3.3,17.8,(X)
19089,4661,4661,3546,76.1,400,8.6,91,2.0,220,4.7,80,1.7,324,7.0,18.5,(X)
19091,4620,4620,3920,84.8,373,8.1,2,0.0,81,1.8,66,1.4,178,3.9,18.8,(X)
19093,3351,3351,2610,77.9,358,10.7,0,0.0,145,4.3,49,1.5,189,5.6,18.8,(X)
19095,8294,8294,6763,81.5,891,10.7,5,0.1,192,2.3,41,0.5,402,4.8,23.5,(X)
19097,9394,9394,7902,84.1,475,5.1,43,0.5,294,3.1,91,1.0,589,6.3,23.3,(X)
19099,17320,17320,14072,81.2,1599,9.2,79,0.5,502,2.9,167,1.0,901,5.2,22.3,(X)
19101,7968,7968,5668,71.1,760,9.5,3,0.0,322,4.0,222,2.8,993,12.5,15.5,(X)
19103,80871,80871,56676,70.1,6971,8.6,4409,5.5,6798,8.4,2773,3.4,3244,4.0,19.0,(X)
19105,9675,9675,7538,77.9,934,9.7,22,0.2,398,4.1,82,0.8,701,7.2,24.9,(X)
19107,4939,4939,3928,79.5,469,9.5,16,0.3,169,3.4,68,1.4,289,5.9,24.4,(X)
19109,7353,7353,5917,80.5,479,6.5,78,1.1,281,3.8,128,1.7,470,6.4,14.5,(X)
19111,15783,15783,13248,83.9,1220,7.7,67,0.4,353,2.2,369,2.3,526,3.3,17.9,(X)
19113,117092,117092,99664,85.1,9520,8.1,769,0.7,2041,1.7,1231,1.1,3867,3.3,18.6,(X)
19115,5439,5439,4430,81.4,644,11.8,6,0.1,64,1.2,70,1.3,225,4.1,23.8,(X)
19117,3911,3911,3289,84.1,288,7.4,0,0.0,61,1.6,34,0.9,239,6.1,21.2,(X)
19119,5993,5993,4753,79.3,489,8.2,5,0.1,244,4.1,26,0.4,476,7.9,17.0,(X)
19121,8263,8263,6491,78.6,780,9.4,26,0.3,232,2.8,50,0.6,684,8.3,28.1,(X)
19123,10665,10665,8473,79.4,863,8.1,47,0.4,475,4.5,255,2.4,552,5.2,18.3,(X)
19125,16710,16710,12860,77.0,1641,9.8,71,0.4,1012,6.1,220,1.3,906,5.4,19.3,(X)
19127,18764,18764,14382,76.6,2793,14.9,21,0.1,650,3.5,337,1.8,581,3.1,17.1,(X)
19129,7354,7354,6238,84.8,423,5.8,162,2.2,152,2.1,67,0.9,312,4.2,24.2,(X)
19131,5153,5153,4002,77.7,343,6.7,3,0.1,219,4.2,127,2.5,459,8.9,19.2,(X)
19133,4218,4218,3404,80.7,348,8.3,0,0.0,167,4.0,44,1.0,255,6.0,21.0,(X)
19135,3609,3609,2841,78.7,386,10.7,6,0.2,125,3.5,0,0.0,251,7.0,23.8,(X)
19137,4733,4733,3842,81.2,444,9.4,23,0.5,142,3.0,69,1.5,213,4.5,19.7,(X)
19139,21249,21249,18231,85.8,1532,7.2,117,0.6,236,1.1,205,1.0,928,4.4,17.4,(X)
19141,7200,7200,5432,75.4,726,10.1,203,2.8,321,4.5,138,1.9,380,5.3,16.0,(X)
19143,3114,3114,2496,80.2,291,9.3,7,0.2,120,3.9,50,1.6,150,4.8,18.5,(X)
19145,7043,7043,5703,81.0,673,9.6,10,0.1,311,4.4,54,0.8,292,4.1,14.6,(X)
19147,4688,4688,3673,78.3,592,12.6,13,0.3,188,4.0,67,1.4,155,3.3,14.8,(X)
19149,13180,13180,10761,81.6,957,7.3,20,0.2,369,2.8,223,1.7,850,6.4,18.2,(X)
19151,3362,3362,2505,74.5,321,9.5,1,0.0,246,7.3,78,2.3,211,6.3,17.7,(X)
19153,249815,249815,208230,83.4,20482,8.2,3832,1.5,4208,1.7,2510,1.0,10553,4.2,19.5,(X)
19155,46493,46493,39511,85.0,3793,8.2,396,0.9,757,1.6,652,1.4,1384,3.0,20.5,(X)
19157,9647,9647,6957,72.1,747,7.7,3,0.0,1242,12.9,255,2.6,443,4.6,17.8,(X)
19159,2086,2086,1718,82.4,112,5.4,1,0.0,53,2.5,18,0.9,184,8.8,22.4,(X)
19161,4915,4915,4108,83.6,309,6.3,7,0.1,154,3.1,49,1.0,288,5.9,18.2,(X)
19163,83801,83801,72134,86.1,5325,6.4,618,0.7,1350,1.6,685,0.8,3689,4.4,19.0,(X)
19165,5876,5876,4578,77.9,602,10.2,28,0.5,214,3.6,58,1.0,396,6.7,19.0,(X)
19167,18373,18373,14181,77.2,1373,7.5,62,0.3,673,3.7,230,1.3,1854,10.1,13.1,(X)
19169,50500,50500,36196,71.7,3217,6.4,3278,6.5,3641,7.2,1461,2.9,2707,5.4,17.9,(X)
19171,8342,8342,6670,80.0,862,10.3,8,0.1,323,3.9,87,1.0,392,4.7,22.4,(X)
19173,2953,2953,2320,78.6,323,10.9,21,0.7,103,3.5,42,1.4,144,4.9,20.7,(X)
19175,5923,5923,4788,80.8,566,9.6,39,0.7,279,4.7,37,0.6,214,3.6,17.4,(X)
19177,3084,3084,2211,71.7,406,13.2,39,1.3,121,3.9,98,3.2,209,6.8,21.8,(X)
19179,15993,15993,13246,82.8,1704,10.7,99,0.6,297,1.9,278,1.7,369,2.3,18.0,(X)
19181,25608,25608,21716,84.8,1611,6.3,36,0.1,804,3.1,132,0.5,1309,5.1,24.0,(X)
19183,10860,10860,8441,77.7,1093,10.1,40,0.4,388,3.6,271,2.5,627,5.8,21.3,(X)
19185,2751,2751,2109,76.7,300,10.9,12,0.4,95,3.5,69,2.5,166,6.0,22.6,(X)
19187,16739,16739,13774,82.3,1419,8.5,88,0.5,612,3.7,165,1.0,681,4.1,16.6,(X)
19189,5192,5192,4109,79.1,559,10.8,29,0.6,201,3.9,55,1.1,239,4.6,17.0,(X)
19191,11575,11575,7892,68.2,740,6.4,9,0.1,1677,14.5,208,1.8,1049,9.1,17.1,(X)
19193,51021,51021,42695,83.7,4527,8.9,404,0.8,802,1.6,449,0.9,2144,4.2,18.0,(X)
19195,3817,3817,3320,87.0,221,5.8,14,0.4,77,2.0,44,1.2,141,3.7,21.4,(X)
19197,5652,5652,4632,82.0,497,8.8,6,0.1,215,3.8,62,1.1,240,4.2,15.7,(X)
20001,5822,5822,4897,84.1,467,8.0,77,1.3,164,2.8,36,0.6,181,3.1,17.1,(X)
20003,3453,3453,2537,73.5,392,11.4,0,0.0,177,5.1,141,4.1,206,6.0,24.5,(X)
20005,7626,7626,5728,75.1,733,9.6,2,0.0,546,7.2,68,0.9,549,7.2,18.5,(X)
20007,2144,2144,1742,81.3,212,9.9,0,0.0,56,2.6,33,1.5,101,4.7,16.6,(X)
20009,13272,13272,11158,84.1,1149,8.7,96,0.7,245,1.8,112,0.8,512,3.9,16.9,(X)
20011,6292,6292,4799,76.3,603,9.6,0,0.0,318,5.1,132,2.1,440,7.0,18.0,(X)
20013,4442,4442,3610,81.3,333,7.5,2,0.0,151,3.4,46,1.0,300,6.8,19.0,(X)
20015,30657,30657,25667,83.7,2648,8.6,51,0.2,513,1.7,378,1.2,1400,4.6,23.1,(X)
20017,1113,1113,802,72.1,130,11.7,0,0.0,36,3.2,45,4.0,100,9.0,22.9,(X)
20019,1391,1391,1056,75.9,150,10.8,0,0.0,95,6.8,18,1.3,72,5.2,20.6,(X)
20021,8574,8574,7171,83.6,710,8.3,2,0.0,243,2.8,68,0.8,380,4.4,19.3,(X)
20023,1206,1206,922,76.5,62,5.1,0,0.0,117,9.7,31,2.6,74,6.1,12.0,(X)
20025,990,990,768,77.6,63,6.4,0,0.0,68,6.9,25,2.5,66,6.7,16.3,(X)
20027,4016,4016,3303,82.2,361,9.0,6,0.1,91,2.3,25,0.6,230,5.7,19.9,(X)
20029,4420,4420,3632,82.2,390,8.8,25,0.6,121,2.7,47,1.1,205,4.6,16.3,(X)
20031,3953,3953,3309,83.7,367,9.3,20,0.5,92,2.3,31,0.8,134,3.4,20.1,(X)
20033,955,955,799,83.7,49,5.1,0,0.0,37,3.9,6,0.6,64,6.7,13.6,(X)
20035,15183,15183,12248,80.7,1807,11.9,8,0.1,427,2.8,218,1.4,475,3.1,18.9,(X)
20037,18673,18673,15809,84.7,1511,8.1,20,0.1,499,2.7,298,1.6,536,2.9,16.8,(X)
20039,1369,1369,1029,75.2,142,10.4,0,0.0,31,2.3,17,1.2,150,11.0,17.7,(X)
20041,8569,8569,6759,78.9,836,9.8,7,0.1,306,3.6,175,2.0,486,5.7,20.9,(X)
20043,3701,3701,3058,82.6,157,4.2,4,0.1,159,4.3,52,1.4,271,7.3,21.1,(X)
20045,64902,64902,50142,77.3,5816,9.0,1516,2.3,3552,5.5,1161,1.8,2715,4.2,20.6,(X)
20047,1424,1424,1141,80.1,72,5.1,0,0.0,47,3.3,37,2.6,127,8.9,18.3,(X)
20049,977,977,754,77.2,118,12.1,0,0.0,58,5.9,27,2.8,20,2.0,25.5,(X)
20051,16038,16038,13644,85.1,1218,7.6,52,0.3,505,3.1,33,0.2,586,3.7,12.3,(X)
20053,2629,2629,2109,80.2,239,9.1,14,0.5,81,3.1,33,1.3,153,5.8,17.8,(X)
20055,18443,18443,14787,80.2,2658,14.4,139,0.8,200,1.1,178,1.0,481,2.6,14.0,(X)
20057,16555,16555,12956,78.3,2766,16.7,14,0.1,158,1.0,344,2.1,317,1.9,14.3,(X)
20059,12657,12657,10704,84.6,944,7.5,12,0.1,256,2.0,232,1.8,509,4.0,23.6,(X)
20061,16876,16876,14602,86.5,1301,7.7,0,0.0,225,1.3,253,1.5,495,2.9,16.8,(X)
20063,1265,1265,857,67.7,132,10.4,0,0.0,120,9.5,21,1.7,135,10.7,13.6,(X)
20065,1131,1131,838,74.1,124,11.0,0,0.0,35,3.1,34,3.0,100,8.8,13.7,(X)
20067,3599,3599,2950,82.0,247,6.9,12,0.3,121,3.4,21,0.6,248,6.9,16.3,(X)
20069,3111,3111,2510,80.7,234,7.5,0,0.0,159,5.1,16,0.5,192,6.2,15.8,(X)
20071,560,560,404,72.1,59,10.5,0,0.0,41,7.3,5,0.9,51,9.1,9.5,(X)
20073,2851,2851,2351,82.5,236,8.3,4,0.1,120,4.2,16,0.6,124,4.3,22.8,(X)
20075,1180,1180,787,66.7,174,14.7,0,0.0,53,4.5,22,1.9,144,12.2,16.9,(X)
20077,2506,2506,2029,81.0,235,9.4,6,0.2,146,5.8,12,0.5,78,3.1,16.1,(X)
20079,16711,16711,13411,80.3,1568,9.4,8,0.0,683,4.1,425,2.5,616,3.7,18.9,(X)
20081,1919,1919,1511,78.7,214,11.2,0,0.0,72,3.8,29,1.5,93,4.8,13.7,(X)
20083,941,941,782,83.1,30,3.2,0,0.0,57,6.1,5,0.5,67,7.1,16.5,(X)
20085,6157,6157,5059,82.2,610,9.9,11,0.2,130,2.1,37,0.6,310,5.0,25.1,(X)
20087,9134,9134,7752,84.9,915,10.0,0,0.0,97,1.1,44,0.5,326,3.6,30.7,(X)
20089,1196,1196,945,79.0,97,8.1,0,0.0,60,5.0,20,1.7,74,6.2,16.1,(X)
20091,312178,312178,264668,84.8,21529,6.9,1032,0.3,2690,0.9,2776,0.9,19483,6.2,21.0,(X)
20093,1663,1663,1280,77.0,125,7.5,0,0.0,55,3.3,25,1.5,178,10.7,15.3,(X)
20095,3534,3534,2904,82.2,283,8.0,1,0.0,90,2.5,60,1.7,196,5.5,23.5,(X)
20097,1236,1236,997,80.7,70,5.7,2,0.2,52,4.2,14,1.1,101,8.2,14.5,(X)
20099,9375,9375,7979,85.1,668,7.1,11,0.1,251,2.7,109,1.2,357,3.8,15.5,(X)
20101,847,847,706,83.4,50,5.9,0,0.0,43,5.1,11,1.3,37,4.4,14.1,(X)
20103,36509,36509,30334,83.1,3604,9.9,91,0.2,581,1.6,634,1.7,1265,3.5,23.1,(X)
20105,1412,1412,1058,74.9,142,10.1,13,0.9,65,4.6,2,0.1,132,9.3,18.6,(X)
20107,4093,4093,3341,81.6,418,10.2,12,0.3,65,1.6,29,0.7,228,5.6,33.7,(X)
20109,1377,1377,991,72.0,169,12.3,0,0.0,91,6.6,21,1.5,105,7.6,13.7,(X)
20111,16891,16891,13351,79.0,1943,11.5,83,0.5,620,3.7,215,1.3,679,4.0,16.8,(X)
20113,14653,14653,12025,82.1,1109,7.6,11,0.1,719,4.9,188,1.3,601,4.1,14.0,(X)
20115,5515,5515,4272,77.5,551,10.0,0,0.0,333,6.0,71,1.3,288,5.2,20.1,(X)
20117,4696,4696,3687,78.5,367,7.8,24,0.5,258,5.5,78,1.7,282,6.0,15.4,(X)
20119,2070,2070,1498,72.4,268,12.9,0,0.0,109,5.3,26,1.3,169,8.2,15.2,(X)
20121,16241,16241,13513,83.2,1176,7.2,33,0.2,141,0.9,231,1.4,1147,7.1,27.5,(X)
20123,2633,2633,2285,86.8,113,4.3,0,0.0,133,5.1,52,2.0,50,1.9,9.7,(X)
20125,14329,14329,11275,78.7,1809,12.6,0,0.0,537,3.7,289,2.0,419,2.9,16.5,(X)
20127,2568,2568,2028,79.0,260,10.1,0,0.0,103,4.0,38,1.5,139,5.4,23.7,(X)
20129,1247,1247,905,72.6,156,12.5,0,0.0,38,3.0,31,2.5,117,9.4,16.9,(X)
20131,5082,5082,3966,78.0,517,10.2,40,0.8,280,5.5,30,0.6,249,4.9,15.9,(X)
20133,7261,7261,5783,79.6,1081,14.9,13,0.2,149,2.1,62,0.9,173,2.4,16.8,(X)
20135,1362,1362,1050,77.1,136,10.0,2,0.1,61,4.5,2,0.1,111,8.1,13.2,(X)
20137,2413,2413,1823,75.5,350,14.5,0,0.0,112,4.6,11,0.5,117,4.8,13.0,(X)
20139,7195,7195,5886,81.8,758,10.5,0,0.0,149,2.1,43,0.6,359,5.0,30.0,(X)
20141,1759,1759,1364,77.5,187,10.6,4,0.2,97,5.5,28,1.6,79,4.5,14.3,(X)
20143,2875,2875,2314,80.5,250,8.7,10,0.3,85,3.0,29,1.0,187,6.5,22.7,(X)
20145,2539,2539,2119,83.5,166,6.5,0,0.0,131,5.2,47,1.9,76,3.0,12.0,(X)
20147,2627,2627,2167,82.5,222,8.5,0,0.0,118,4.5,10,0.4,110,4.2,13.8,(X)
20149,11037,11037,8639,78.3,1502,13.6,2,0.0,238,2.2,245,2.2,411,3.7,21.7,(X)
20151,4554,4554,3664,80.5,499,11.0,6,0.1,173,3.8,88,1.9,124,2.7,12.4,(X)
20153,1209,1209,847,70.1,160,13.2,13,1.1,62,5.1,9,0.7,118,9.8,14.6,(X)
20155,29449,29449,24232,82.3,2589,8.8,122,0.4,675,2.3,752,2.6,1079,3.7,17.8,(X)
20157,2316,2316,1944,83.9,84,3.6,8,0.3,76,3.3,23,1.0,181,7.8,17.9,(X)
20159,4668,4668,3700,79.3,551,11.8,13,0.3,239,5.1,39,0.8,126,2.7,16.2,(X)
20161,42180,42180,31222,74.0,3593,8.5,180,0.4,3822,9.1,1073,2.5,2290,5.4,14.8,(X)
20163,2392,2392,1894,79.2,263,11.0,0,0.0,75,3.1,18,0.8,142,5.9,17.3,(X)
20165,1458,1458,1131,77.6,129,8.8,4,0.3,53,3.6,21,1.4,120,8.2,21.2,(X)
20167,3175,3175,2841,89.5,104,3.3,2,0.1,70,2.2,61,1.9,97,3.1,16.8,(X)
20169,27114,27114,22622,83.4,2337,8.6,156,0.6,494,1.8,755,2.8,750,2.8,14.9,(X)
20171,2512,2512,1928,76.8,226,9.0,11,0.4,77,3.1,10,0.4,260,10.4,12.6,(X)
20173,245699,245699,206792,84.2,22170,9.0,1260,0.5,3513,1.4,4004,1.6,7960,3.2,19.1,(X)
20175,10639,10639,7547,70.9,2224,20.9,40,0.4,304,2.9,138,1.3,386,3.6,16.2,(X)
20177,83422,83422,69234,83.0,8517,10.2,819,1.0,1362,1.6,957,1.1,2533,3.0,17.7,(X)
20179,1232,1232,863,70.0,128,10.4,0,0.0,128,10.4,26,2.1,87,7.1,15.9,(X)
20181,2788,2788,2317,83.1,154,5.5,0,0.0,56,2.0,53,1.9,208,7.5,12.6,(X)
20183,1668,1668,1314,78.8,110,6.6,0,0.0,128,7.7,12,0.7,104,6.2,15.1,(X)
20185,2001,2001,1544,77.2,221,11.0,1,0.0,82,4.1,52,2.6,101,5.0,19.8,(X)
20187,1023,1023,769,75.2,91,8.9,9,0.9,23,2.2,18,1.8,113,11.0,10.5,(X)
20189,2547,2547,2062,81.0,287,11.3,0,0.0,65,2.6,15,0.6,118,4.6,15.1,(X)
20191,10620,10620,8742,82.3,939,8.8,8,0.1,196,1.8,49,0.5,686,6.5,23.3,(X)
20193,4261,4261,3537,83.0,235,5.5,0,0.0,163,3.8,61,1.4,265,6.2,11.4,(X)
20195,1629,1629,1287,79.0,162,9.9,3,0.2,97,6.0,8,0.5,72,4.4,18.8,(X)
20197,3342,3342,2543,76.1,344,10.3,14,0.4,121,3.6,32,1.0,288,8.6,27.7,(X)
20199,761,761,556,73.1,57,7.5,0,0.0,55,7.2,3,0.4,90,11.8,13.5,(X)
20201,2677,2677,2133,79.7,290,10.8,1,0.0,96,3.6,24,0.9,133,5.0,19.5,(X)
20203,1057,1057,714,67.5,110,10.4,0,0.0,110,10.4,0,0.0,123,11.6,12.0,(X)
20205,3943,3943,3110,78.9,369,9.4,9,0.2,234,5.9,79,2.0,142,3.6,16.7,(X)
20207,1385,1385,1083,78.2,132,9.5,0,0.0,95,6.9,34,2.5,41,3.0,23.1,(X)
20209,73471,73471,59658,81.2,9626,13.1,727,1.0,946,1.3,607,0.8,1907,2.6,21.4,(X)
21001,7882,7882,6625,84.1,601,7.6,0,0.0,193,2.4,77,1.0,386,4.9,21.5,(X)
21003,8428,8428,6650,78.9,933,11.1,11,0.1,193,2.3,133,1.6,508,6.0,24.0,(X)
21005,10324,10324,9073,87.9,925,9.0,0,0.0,121,1.2,14,0.1,191,1.9,26.2,(X)
21007,3297,3297,2944,89.3,126,3.8,70,2.1,12,0.4,32,1.0,113,3.4,24.0,(X)
21009,18095,18095,14699,81.2,2047,11.3,38,0.2,278,1.5,180,1.0,853,4.7,21.0,(X)
21011,4545,4545,3710,81.6,563,12.4,0,0.0,87,1.9,17,0.4,168,3.7,27.8,(X)
21013,7433,7433,5675,76.3,1145,15.4,24,0.3,183,2.5,195,2.6,211,2.8,21.4,(X)
21015,64903,64903,54346,83.7,5464,8.4,477,0.7,471,0.7,753,1.2,3392,5.2,24.6,(X)
21017,9276,9276,7413,79.9,837,9.0,43,0.5,218,2.4,226,2.4,539,5.8,22.6,(X)
21019,18126,18126,14865,82.0,2032,11.2,48,0.3,636,3.5,164,0.9,381,2.1,21.6,(X)
21021,12018,12018,9572,79.6,1283,10.7,18,0.1,451,3.8,119,1.0,575,4.8,21.2,(X)
21023,3566,3566,2821,79.1,484,13.6,5,0.1,59,1.7,47,1.3,150,4.2,36.1,(X)
21025,3761,3761,3005,79.9,422,11.2,0,0.0,139,3.7,150,4.0,45,1.2,29.0,(X)
21027,7509,7509,5698,75.9,1106,14.7,81,1.1,147,2.0,106,1.4,371,4.9,31.8,(X)
21029,38659,38659,32805,84.9,3833,9.9,44,0.1,284,0.7,453,1.2,1240,3.2,27.8,(X)
21031,4971,4971,4196,84.4,498,10.0,15,0.3,22,0.4,43,0.9,197,4.0,26.3,(X)
21033,5228,5228,4367,83.5,481,9.2,13,0.2,71,1.4,211,4.0,85,1.6,23.7,(X)
21035,17396,17396,13444,77.3,1670,9.6,24,0.1,1273,7.3,280,1.6,705,4.1,16.9,(X)
21037,46011,46011,36781,79.9,4495,9.8,1043,2.3,1383,3.0,597,1.3,1712,3.7,22.5,(X)
21039,1833,1833,1548,84.5,158,8.6,0,0.0,0,0.0,35,1.9,92,5.0,26.9,(X)
21041,4439,4439,3687,83.1,515,11.6,2,0.0,92,2.1,36,0.8,107,2.4,19.0,(X)
21043,8575,8575,6745,78.7,1190,13.9,15,0.2,275,3.2,96,1.1,254,3.0,31.8,(X)
21045,5433,5433,4429,81.5,701,12.9,5,0.1,29,0.5,68,1.3,201,3.7,30.1,(X)
21047,30910,30910,24452,79.1,2265,7.3,135,0.4,3013,9.7,485,1.6,560,1.8,17.0,(X)
21049,16014,16014,13233,82.6,1567,9.8,25,0.2,285,1.8,351,2.2,553,3.5,24.9,(X)
21051,5384,5384,4102,76.2,865,16.1,8,0.1,156,2.9,113,2.1,140,2.6,30.5,(X)
21053,3463,3463,2936,84.8,301,8.7,1,0.0,35,1.0,93,2.7,97,2.8,17.1,(X)
21055,3558,3558,2876,80.8,367,10.3,32,0.9,124,3.5,59,1.7,100,2.8,27.2,(X)
21057,2357,2357,1944,82.5,209,8.9,0,0.0,7,0.3,16,0.7,181,7.7,19.3,(X)
21059,44440,44440,38524,86.7,3570,8.0,182,0.4,825,1.9,483,1.1,856,1.9,19.1,(X)
21061,4518,4518,3641,80.6,517,11.4,0,0.0,155,3.4,120,2.7,85,1.9,29.2,(X)
21063,1734,1734,1460,84.2,180,10.4,4,0.2,40,2.3,16,0.9,34,2.0,39.4,(X)
21065,4513,4513,3618,80.2,662,14.7,0,0.0,25,0.6,23,0.5,185,4.1,32.5,(X)
21067,163113,163113,128066,78.5,15201,9.3,3133,1.9,6348,3.9,3399,2.1,6966,4.3,20.9,(X)
21069,6024,6024,4715,78.3,867,14.4,0,0.0,96,1.6,49,0.8,297,4.9,28.8,(X)
21071,10292,10292,8988,87.3,876,8.5,23,0.2,144,1.4,32,0.3,229,2.2,24.3,(X)
21073,23947,23947,19915,83.2,2756,11.5,77,0.3,391,1.6,167,0.7,641,2.7,19.2,(X)
21075,2197,2197,1822,82.9,185,8.4,18,0.8,43,2.0,42,1.9,87,4.0,19.8,(X)
21077,3737,3737,2953,79.0,529,14.2,2,0.1,80,2.1,17,0.5,156,4.2,28.1,(X)
21079,7300,7300,6079,83.3,668,9.2,13,0.2,29,0.4,88,1.2,423,5.8,34.3,(X)
21081,10178,10178,8468,83.2,1314,12.9,14,0.1,79,0.8,29,0.3,274,2.7,31.2,(X)
21083,15316,15316,13575,88.6,1064,6.9,36,0.2,75,0.5,221,1.4,345,2.3,23.0,(X)
21085,10390,10390,8446,81.3,1268,12.2,11,0.1,125,1.2,289,2.8,251,2.4,28.4,(X)
21087,4513,4513,3640,80.7,605,13.4,9,0.2,41,0.9,19,0.4,199,4.4,26.9,(X)
21089,13737,13737,11880,86.5,1331,9.7,45,0.3,176,1.3,40,0.3,265,1.9,23.1,(X)
21091,3545,3545,3194,90.1,175,4.9,13,0.4,59,1.7,32,0.9,72,2.0,22.6,(X)
21093,50420,50420,41513,82.3,5345,10.6,149,0.3,1180,2.3,768,1.5,1465,2.9,22.3,(X)
21095,7239,7239,5845,80.7,1026,14.2,39,0.5,130,1.8,15,0.2,184,2.5,21.7,(X)
21097,7841,7841,6395,81.6,875,11.2,19,0.2,147,1.9,120,1.5,285,3.6,25.1,(X)
21099,6868,6868,5305,77.2,1032,15.0,0,0.0,114,1.7,212,3.1,205,3.0,29.6,(X)
21101,20032,20032,17581,87.8,1490,7.4,81,0.4,318,1.6,141,0.7,421,2.1,21.4,(X)
21103,6970,6970,5580,80.1,904,13.0,8,0.1,115,1.6,24,0.3,339,4.9,29.0,(X)
21105,1604,1604,1290,80.4,100,6.2,0,0.0,3,0.2,81,5.0,130,8.1,18.8,(X)
21107,18434,18434,16594,90.0,1081,5.9,43,0.2,203,1.1,250,1.4,263,1.4,21.8,(X)
21109,4290,4290,3535,82.4,468,10.9,83,1.9,35,0.8,36,0.8,133,3.1,32.5,(X)
21111,372989,372989,299727,80.4,32948,8.8,10337,2.8,7362,2.0,6462,1.7,16153,4.3,22.4,(X)
21113,23420,23420,18463,78.8,2804,12.0,68,0.3,669,2.9,130,0.6,1286,5.5,23.8,(X)
21115,6704,6704,5451,81.3,780,11.6,13,0.2,238,3.6,6,0.1,216,3.2,28.6,(X)
21117,81722,81722,66665,81.6,7346,9.0,1961,2.4,1438,1.8,1309,1.6,3003,3.7,23.4,(X)
21119,4543,4543,3726,82.0,371,8.2,5,0.1,234,5.2,134,2.9,73,1.6,31.3,(X)
21121,9970,9970,8520,85.5,968,9.7,99,1.0,197,2.0,0,0.0,186,1.9,23.5,(X)
21123,6117,6117,5020,82.1,814,13.3,0,0.0,77,1.3,7,0.1,199,3.3,26.0,(X)
21125,22876,22876,19652,85.9,2141,9.4,16,0.1,185,0.8,258,1.1,624,2.7,19.7,(X)
21127,4523,4523,3780,83.6,395,8.7,16,0.4,30,0.7,107,2.4,195,4.3,30.4,(X)
21129,1800,1800,1512,84.0,129,7.2,0,0.0,46,2.6,88,4.9,25,1.4,34.1,(X)
21131,2812,2812,2439,86.7,294,10.5,0,0.0,27,1.0,12,0.4,40,1.4,34.8,(X)
21133,6867,6867,5874,85.5,420,6.1,37,0.5,220,3.2,60,0.9,256,3.7,25.4,(X)
21135,4477,4477,3665,81.9,492,11.0,5,0.1,28,0.6,86,1.9,201,4.5,36.9,(X)
21137,9554,9554,7735,81.0,1065,11.1,35,0.4,169,1.8,24,0.3,526,5.5,29.6,(X)
21139,3829,3829,3294,86.0,274,7.2,12,0.3,33,0.9,64,1.7,152,4.0,22.9,(X)
21141,10658,10658,9310,87.4,831,7.8,6,0.1,122,1.1,87,0.8,302,2.8,23.8,(X)
21143,2832,2832,2453,86.6,263,9.3,0,0.0,50,1.8,31,1.1,35,1.2,19.9,(X)
21145,28474,28474,24999,87.8,1636,5.7,103,0.4,511,1.8,388,1.4,837,2.9,18.2,(X)
21147,4351,4351,3658,84.1,416,9.6,0,0.0,112,2.6,116,2.7,49,1.1,31.0,(X)
21149,3709,3709,3272,88.2,245,6.6,0,0.0,125,3.4,18,0.5,49,1.3,27.7,(X)
21151,40969,40969,32895,80.3,3650,8.9,44,0.1,2090,5.1,894,2.2,1396,3.4,22.9,(X)
21153,3556,3556,2990,84.1,431,12.1,18,0.5,30,0.8,12,0.3,75,2.1,33.2,(X)
