id,Geographic Area Name,Estimate!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Total population!!Male,Percent Estimate!!SEX AND AGE!!Total population!!Male,Estimate!!SEX AND AGE!!Total population!!Female,Percent Estimate!!SEX AND AGE!!Total population!!Female,Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),Estimate!!SEX AND AGE!!Total population!!Under 5 years,Percent Estimate!!SEX AND AGE!!Total population!!Under 5 years,Estimate!!SEX AND AGE!!Total population!!5 to 9 years,Percent Estimate!!SEX AND AGE!!Total population!!5 to 9 years,Estimate!!SEX AND AGE!!Total population!!10 to 14 years,Percent Estimate!!SEX AND AGE!!Total population!!10 to 14 years,Estimate!!SEX AND AGE!!Total population!!15 to 19 years,Percent Estimate!!SEX AND AGE!!Total population!!15 to 19 years,Estimate!!SEX AND AGE!!Total population!!20 to 24 years,Percent Estimate!!SEX AND AGE!!Total population!!20 to 24 years,Estimate!!SEX AND AGE!!Total population!!25 to 34 years,Percent Estimate!!SEX AND AGE!!Total population!!25 to 34 years,Estimate!!SEX AND AGE!!Total population!!35 to 44 years,Percent Estimate!!SEX AND AGE!!Total population!!35 to 44 years,Estimate!!SEX AND AGE!!Total population!!45 to 54 years,Percent Estimate!!SEX AND AGE!!Total population!!45 to 54 years,Estimate!!SEX AND AGE!!Total population!!55 to 59 years,Percent Estimate!!SEX AND AGE!!Total population!!55 to 59 years,Estimate!!SEX AND AGE!!Total population!!60 to 64 years,Percent Estimate!!SEX AND AGE!!Total population!!60 to 64 years,Estimate!!SEX AND AGE!!Total population!!65 to 74 years,Percent Estimate!!SEX AND AGE!!Total population!!65 to 74 years,Estimate!!SEX AND AGE!!Total population!!75 to 84 years,Percent Estimate!!SEX AND AGE!!Total population!!75 to 84 years,Estimate!!SEX AND AGE!!Total population!!85 years and over,Percent Estimate!!SEX AND AGE!!Total population!!85 years and over,Estimate!!SEX AND AGE!!Total population!!Median age (years)
0500000US48215,"Hidalgo County, Texas",865939,425393,49.1,440546,50.9,96.6,77170,8.9,75391,8.7,81494,9.4,76709,8.9,65787,7.6,116806,13.5,109162,12.6,95222,11,37480,4.3,34703,4,53503,6.2,31970,3.7,10542,1.2,29.5
0500000US48329,"Midland County, Texas",172578,86130,49.9,86448,50.1,99.6,14717,8.5,13500,7.8,14023,8.1,11150,6.5,10478,6.1,30275,17.5,24514,14.2,17803,10.3,8717,5.1,9201,5.3,10396,6,5471,3.2,2333,1.4,31.7
0500000US48361,"Orange County, Texas",83572,41520,49.7,42052,50.3,98.7,6308,7.5,4657,5.6,6022,7.2,5636,6.7,5520,6.6,10779,12.9,9740,11.7,10262,12.3,5175,6.2,6140,7.3,7618,9.1,3985,4.8,1730,2.1,38.4
0500000US48497,"Wise County, Texas",68305,34125,50,34180,50,99.8,4381,6.4,4267,6.2,5187,7.6,5507,8.1,3562,5.2,7812,11.4,8472,12.4,9388,13.7,4858,7.1,4801,7,6176,9,2798,4.1,1096,1.6,37.9
0500000US51085,"Hanover County, Virginia",107239,52446,48.9,54793,51.1,95.7,4545,4.2,6770,6.3,7749,7.2,7544,7,5938,5.5,11663,10.9,12197,11.4,15882,14.8,8520,7.9,7544,7,10985,10.2,5605,5.2,2297,2.1,42.8
0500000US51107,"Loudoun County, Virginia",406850,201651,49.6,205199,50.4,98.3,28912,7.1,31432,7.7,35252,8.7,28349,7,20980,5.2,48241,11.9,69708,17.1,63778,15.7,23461,5.8,19016,4.7,22929,5.6,10924,2.7,3868,1,36.4
0500000US53009,"Clallam County, Washington",76737,38390,50,38347,50,100.1,3330,4.3,3423,4.5,4216,5.5,3881,5.1,3080,4,7676,10,8180,10.7,7688,10,6723,8.8,6379,8.3,12898,16.8,6162,8,3101,4,50.6
0500000US53035,"Kitsap County, Washington",269805,138086,51.2,131719,48.8,104.8,15594,5.8,15900,5.9,14695,5.4,13753,5.1,21403,7.9,38813,14.4,31600,11.7,32928,12.2,18875,7,18496,6.9,30258,11.2,14265,5.3,3225,1.2,39.2
0500000US53061,"Snohomish County, Washington",814901,407880,50.1,407021,49.9,100.2,51607,6.3,49801,6.1,53060,6.5,46209,5.7,46606,5.7,120993,14.8,116255,14.3,110788,13.6,57204,7,52495,6.4,68890,8.5,28962,3.6,12031,1.5,37.8
0500000US55055,"Jefferson County, Wisconsin",85129,42442,49.9,42687,50.1,99.4,4209,4.9,4563,5.4,5381,6.3,7183,8.4,4643,5.5,9885,11.6,10728,12.6,11275,13.2,6812,8,5805,6.8,8852,10.4,4512,5.3,1281,1.5,42.1
0500000US55079,"Milwaukee County, Wisconsin",948201,459198,48.4,489003,51.6,93.9,64694,6.8,61928,6.5,65010,6.9,62175,6.6,64385,6.8,154783,16.3,121326,12.8,110409,11.6,54467,5.7,60088,6.3,74510,7.9,35261,3.7,19165,2,35.1
0500000US55087,"Outagamie County, Wisconsin",187365,92975,49.6,94390,50.4,98.5,11967,6.4,13895,7.4,10923,5.8,11296,6,11973,6.4,25466,13.6,24435,13,24270,13,14068,7.5,11496,6.1,15817,8.4,8662,4.6,3097,1.7,38.2
0500000US55101,"Racine County, Wisconsin",196584,97477,49.6,99107,50.4,98.4,11887,6,11910,6.1,13606,6.9,12448,6.3,11203,5.7,24210,12.3,25269,12.9,24945,12.7,14335,7.3,14370,7.3,18925,9.6,9775,5,3701,1.9,39.6
0500000US72021,"Bayamón Municipio, Puerto Rico",170480,80211,47.1,90269,52.9,88.9,6674,3.9,7520,4.4,9443,5.5,10412,6.1,11757,6.9,22995,13.5,20211,11.9,21258,12.5,12445,7.3,10247,6,18532,10.9,12892,7.6,6094,3.6,43.5
0500000US72113,"Ponce Municipio, Puerto Rico",133191,63943,48,69248,52,92.3,5910,4.4,7708,5.8,7155,5.4,8554,6.4,9533,7.2,16644,12.5,14910,11.2,15744,11.8,8025,6,9622,7.2,16151,12.1,9955,7.5,3280,2.5,42.5
0500000US72135,"Toa Alta Municipio, Puerto Rico",71094,34421,48.4,36673,51.6,93.9,2704,3.8,3996,5.6,4426,6.2,5069,7.1,5264,7.4,9655,13.6,9687,13.6,10661,15,5758,8.1,3564,5,6095,8.6,2334,3.3,1881,2.6,40.1
